id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
948269,楽園アメ横,2025-10-05,スマスロモンキーターンV,2036,8370,8906,0,0,-,2025-12-26 09:18:21
948270,楽園アメ横,2025-10-05,Lパチスロ革命機ヴァルヴレイヴ,3170,8150,9216,0,0,-,2025-12-26 09:18:21
948271,楽園アメ横,2025-10-05,Lルパン三世 大航海者の秘宝,2005,7500,5545,0,0,-,2025-12-26 09:18:21
948272,楽園アメ横,2025-10-05,Lダーリン・イン・ザ・フランキス,3134,6730,3019,0,0,-,2025-12-26 09:18:21
948273,楽園アメ横,2025-10-05,スマスロ聖戦士ダンバイン,2060,6720,2328,0,0,-,2025-12-26 09:18:21
948274,楽園アメ横,2025-10-05,スマスロ 東京リベンジャーズ,3150,5900,6998,0,0,-,2025-12-26 09:18:21
948275,楽園アメ横,2025-10-05,A-SLOT+ ディスクアップ ULTRAREMIX,2307,5630,7471,37,12,1/152,2025-12-26 09:18:21
948276,楽園アメ横,2025-10-05,マイジャグラーV,2157,5380,8593,46,39,1/101,2025-12-26 09:18:21
948277,楽園アメ横,2025-10-05,パチスロ武装神姫,3101,5190,7314,0,0,-,2025-12-26 09:18:21
948278,楽園アメ横,2025-10-05,L ToLOVEるダークネス,3068,4610,3220,0,0,-,2025-12-26 09:18:21
948279,楽園アメ横,2025-10-05,Lパチスロからくりサーカス,3155,4460,2983,0,0,-,2025-12-26 09:18:21
948280,楽園アメ横,2025-10-05,Lスマスロ北斗の拳,2103,4420,1994,38,2,1/50,2025-12-26 09:18:21
948281,楽園アメ横,2025-10-05,Lスマスロ北斗の拳,2098,4250,2344,45,1,1/51,2025-12-26 09:18:21
948282,楽園アメ横,2025-10-05,スマスロ デビルメイクライ5 スタイリッシュトライブ,3131,4130,6246,0,0,-,2025-12-26 09:18:21
948283,楽園アメ横,2025-10-05,Lスマスロ北斗の拳,2084,4120,2632,44,5,1/54,2025-12-26 09:18:21
948284,楽園アメ横,2025-10-05,Lアズールレーン THE ANIMATION,3076,4060,6708,0,0,-,2025-12-26 09:18:21
948285,楽園アメ横,2025-10-05,A-SLOT+ ディスクアップ ULTRAREMIX,2310,3880,6298,30,19,1/129,2025-12-26 09:18:21
948286,楽園アメ横,2025-10-05,Lパチスロ革命機ヴァルヴレイヴ,3165,3840,5718,0,0,-,2025-12-26 09:18:21
948287,楽園アメ横,2025-10-05,パチスロ　新鬼武者２,3083,3700,4953,0,0,-,2025-12-26 09:18:21
948288,楽園アメ横,2025-10-05,Lパチスロ かぐや様は告らせたい,3175,3550,6156,0,0,-,2025-12-26 09:18:21
948289,楽園アメ横,2025-10-05,A-SLOT+ ディスクアップ ULTRAREMIX,2316,3540,4822,24,12,1/134,2025-12-26 09:18:21
948290,楽園アメ横,2025-10-05,L東京喰種,3118,3540,6843,0,0,-,2025-12-26 09:18:21
948291,楽園アメ横,2025-10-05,スマスロ バイオハザード5,2046,3440,3076,0,0,-,2025-12-26 09:18:21
948292,楽園アメ横,2025-10-05,L ToLOVEるダークネス,3070,3290,4464,0,0,-,2025-12-26 09:18:21
948293,楽園アメ横,2025-10-05,スマスロ 東京リベンジャーズ,3147,3250,7729,0,0,-,2025-12-26 09:18:21
948294,楽園アメ横,2025-10-05,L真・一騎当千,3035,3220,3080,0,0,-,2025-12-26 09:18:21
948295,楽園アメ横,2025-10-05,スマスロ ようこそ実力至上主義の教室へ,3025,3210,3793,0,0,-,2025-12-26 09:18:21
948296,楽園アメ横,2025-10-05,ゴーゴージャグラー３,2142,3210,8692,42,39,1/107,2025-12-26 09:18:21
948297,楽園アメ横,2025-10-05,パチスロ　甲鉄城のカバネリ,3110,3100,1688,0,0,-,2025-12-26 09:18:21
