機種,台番,差枚,G数,出率,BB,RB,合成
Lパチスロからくりサーカス,3156,-950,931,66%,-,-,-
キングハナハナ-30,2200,-960,"1,891",83.1%,-,-,-
スマスロ バイオハザード5,2047,-970,904,64.2%,-,-,-
Lパチスロからくりサーカス,3153,-970,"1,614",80%,-,-,-
この素晴らしい世界に祝福を！,3089,-990,"2,980",88.9%,-,-,-
ジャグラーガールズSS,2168,"-1,000","5,210",93.6%,-,-,-
Lスマスロ　バイオハザード：ヴェンデッタ,3016,"-1,010","3,207",89.5%,-,-,-
押忍！番長4,3024,"-1,020","1,554",78.1%,-,-,-
ゴーゴージャグラー３,2142,"-1,030","4,168",91.8%,11,14,1/167
Lパチスロ かぐや様は告らせたい,3162,"-1,030",897,61.7%,-,-,-
スマスロ スーパーブラックジャック,3141,"-1,030",792,56.6%,-,-,-
キングハナハナ-30,2204,"-1,040","2,570",86.5%,-,-,-
L ToLOVEるダークネス,3068,"-1,050","1,533",77.2%,-,-,-
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,3093,"-1,050","2,794",87.5%,-,-,-
Lパチスロからくりサーカス,3161,"-1,050","2,667",86.9%,-,-,-
Lパチスロ ありふれた職業で世界最強,3038,"-1,060","1,032",65.8%,-,-,-
いざ！番長,2002,"-1,070","4,518",92.1%,-,-,-
マイジャグラーV,2172,"-1,070","5,067",93%,14,14,1/181
ゴーゴージャグラー３,2108,"-1,080","4,643",92.2%,13,14,1/172
スマスロモンキーターンV,2038,"-1,090","3,244",88.8%,-,-,-
Lスマスロ北斗の拳,2091,"-1,090","1,792",79.7%,8,2,1/179
ネオアイムジャグラーEX,2111,"-1,090","6,165",94.1%,17,21,1/162
L麻雀格闘倶楽部　覚醒,3002,"-1,100","2,897",87.3%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2302,"-1,100","2,012",81.8%,4,1,1/402
スマスロ交響詩篇エウレカセブン4 HI-EVOLUTION,3023,"-1,110","1,707",78.3%,-,-,-
パチスロ 転生したら剣でした,3044,"-1,120","1,077",65.3%,-,-,-
パチスロ　マクロスデルタ,3101,"-1,120","3,621",89.7%,-,-,-
スマスロ 東京リベンジャーズ,3148,"-1,130","6,799",94.5%,-,-,-
SLOT 冴えない彼女の育て方,3027,"-1,140","5,492",93.1%,-,-,-
Lスマスロ北斗の拳,2077,"-1,160","4,588",91.6%,31,8,1/118
L絶対衝激IV,3033,"-1,170",869,55.1%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,2051,"-1,170","4,996",92.2%,-,-,-
パチスロ　新鬼武者２,3083,"-1,200","2,413",83.4%,-,-,-
スマスロモンキーターンV,2035,"-1,220","2,359",82.8%,-,-,-
スマスロ新鬼武者3,3129,"-1,220","1,325",69.3%,-,-,-
マイジャグラーV,2174,"-1,230","5,775",92.9%,18,13,1/186
スマスロ バイオハザード5,2045,"-1,260","1,694",75.2%,-,-,-
ネオアイムジャグラーEX,2115,"-1,260","4,345",90.3%,13,7,1/217
マイジャグラーV,2176,"-1,260","4,697",91.1%,11,15,1/181
