id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
841296,楽園アメ横,2025-01-22,Lサラリーマン金太郎,3036,13950,8689,0,0,-,2025-12-26 09:18:16
841297,楽園アメ横,2025-01-22,スマスロ ゴッドイーター リザレクション,3115,9670,7187,0,0,-,2025-12-26 09:18:16
841298,楽園アメ横,2025-01-22,Lルパン三世 大航海者の秘宝,3051,9340,5500,0,0,-,2025-12-26 09:18:16
841299,楽園アメ横,2025-01-22,チバリヨ2,2192,8400,4545,0,0,-,2025-12-26 09:18:16
841300,楽園アメ横,2025-01-22,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3034,8070,7425,0,0,-,2025-12-26 09:18:16
841301,楽園アメ横,2025-01-22,スマスロ聖戦士ダンバイン,3097,7650,6603,0,0,-,2025-12-26 09:18:16
841302,楽園アメ横,2025-01-22,L ToLOVEるダークネス,3044,7110,6708,0,0,-,2025-12-26 09:18:16
841303,楽園アメ横,2025-01-22,Lスマスロ北斗の拳,3157,7070,5486,86,6,1/60,2025-12-26 09:18:16
841304,楽園アメ横,2025-01-22,L新・必殺仕置人 回胴 CRASH SPEC,3019,6880,5803,0,0,-,2025-12-26 09:18:16
841305,楽園アメ横,2025-01-22,スマスロ ゴッドイーター リザレクション,3113,6160,6526,0,0,-,2025-12-26 09:18:16
841306,楽園アメ横,2025-01-22,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3018,5960,8149,0,0,-,2025-12-26 09:18:16
841307,楽園アメ横,2025-01-22,Lパチスロからくりサーカス,3124,5370,4726,0,0,-,2025-12-26 09:18:16
841308,楽園アメ横,2025-01-22,桃太郎電鉄～パチスロも定番！～,3038,5310,5529,0,0,-,2025-12-26 09:18:16
841309,楽園アメ横,2025-01-22,Lパチスロ かぐや様は告らせたい,3090,4860,5140,0,0,-,2025-12-26 09:18:16
841310,楽園アメ横,2025-01-22,スマスロ ゴッドイーター リザレクション,3120,4600,6271,0,0,-,2025-12-26 09:18:16
841311,楽園アメ横,2025-01-22,Lパチスロ かぐや様は告らせたい,3091,4580,6541,0,0,-,2025-12-26 09:18:16
841312,楽園アメ横,2025-01-22,スマスロ バイオハザード ヴィレッジ,3025,4450,6965,0,0,-,2025-12-26 09:18:16
841313,楽園アメ横,2025-01-22,スマスロ頭文字D 2nd,3107,4360,4038,0,0,-,2025-12-26 09:18:16
841314,楽園アメ横,2025-01-22,L犬夜叉2,3135,4070,7204,0,0,-,2025-12-26 09:18:16
841315,楽園アメ横,2025-01-22,L戦国乙女４　戦乱に閃く炯眼の軍師,3065,3700,5934,0,0,-,2025-12-26 09:18:16
841316,楽園アメ横,2025-01-22,Lスマスロ北斗の拳,3173,3680,5940,71,11,1/72,2025-12-26 09:18:16
841317,楽園アメ横,2025-01-22,SアイムジャグラーＥＸ,2095,3670,6985,38,24,1/113,2025-12-26 09:18:16
841318,楽園アメ横,2025-01-22,パチスロ　ディスクアップ２,2050,3470,5304,27,14,1/129,2025-12-26 09:18:16
841319,楽園アメ横,2025-01-22,スマスロ聖戦士ダンバイン,3094,3310,2422,0,0,-,2025-12-26 09:18:16
841320,楽園アメ横,2025-01-22,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3071,3270,3869,0,0,-,2025-12-26 09:18:16
841321,楽園アメ横,2025-01-22,Lバンドリ！,3055,3250,6687,0,0,-,2025-12-26 09:18:16
841322,楽園アメ横,2025-01-22,押忍！番長ＺＥＲＯ,2045,3210,6463,0,0,-,2025-12-26 09:18:16
841323,楽園アメ横,2025-01-22,Lスマスロ北斗の拳,3185,3100,6520,76,14,1/72,2025-12-26 09:18:16
841324,楽園アメ横,2025-01-22,マイジャグラーV,2175,3090,7116,32,35,1/106,2025-12-26 09:18:16
841325,楽園アメ横,2025-01-22,スマスロ モンスターハンターライズ,3148,3010,7420,0,0,-,2025-12-26 09:18:16
841326,楽園アメ横,2025-01-22,クランキークレスト,2063,2940,3458,0,0,-,2025-12-26 09:18:16
841327,楽園アメ横,2025-01-22,L南国育ち,2197,2850,1118,0,0,-,2025-12-26 09:18:16
841328,楽園アメ横,2025-01-22,沖ドキ!ゴージャス 30Φ,2183,2840,2497,0,0,-,2025-12-26 09:18:16
