機種,台番,差枚,G数,出率,BB,RB,合成
Lパチスロ戦姫絶唱シンフォギア 正義の歌,3010,"12,470","8,604",148.3%,-,-,-
L主役は銭形5,2070,"11,130","8,508",143.6%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3178,"9,930","8,387",139.5%,-,-,-
Lパチスロ かぐや様は告らせたい,3171,"9,620","5,264",160.9%,-,-,-
スマスロ スーパーブラックジャック,3140,"8,580","8,586",133.3%,-,-,-
Lスマスロ北斗の拳,2077,"8,110","7,504",136%,115,10,1/60
スマスロ モンスターハンターライズ,2063,"7,610","5,340",147.5%,-,-,-
スマスロ新鬼武者3,3129,"7,530","6,016",141.7%,-,-,-
いざ！番長,2031,"7,260","5,585",143.3%,-,-,-
スマスロ モンスターハンターライズ,2057,"6,720","7,495",129.9%,-,-,-
L東京喰種,3116,"6,660","9,900",122.4%,-,-,-
L ULTRAMAN,3004,"6,470","2,395",190%,-,-,-
スマスロ聖戦士ダンバイン,2007,"6,070","5,202",138.9%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2310,"5,810","6,798",128.5%,37,9,1/148
Lパチスロ革命機ヴァルヴレイヴ2,3181,"5,650","7,617",124.7%,-,-,-
Lパチスロ かぐや様は告らせたい,3162,"5,470","5,814",131.4%,-,-,-
Lスマスロ北斗の拳,2080,"5,140","9,068",118.9%,99,28,1/71
スマスロ スーパーブラックジャック,3137,"4,770","6,760",123.5%,-,-,-
Lスマスロ北斗の拳,2098,"4,710","6,258",125.1%,79,16,1/66
Lスマスロ北斗の拳,2090,"4,700","7,218",121.7%,83,22,1/69
L東京喰種,3114,"4,570","6,643",122.9%,-,-,-
スマスロ スーパーブラックジャック,3136,"4,560","4,751",132%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3186,"4,400","7,690",119.1%,-,-,-
LBパチスロ ヱヴァンゲリヲン～約束の扉～,2334,"4,330","8,380",117.2%,-,-,-
Lスマスロ北斗の拳,2091,"4,290","7,348",119.5%,89,16,1/70
ネオアイムジャグラーEX,2132,"4,260","6,868",120.7%,40,29,1/100
スマスロ新鬼武者3,3131,"4,230","6,334",122.3%,-,-,-
Lスマスロ北斗の拳,2102,"3,980","8,105",116.4%,96,15,1/73
L戦国乙女４　戦乱に閃く炯眼の軍師,3054,"3,960","5,393",124.5%,-,-,-
