機種,台番,差枚,G数,出率,BB,RB,合成
Lスマスロ北斗の拳,3160,"12,940","7,552",157.1%,132,10,1/53
Lスマスロ北斗の拳,3183,"8,550","5,552",151.3%,85,7,1/60
Sister Quest,2008,"7,170","6,849",134.9%,-,-,-
L東京喰種,3141,"7,110","6,653",135.6%,-,-,-
スマスロモンキーターンV,3108,"6,520","8,547",125.4%,-,-,-
L ToLOVEるダークネス,3077,"6,180","3,471",159.3%,-,-,-
桃太郎電鉄～パチスロも定番！～,3038,"5,980","6,571",130.3%,-,-,-
L ToLOVEるダークネス,3074,"5,550","3,080",160.1%,-,-,-
スマスロ ゴッドイーター リザレクション,3121,"5,250","3,806",146%,-,-,-
Lパチスロ かぐや様は告らせたい,3088,"4,970","1,875",188.4%,-,-,-
いろはに愛姫,2064,"4,510","7,093",121.2%,-,-,-
Lバンドリ！,3007,"4,390","1,826",180.1%,-,-,-
Lパチスロ炎炎ノ消防隊,3017,"4,130","4,427",131.1%,-,-,-
Lスマスロ北斗の拳,3178,"3,960","7,755",117%,90,16,1/73
スマスロモンキーターンV,3109,"3,780","5,829",121.6%,-,-,-
押忍！番長4,3059,"3,680","2,229",155%,-,-,-
Lスマスロ北斗の拳,3172,"3,550","3,084",138.4%,45,4,1/63
Lパチスロ革命機ヴァルヴレイヴ,2020,"3,510","2,312",150.6%,-,-,-
Lスマスロ北斗の拳,3182,"3,330","1,163",195.4%,30,1,1/38
Lパチスロ革命機ヴァルヴレイヴ,2014,"3,310","5,254",121%,-,-,-
Lパチスロ ありふれた職業で世界最強,3054,"3,300","3,616",130.4%,-,-,-
スマスロモンキーターンV,3085,"3,290","9,162",112%,-,-,-
Lルパン三世 大航海者の秘宝,3049,"3,150","3,626",129%,-,-,-
スマスロ モンスターハンターライズ,3148,"3,130","8,620",112.1%,-,-,-
Lパチスロからくりサーカス,3123,"3,090","1,142",190.2%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,2022,"3,050","5,959",117.1%,-,-,-
L東京喰種,3140,"2,990","4,509",122.1%,-,-,-
スマスロ スーパーブラックジャック,3044,"2,980","4,782",120.8%,-,-,-
L東京喰種,3145,"2,940","6,410",115.3%,-,-,-
Lルパン三世 大航海者の秘宝,3050,"2,880","2,489",138.6%,-,-,-
Lスマスロ北斗の拳,3156,"2,870","8,310",111.5%,87,25,1/74
Lスマスロ北斗の拳,3173,"2,730","6,190",114.7%,70,9,1/78
Lスマスロ北斗の拳,3153,"2,720","5,084",117.8%,57,10,1/76
A-SLOT+ ディスクアップ ULTRAREMIX,2067,"2,630","6,476",113.5%,29,10,1/166
Lスマスロ北斗の拳,3154,"2,480","4,219",119.6%,52,3,1/77
Lスマスロ北斗の拳,3180,"2,470","7,232",111.4%,68,14,1/88
スマスロ モンスターハンターライズ,3149,"2,450","2,029",140.2%,-,-,-
Lパチスロ かぐや様は告らせたい,3092,"2,330","1,513",151.3%,-,-,-
スマスロモンキーターンV,3086,"2,300","10,083",107.6%,-,-,-
マイジャグラーV,2167,"2,300","8,519",109%,42,25,1/127
ファンキージャグラー２ＫＴ,2115,"2,290","3,314",123%,19,11,1/110
Lパチスロ ダンベル何キロ持てる？,3135,"2,080","4,560",115.2%,-,-,-
Lパチスロからくりサーカス,3125,"2,000","2,434",127.4%,-,-,-
L ToLOVEるダークネス,3073,"2,000","3,072",121.7%,-,-,-
マイジャグラーV,2165,"1,980","4,197",115.7%,23,13,1/117
Lパチスロ シン・エヴァンゲリオン,3103,"1,970","1,370",147.9%,-,-,-
L ToLOVEるダークネス,3076,"1,810","3,400",117.7%,-,-,-
スマスロ ゴッドイーター リザレクション,3120,"1,690","4,819",111.7%,-,-,-
ミスタージャグラー,2125,"1,640","6,811",108%,-,-,-
SアイムジャグラーＥＸ,2096,"1,630","2,179",124.9%,16,2,1/121
沖ドキ!ゴージャス 30Φ,2179,"1,600",690,177.3%,-,-,-
マイジャグラーV,2159,"1,580","5,677",109.3%,24,25,1/116
パチスロ　甲鉄城のカバネリ,2037,"1,500","3,736",113.4%,-,-,-
ファンキージャグラー２ＫＴ,2116,"1,450","3,125",115.5%,16,12,1/112
ファンキージャグラー２ＫＴ,2132,"1,380","3,311",113.9%,17,10,1/123
マイジャグラーV,2171,"1,310","5,228",108.4%,24,17,1/128
SアイムジャグラーＥＸ,2079,"1,300","3,367",112.9%,18,7,1/135
A-SLOT+ この素晴らしい世界に祝福を！,3021,"1,270","4,447",109.5%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2070,"1,250","5,846",107.1%,22,10,1/183
この素晴らしい世界に祝福を！,2053,"1,160","3,518",111%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,2032,"1,150","2,430",115.8%,-,-,-
スマスロ スーパーブラックジャック,3045,"1,110","3,579",110.3%,-,-,-
スマスロ モンスターハンターライズ,3150,"1,100","2,215",116.6%,-,-,-
スマスロモンキーターンV,3087,"1,100","6,213",105.9%,-,-,-
Lスマスロ北斗の拳,3161,"1,050","8,456",104.1%,81,16,1/87
Lパチスロガールズ＆パンツァー 最終章,3005,"1,040",761,145.6%,-,-,-
Lスマスロ北斗の拳,3186,"1,020","8,527",104%,82,18,1/85
マイジャグラーV,2157,940,"5,717",105.5%,27,12,1/147
SアイムジャグラーＥＸ,2099,930,"2,602",111.9%,12,9,1/124
パチスロ　ディスクアップ２,2050,920,"2,901",110.6%,12,5,1/171
いろはに愛姫,2066,910,"8,864",103.4%,-,-,-
Lパチスロからくりサーカス,3126,890,"1,716",117.3%,-,-,-
L ToLOVEるダークネス,3075,890,"3,152",109.4%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2068,830,"4,629",106%,20,6,1/178
マイジャグラーV,2176,760,"6,890",103.7%,28,21,1/141
バーサスリヴァイズ,2054,740,"5,594",104.4%,-,-,-
SアイムジャグラーＥＸ,2095,690,"5,408",104.3%,23,16,1/139
沖ドキ!ゴージャス 30Φ,2186,690,"6,370",103.6%,-,-,-
忍魂参～奥義皆伝ノ章～,3022,690,646,135.6%,-,-,-
Lパチスロからくりサーカス,3129,680,"1,124",120.2%,-,-,-
Lぱちスロ乃木坂４６,3042,670,"5,011",104.5%,-,-,-
マイジャグラーV,2174,660,"6,646",103.3%,28,20,1/138
マイジャグラーV,2147,610,"6,760",103%,28,16,1/154
マイジャグラーV,2152,590,"2,488",107.9%,11,8,1/131
パチスロ　甲鉄城のカバネリ,2040,570,"5,923",103.2%,-,-,-
Lパチスロ ありふれた職業で世界最強,3053,560,"1,480",112.6%,-,-,-
Lパチスロ かぐや様は告らせたい,3091,560,"3,260",105.7%,-,-,-
ジャグラーガールズSS,2108,560,"2,585",107.2%,-,-,-
スマスロ バイオハザード5,3082,550,"7,144",102.6%,-,-,-
沖ドキ!ゴージャス 30Φ,2182,540,"2,235",108.1%,-,-,-
