機種,台番,差枚,G数,出率,BB,RB,合成
L主役は銭形5,2071,"7,850","3,767",169.5%,-,-,-
Lダーリン・イン・ザ・フランキス,3073,"5,660","1,799",204.9%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3078,"5,250","8,112",121.6%,-,-,-
L ToLOVEるダークネス,3067,"5,240","2,179",180.2%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3175,"4,680","2,570",160.7%,-,-,-
チバリヨ2,2190,"4,570","3,528",143.2%,-,-,-
スマスロ新鬼武者3,3131,"4,540","4,212",135.9%,-,-,-
吉宗,2062,"4,400","2,275",164.5%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3065,"4,350",870,266.7%,-,-,-
Lスマスロ北斗の拳,2102,"4,100","3,071",144.5%,51,2,1/58
スマスロ 東京リベンジャーズ,3148,"3,880","5,631",123%,-,-,-
Lラブ嬢3～Wご指名はいかがですか?～,2025,"3,870","9,761",113.2%,-,-,-
スマスロ 東京リベンジャーズ,3147,"3,680","4,069",130.1%,-,-,-
プリズムナナ,3017,"3,650","5,557",121.9%,-,-,-
L東京喰種,3116,"3,570","6,432",118.5%,-,-,-
Lソードアート・オンライン,2020,"3,410","4,396",125.9%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3180,"3,110","5,730",118.1%,-,-,-
回胴黙示録カイジ 狂宴,2014,"3,020","1,992",150.5%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2310,"2,930","2,615",137.3%,16,6,1/119
スマスロ聖戦士ダンバイン,2004,"2,650","3,053",128.9%,-,-,-
Lラブ嬢3～Wご指名はいかがですか?～,2026,"2,550","8,597",109.9%,-,-,-
キングハナハナ-30,2204,"2,540","3,933",121.5%,-,-,-
L東京喰種,3115,"2,400","4,266",118.8%,-,-,-
クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,2328,"2,300","6,800",111.3%,-,-,-
Lスマスロ北斗の拳,2085,"2,300","2,439",131.4%,34,5,1/63
スマスロ スーパーブラックジャック,3135,"2,260","4,331",117.4%,-,-,-
Lスマスロ北斗の拳,2088,"2,180","1,532",147.4%,26,3,1/53
L東京喰種,3114,"2,160","4,744",115.2%,-,-,-
バーサスリヴァイズ,2324,"2,130","7,559",109.4%,-,-,-
Lパチスロからくりサーカス,3158,"2,090","2,788",125%,-,-,-
スマスロ化物語,3048,"2,050","9,214",107.4%,-,-,-
L東京喰種,3119,"1,860","8,041",107.7%,-,-,-
