機種,台番,差枚,G数,出率,BB,RB,合成
マイジャグラーV,329,-245,"2,390",96.6%,10,4,1/171
マイジャグラーV,364,-255,669,87.3%,2,0,1/335
Lパチスロ革命機ヴァルヴレイヴ,306,-261,192,54.7%,-,-,-
ゴーゴージャグラー３,413,-276,"5,950",98.5%,20,21,1/145
Lスマスロ北斗の拳,323,-276,588,84.4%,4,4,1/74
吉宗,387,-276,646,85.8%,-,-,-
SアイムジャグラーＥＸ,415,-287,"2,037",95.3%,6,7,1/157
ミスタージャグラー,427,-292,"2,010",95.2%,-,-,-
ハッピージャグラーＶＩＩＩ,378,-297,"2,843",96.5%,9,9,1/158
ハッピージャグラーＶＩＩＩ,374,-313,"2,689",96.1%,9,5,1/192
ハッピージャグラーＶＩＩＩ,379,-318,697,84.8%,1,2,1/232
L東京喰種,291,-328,345,68.3%,-,-,-
Lパチスロ かぐや様は告らせたい,316,-334,"2,254",95.1%,-,-,-
L東京喰種,296,-347,"3,094",96.3%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,438,-347,895,87.1%,-,-,-
スマスロ スーパーブラックジャック,403,-360,277,56.7%,-,-,-
いざ！番長,402,-375,"3,411",96.3%,-,-,-
Lスマスロ北斗の拳,321,-401,"3,798",96.5%,30,11,1/93
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,354,-401,"1,765",92.4%,-,-,-
スマスロ スーパーブラックジャック,404,-412,465,70.5%,-,-,-
マイジャグラーV,337,-412,910,84.9%,1,3,1/228
Lパチスロ革命機ヴァルヴレイヴ,305,-443,723,79.6%,-,-,-
マイジャグラーV,422,-451,"2,634",94.3%,8,7,1/176
L咲-Saki-頂上決戦,350,-458,"6,051",97.5%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,444,-469,548,71.5%,-,-,-
Lパチスロ炎炎ノ消防隊,434,-469,328,52.3%,-,-,-
パチスロ　バイオハザード　ＲＥ：２,451,-469,917,83%,-,-,-
マイジャグラーV,366,-485,"1,237",86.9%,3,2,1/247
LBパチスロ ヱヴァンゲリヲン～約束の扉～,269,-485,469,65.5%,-,-,-
マイジャグラーV,369,-500,866,80.8%,2,1,1/289
スマスロ モンスターハンターライズ,346,-528,"1,317",86.6%,-,-,-
スマスロモンキーターンV,275,-531,411,56.9%,-,-,-
ゴーゴージャグラー３,414,-552,"3,123",94.1%,10,7,1/184
マイジャグラーV,370,-558,"4,002",95.4%,16,7,1/174
ゴーゴージャグラー３,410,-563,"5,201",96.4%,16,16,1/163
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,355,-563,"1,536",87.8%,-,-,-
L東京喰種,295,-569,"2,838",93.3%,-,-,-
マイジャグラーV,372,-573,"3,883",95.1%,14,8,1/177
ファンキージャグラー２ＫＴ,385,-573,661,71.1%,1,0,1/661
スマスロ 東京リベンジャーズ,342,-578,694,72.2%,-,-,-
Lスマスロ北斗の拳,325,-597,"1,571",87.3%,9,2,1/143
ミスタージャグラー,428,-641,"3,221",93.4%,-,-,-
ネオアイムジャグラーEX,420,-646,"1,253",82.8%,3,2,1/251
L東京喰種,289,-656,614,64.4%,-,-,-
ハッピージャグラーＶＩＩＩ,377,-667,"1,179",81.1%,2,3,1/236
新ハナビ,431,-672,"1,851",87.9%,-,-,-
アレックス ブライト,273,-674,"1,294",82.6%,-,-,-
吉宗,391,-681,"1,643",86.2%,-,-,-
LBパチスロ ヱヴァンゲリヲン～約束の扉～,271,-693,986,76.6%,-,-,-
マイジャグラーV,423,-719,850,71.8%,1,0,1/850
スマスロモンキーターンV,280,-724,604,60%,-,-,-
パチスロ炎炎ノ消防隊,448,-724,628,61.6%,-,-,-
L咲-Saki-頂上決戦,349,-730,"1,652",85.3%,-,-,-
Lパチスロ かぐや様は告らせたい,313,-736,"2,869",91.4%,-,-,-
スマスロ ゴッドイーター リザレクション,281,-740,"2,000",87.7%,-,-,-
スマスロ バイオハザード5,407,-743,"1,252",80.2%,-,-,-
ネオアイムジャグラーEX,416,-750,"3,083",91.9%,9,9,1/171
ファンキージャグラー２ＫＴ,382,-755,"1,856",86.4%,5,3,1/232
押忍！番長ＺＥＲＯ,447,-766,700,63.5%,-,-,-
ネオアイムジャグラーEX,421,-826,"5,935",95.4%,22,8,1/198
新ハナビ,432,-865,"2,621",89%,-,-,-
ネオアイムジャグラーEX,419,-875,"1,512",80.7%,2,5,1/216
Lパチスロ かぐや様は告らせたい,300,-907,"2,355",87.2%,-,-,-
ウルトラミラクルジャグラー,425,-931,714,56.5%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,442,-944,"2,263",86.1%,5,6,1/206
マイジャグラーV,371,-951,"1,611",80.3%,2,4,1/269
Lスマスロ北斗の拳,327,-959,"1,529",79.1%,10,4,1/109
いざ！番長,398,-993,777,57.4%,-,-,-
翔べ！ハーレムエース,268,"-1,000","2,751",87.9%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,351,"-1,028","1,630",79%,-,-,-
マイジャグラーV,330,"-1,042","1,953",82.2%,4,3,1/279
沖ドキ！ＧＯＬＤ,462,"-1,083","2,774",87%,-,-,-
Lパチスロ かぐや様は告らせたい,298,"-1,178","2,185",82%,-,-,-
