id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
533448,ジャラン水元(旧ヴィーナス),2025-10-25,スマスロ ゴッドイーター リザレクション,285,18611,4678,0,0,-,2025-12-26 09:18:02
533449,ジャラン水元(旧ヴィーナス),2025-10-25,スマスロ 東京リベンジャーズ,342,11750,7031,0,0,-,2025-12-26 09:18:02
533450,ジャラン水元(旧ヴィーナス),2025-10-25,L東京喰種,289,8656,7700,0,0,-,2025-12-26 09:18:02
533451,ジャラン水元(旧ヴィーナス),2025-10-25,スマスロ ゴッドイーター リザレクション,281,8281,5273,0,0,-,2025-12-26 09:18:02
533452,ジャラン水元(旧ヴィーナス),2025-10-25,Lパチスロ かぐや様は告らせたい,316,6656,6058,0,0,-,2025-12-26 09:18:02
533453,ジャラン水元(旧ヴィーナス),2025-10-25,スマスロ 東京リベンジャーズ,340,5938,7617,0,0,-,2025-12-26 09:18:02
533454,ジャラン水元(旧ヴィーナス),2025-10-25,L荒野のコトブキ飛行隊,318,5906,5718,0,0,-,2025-12-26 09:18:02
533455,ジャラン水元(旧ヴィーナス),2025-10-25,スマスロ スーパーブラックジャック,404,5750,2129,0,0,-,2025-12-26 09:18:02
533456,ジャラン水元(旧ヴィーナス),2025-10-25,Lパチスロからくりサーカス,302,5688,3396,0,0,-,2025-12-26 09:18:02
533457,ジャラン水元(旧ヴィーナス),2025-10-25,スマスロモンキーターンV,274,5521,8517,0,0,-,2025-12-26 09:18:02
533458,ジャラン水元(旧ヴィーナス),2025-10-25,L東京喰種,291,5271,5434,0,0,-,2025-12-26 09:18:02
533459,ジャラン水元(旧ヴィーナス),2025-10-25,いざ！番長,402,5188,9346,0,0,-,2025-12-26 09:18:02
533460,ジャラン水元(旧ヴィーナス),2025-10-25,スマスロ新鬼武者3,357,4563,6363,0,0,-,2025-12-26 09:18:02
533461,ジャラン水元(旧ヴィーナス),2025-10-25,Lスマスロ北斗の拳,323,4313,3988,56,5,1/65,2025-12-26 09:18:02
533462,ジャラン水元(旧ヴィーナス),2025-10-25,マイジャグラーV,363,4250,7236,42,24,1/110,2025-12-26 09:18:02
533463,ジャラン水元(旧ヴィーナス),2025-10-25,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,352,4021,7058,0,0,-,2025-12-26 09:18:02
533464,ジャラン水元(旧ヴィーナス),2025-10-25,Lパチスロからくりサーカス,312,3958,1794,0,0,-,2025-12-26 09:18:02
533465,ジャラン水元(旧ヴィーナス),2025-10-25,パチスロ　バイオハザード　ＲＥ：２,451,3778,7148,0,0,-,2025-12-26 09:18:02
533466,ジャラン水元(旧ヴィーナス),2025-10-25,Lパチスロからくりサーカス,304,3667,1817,0,0,-,2025-12-26 09:18:02
533467,ジャラン水元(旧ヴィーナス),2025-10-25,ゴーゴージャグラー３,410,3570,8434,44,30,1/114,2025-12-26 09:18:02
533468,ジャラン水元(旧ヴィーナス),2025-10-25,Lスマスロ北斗の拳,322,3320,2585,44,3,1/55,2025-12-26 09:18:02
533469,ジャラン水元(旧ヴィーナス),2025-10-25,スマスロ 東京リベンジャーズ,345,2968,9453,0,0,-,2025-12-26 09:18:02
533470,ジャラン水元(旧ヴィーナス),2025-10-25,Lスマスロ北斗の拳,321,2847,3484,46,5,1/68,2025-12-26 09:18:02
533471,ジャラン水元(旧ヴィーナス),2025-10-25,スマスロ デビルメイクライ5 スタイリッシュトライブ,408,2847,4906,0,0,-,2025-12-26 09:18:02
533472,ジャラン水元(旧ヴィーナス),2025-10-25,ゴーゴージャグラー３,414,2843,7438,36,34,1/106,2025-12-26 09:18:02
533473,ジャラン水元(旧ヴィーナス),2025-10-25,ハッピージャグラーＶＩＩＩ,374,2792,7288,35,26,1/119,2025-12-26 09:18:02
533474,ジャラン水元(旧ヴィーナス),2025-10-25,ウルトラミラクルジャグラー,426,2764,7678,0,0,-,2025-12-26 09:18:02
533475,ジャラン水元(旧ヴィーナス),2025-10-25,Lアズールレーン THE ANIMATION,308,2667,4760,0,0,-,2025-12-26 09:18:02
