機種,台番,差枚,G数,出率,BB,RB,合成
L ToLOVEるダークネス TRANCE ver.8.7,398,"6,042","5,953",133.8%,-,-,-
いざ！番長,436,"5,687","4,330",143.8%,-,-,-
Lアズールレーン THE ANIMATION,361,"5,084","3,386",150%,-,-,-
Lスマスロ北斗の拳,321,"4,354","2,876",150.5%,60,4,1/45
L東京喰種,296,"3,437","5,644",120.3%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,352,"3,271","4,155",126.2%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,355,"3,104","3,001",134.5%,-,-,-
Lパチスロ かぐや様は告らせたい,316,"2,635","3,000",129.3%,-,-,-
吉宗,387,"2,625","3,110",128.1%,-,-,-
パチスロ 転生したら剣でした,441,"2,145","2,508",128.5%,-,-,-
パチスロ　バイオハザード　ＲＥ：２,452,"1,885","2,760",122.8%,-,-,-
マイジャグラーV,330,"1,868","5,145",112.1%,25,15,1/129
パチスロ炎炎ノ消防隊,448,"1,812","2,259",126.7%,-,-,-
ゴーゴージャグラー３,413,"1,625","5,422",110%,24,26,1/108
ネオアイムジャグラーEX,416,"1,563","3,414",115.3%,18,12,1/114
スマスロ 七つの魔剣が支配する,403,"1,552","1,549",133.4%,-,-,-
マイジャグラーV,373,"1,536","4,125",112.4%,22,11,1/125
パチスロ　ハードボイルド,429,"1,520","5,168",109.8%,-,-,-
スマスロ モンスターハンターライズ,347,"1,318","1,785",124.6%,-,-,-
マイジャグラーV,335,"1,281","5,046",108.5%,23,19,1/120
マタドールⅢ,267,"1,239","6,230",106.6%,-,-,-
Lダーリン・イン・ザ・フランキス,394,"1,239",512,180.7%,-,-,-
マイジャグラーV,331,"1,156","4,632",108.3%,20,18,1/122
Lアズールレーン THE ANIMATION,360,"1,021",594,157.3%,-,-,-
ハッピージャグラーＶＩＩＩ,374,948,"4,212",107.5%,20,10,1/140
マイジャグラーV,368,906,"3,333",109.1%,15,14,1/115
沖ドキ！ＧＯＬＤ,462,885,"1,805",116.3%,-,-,-
Lスマスロ北斗の拳,319,812,"1,291",121%,16,4,1/65
Lパチスロ かぐや様は告らせたい,297,802,"3,133",108.5%,-,-,-
ネオアイムジャグラーEX,417,771,"7,651",103.4%,29,29,1/132
L東京喰種,286,750,"3,574",107%,-,-,-
Lスマスロ北斗の拳,325,750,316,179.1%,6,1,1/45
スマスロ デビルメイクライ5 スタイリッシュトライブ,408,729,305,179.7%,-,-,-
L東京喰種,290,709,"6,244",103.8%,-,-,-
アレックス ブライト,272,708,"3,258",107.2%,-,-,-
マイジャグラーV,365,708,"3,965",106%,17,11,1/142
ハッピージャグラーＶＩＩＩ,378,682,"2,982",107.6%,14,7,1/142
Lパチスロ革命機ヴァルヴレイヴ,305,625,610,134.2%,-,-,-
沖ドキ！DUO,464,562,599,131.3%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,353,484,"1,496",110.8%,-,-,-
Lスマスロ北斗の拳,326,448,"1,395",110.7%,16,1,1/82
ファンキージャグラー２ＫＴ,385,422,"3,749",103.8%,15,12,1/139
いざ！番長,434,385,"1,079",111.9%,-,-,-
