機種,台番,差枚,G数,出率,BB,RB,合成
Lパチスロ かぐや様は告らせたい,316,"11,417","3,223",218.1%,-,-,-
スマスロ 東京リベンジャーズ,342,"10,375","2,676",229.2%,-,-,-
スマスロ化物語,349,"6,125","7,711",126.5%,-,-,-
沖ドキ！ＧＯＬＤ,462,"6,000","2,479",180.7%,-,-,-
スマスロ 東京リベンジャーズ,340,"4,709","2,962",153%,-,-,-
ネオアイムジャグラーEX,424,"4,028","5,266",125.5%,34,17,1/103
L東京喰種,287,"3,813","3,634",135%,-,-,-
スマスロ モンスターハンターライズ,347,"3,528","1,753",167.1%,-,-,-
吉宗,387,"3,125","3,332",131.3%,-,-,-
アレックス ブライト,273,"2,979","3,077",132.3%,-,-,-
L東京喰種,288,"2,688","8,027",111.2%,-,-,-
マイジャグラーV,339,"2,385","5,197",115.3%,29,12,1/127
Lパチスロ かぐや様は告らせたい,297,"2,364","1,773",144.4%,-,-,-
沖ドキ!ゴージャス 25Φ,460,"2,354","2,343",133.5%,-,-,-
SHAKE BONUS TRIGGER,264,"2,135","4,283",116.6%,-,-,-
クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,265,"1,979","3,054",121.6%,-,-,-
ハッピージャグラーＶＩＩＩ,375,"1,802","6,005",110%,29,20,1/123
A-SLOT+ ディスクアップ ULTRAREMIX,278,"1,646",740,174.1%,6,1,1/106
ネオアイムジャグラーEX,423,"1,583","5,493",109.6%,24,20,1/125
ハッピージャグラーＶＩＩＩ,377,"1,486","4,097",112.1%,17,21,1/108
スマスロモンキーターンV,437,"1,472","6,377",107.7%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,311,"1,448","2,508",119.2%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,276,"1,437","3,185",115%,12,8,1/159
押忍！番長ＺＥＲＯ,446,"1,015",612,155.3%,-,-,-
ミスタージャグラー,417,"1,010","5,963",105.6%,-,-,-
Lスマスロ北斗の拳,324,948,770,141%,13,2,1/51
Lスマスロ北斗の拳,320,948,"1,717",118.4%,22,3,1/69
スマスロモンキーターンV,442,927,"2,428",112.7%,-,-,-
ネオアイムジャグラーEX,430,890,"4,881",106.1%,19,20,1/125
マイジャグラーV,365,713,"2,739",108.7%,11,12,1/119
L東京喰種,292,656,"1,615",113.5%,-,-,-
スマスロ バイオハザード5,407,573,"1,699",111.2%,-,-,-
マイジャグラーV,371,521,"3,996",104.3%,17,10,1/148
ハッピージャグラーＶＩＩＩ,378,515,"3,251",105.3%,12,13,1/130
スマスロ ゴッドイーター リザレクション,434,505,774,121.7%,-,-,-
マイジャグラーV,366,458,"3,836",104%,17,12,1/132
スマスロ モンスターハンターライズ,346,396,"2,129",106.2%,-,-,-
パチスロ　バイオハザード　ＲＥ：２,452,370,"1,803",106.8%,-,-,-
スマスロ ゴッドイーター リザレクション,436,349,887,113.1%,-,-,-
Lアズールレーン THE ANIMATION,394,333,"2,378",104.7%,-,-,-
スマスロ ゴッドイーター リザレクション,435,318,341,131.1%,-,-,-
Lスマスロ北斗の拳,327,291,"2,570",103.8%,20,7,1/95
L東京喰種,286,276,"2,937",103.1%,-,-,-
スマスロモンキーターンV,439,276,"2,803",103.3%,-,-,-
マイジャグラーV,363,271,"2,742",103.3%,12,6,1/152
スマスロモンキーターンV,441,245,"4,117",102%,-,-,-
Lスマスロ北斗の拳,326,234,"1,275",106.1%,11,4,1/85
ネオアイムジャグラーEX,422,234,"2,625",103%,10,8,1/146
L東京喰種,295,213,554,112.8%,-,-,-
吉宗,386,198,444,114.9%,-,-,-
LBパチスロ ヱヴァンゲリヲン～約束の扉～,271,161,"1,633",103.3%,-,-,-
SHAKE BONUS TRIGGER,263,156,"3,057",101.7%,-,-,-
スマスロ新鬼武者3,357,156,"1,365",103.8%,-,-,-
Lスマスロ北斗の拳,322,120,"1,385",102.9%,11,4,1/92
Lスマスロ北斗の拳,325,78,306,108.5%,3,1,1/77
パチスロ　甲鉄城のカバネリ,449,78,382,106.8%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,352,26,"3,317",100.3%,-,-,-
マイジャグラーV,331,10,"1,507",100.2%,5,4,1/167
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,353,0,0,-,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,354,0,0,-,-,-,-
マイジャグラーV,369,0,"2,920",100%,10,10,1/146
いざ！番長,401,0,0,-,-,-,-
Lスマスロ北斗の拳,323,0,0,-,0,0,-
いざ！番長,400,0,0,-,-,-,-
いざ！番長,397,0,0,-,-,-,-
スマスロ スーパーブラックジャック,392,0,0,-,-,-,-
いざ！番長,399,0,0,-,-,-,-
Lパチスロ かぐや様は告らせたい,315,0,0,-,-,-,-
スマスロ 東京リベンジャーズ,344,0,0,-,-,-,-
スマスロ 東京リベンジャーズ,343,0,0,-,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,280,0,0,-,-,-,-
スマスロ 七つの魔剣が支配する,283,0,0,-,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,408,0,0,-,-,-,-
L主役は銭形5,405,-5,385,99.6%,-,-,-
スマスロ バイオハザード5,406,-7,"2,668",99.9%,-,-,-
いざ！番長,398,-11,"2,042",99.8%,-,-,-
マイジャグラーV,335,-16,"1,189",99.6%,5,2,1/170
パチスロ　ディスクアップ２,467,-16,"2,738",99.8%,10,5,1/183
Lパチスロからくりサーカス,306,-94,65,-,-,-,-
マイジャグラーV,337,-110,540,93.2%,2,1,1/180
Lパチスロからくりサーカス,304,-115,85,-,-,-,-
スマスロ モンスターハンターライズ,348,-130,486,91.1%,-,-,-
Lパチスロからくりサーカス,302,-130,95,-,-,-,-
ネオアイムジャグラーEX,426,-136,"2,735",98.3%,9,8,1/161
マイジャグラーV,367,-146,780,93.8%,3,1,1/195
L東京喰種,290,-167,241,76.9%,-,-,-
マイジャグラーV,368,-172,660,91.3%,2,1,1/220
ファンキージャグラー２ＫＴ,383,-187,"2,889",97.8%,11,6,1/170
マイジャグラーV,419,-193,980,93.4%,4,2,1/163
マイジャグラーV,420,-203,"2,685",97.5%,9,7,1/168
ゴーゴージャグラー３,413,-209,"1,640",95.8%,5,6,1/149
L主役は銭形5,403,-229,131,41.7%,-,-,-
Lパチスロ かぐや様は告らせたい,298,-240,147,45.6%,-,-,-
沖ドキ！DUO,464,-250,365,77.2%,-,-,-
翔べ！ハーレムエース,268,-250,940,91.1%,-,-,-
マジカルハロウィン ボーナストリガー,267,-261,725,88%,-,-,-
吉宗,388,-297,195,49.2%,-,-,-
スマスロモンキーターンV,444,-302,"3,167",96.8%,-,-,-
Lパチスロからくりサーカス,301,-313,198,47.3%,-,-,-
マイジャグラーV,336,-313,"1,429",92.7%,5,4,1/159
スマスロ スーパーブラックジャック,391,-319,"1,263",91.6%,-,-,-
ネオアイムジャグラーEX,429,-328,"1,777",93.8%,5,5,1/178
スマスロ 東京リベンジャーズ,345,-334,706,84.2%,-,-,-
クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,266,-380,"2,082",93.9%,-,-,-
マイジャグラーV,370,-386,"1,390",90.7%,3,6,1/154
スマスロモンキーターンV,440,-401,349,61.7%,-,-,-
Lダーリン・イン・ザ・フランキス,281,-417,687,79.8%,-,-,-
Lパチスロ かぐや様は告らせたい,314,-417,464,70%,-,-,-
ネオアイムジャグラーEX,425,-417,513,72.9%,1,0,1/513
マイジャグラーV,330,-422,"1,410",90%,4,3,1/201
スマスロ デビルメイクライ5 スタイリッシュトライブ,409,-433,337,57.2%,-,-,-
L主役は銭形5,404,-437,"2,291",93.6%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,310,-438,450,67.6%,-,-,-
スマスロ 東京リベンジャーズ,341,-438,"1,115",86.9%,-,-,-
ファンキージャグラー２ＫＴ,381,-448,690,78.4%,1,1,1/345
Lパチスロ革命機ヴァルヴレイヴ2,312,-451,898,83.3%,-,-,-
ジャグラーガールズSS,385,-453,"4,817",96.9%,-,-,-
L東京喰種,291,-459,616,75.2%,-,-,-
バーニングエクスプレス,318,-479,"2,295",93%,-,-,-
マイジャグラーV,421,-479,"5,233",96.9%,17,14,1/169
マイジャグラーV,372,-485,"5,995",97.3%,22,18,1/150
マイジャグラーV,332,-490,"1,255",87%,4,1,1/251
マイジャグラーV,364,-500,986,83.1%,2,3,1/197
ゴーゴージャグラー３,411,-505,"3,120",94.6%,9,15,1/130
ハッピージャグラーＶＩＩＩ,379,-505,"3,836",95.6%,12,12,1/160
新ハナビ,448,-507,"1,324",87.2%,-,-,-
マイジャグラーV,362,-511,"7,332",97.7%,18,33,1/144
ネオアイムジャグラーEX,428,-516,"3,212",94.6%,9,10,1/169
ジャグラーガールズSS,384,-521,"1,396",87.6%,-,-,-
ウルトラミラクルジャグラー,415,-552,595,69.1%,-,-,-
ウルトラミラクルジャグラー,416,-568,"1,244",84.8%,-,-,-
アレックス ブライト,272,-568,"1,077",82.4%,-,-,-
Lパチスロ かぐや様は告らせたい,299,-573,796,76%,-,-,-
ハッピージャグラーＶＩＩＩ,376,-578,844,77.2%,1,1,1/422
ゴーゴージャグラー３,414,-584,"4,302",95.5%,15,12,1/159
ゴーゴージャグラー３,410,-589,597,67.1%,1,0,1/597
ゴーゴージャグラー３,412,-589,"1,329",85.2%,3,3,1/222
アナターのオット！？はーです,445,-604,686,70.7%,-,-,-
ファンキージャグラー２ＫＴ,380,-639,"2,365",91%,8,3,1/215
マイジャグラーV,373,-656,"1,231",82.2%,3,1,1/308
マイジャグラーV,338,-656,959,77.2%,2,1,1/320
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,356,-662,446,50.5%,-,-,-
ハッピージャグラーＶＩＩＩ,374,-714,"1,105",78.5%,1,4,1/221
スマスロネオプラネット,269,-735,"2,843",91.4%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,351,-755,679,62.9%,-,-,-
パチスロ 転生したら剣でした,277,-778,918,71.8%,-,-,-
スマスロモンキーターンV,443,-792,"2,350",88.8%,-,-,-
マイジャグラーV,329,-812,"1,850",85.4%,4,3,1/264
ミスタージャグラー,418,-826,"1,880",85.4%,-,-,-
L東京喰種,289,-833,808,65.6%,-,-,-
Lパチスロからくりサーカス,305,-861,"1,376",79.1%,-,-,-
ネオアイムジャグラーEX,431,-875,"1,081",73%,1,2,1/360
マイジャグラーV,333,-875,857,66%,0,3,1/286
LBパチスロ ヱヴァンゲリヲン～約束の扉～,270,-896,924,67.7%,-,-,-
スマスロ新鬼武者3,361,-907,"3,703",91.8%,-,-,-
ネオアイムジャグラーEX,427,-910,"5,171",94.1%,12,22,1/152
Lスマスロ北斗の拳,321,-917,986,69%,5,1,1/164
沖ドキ!ゴージャス 25Φ,461,-928,"2,412",87.2%,-,-,-
新ハナビ,466,-937,"1,028",69.6%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,309,-948,908,65.2%,-,-,-
ファンキージャグラー２ＫＴ,382,"-1,000","1,496",77.7%,2,4,1/249
スマスロ新鬼武者3,358,"-1,000","3,216",89.6%,-,-,-
スマスロモンキーターンV,438,"-1,000",653,49%,-,-,-
マイジャグラーV,334,"-1,011","2,268",85.1%,5,7,1/189
スマスロ新鬼武者3,360,"-1,021",715,52.4%,-,-,-
Lスマスロ北斗の拳,319,"-1,021","1,426",76.1%,6,2,1/178
マイジャグラーV,328,"-1,028","5,354",93.6%,16,16,1/167
L東京喰種,293,"-1,032","1,871",81.6%,-,-,-
スマスロ新鬼武者3,359,"-1,073",754,52.6%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,355,"-1,073","1,795",80.1%,-,-,-
Lパチスロ かぐや様は告らせたい,300,"-1,084",739,51.1%,-,-,-
スマスロとある科学の超電磁砲2,395,"-1,084","1,143",68.4%,-,-,-
L東京喰種,296,"-1,094","2,447",85.1%,-,-,-
Lパチスロ かぐや様は告らせたい,313,"-1,146",889,57%,-,-,-
沖ドキ！DUO,465,"-1,157","1,687",77.1%,-,-,-
スマスロ ゴッドイーター リザレクション,433,"-1,208","2,496",83.9%,-,-,-
L東京喰種,294,"-1,361","2,779",83.7%,-,-,-
L絶対衝激IV,275,"-1,448","1,731",72.1%,-,-,-
ネオアイムジャグラーEX,432,"-1,448","3,209",85%,7,9,1/201
Lアズールレーン THE ANIMATION,393,"-1,459","1,245",60.9%,-,-,-
スマスロ化物語,350,"-1,500","7,054",92.9%,-,-,-
いざ！番長,402,"-1,521",996,49.1%,-,-,-
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,447,"-1,542","2,883",82.2%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,279,"-1,639","1,283",57.4%,-,-,-
Lパチスロからくりサーカス,303,"-1,694","1,314",57%,-,-,-
プリズムナナ,389,"-1,875","4,540",86.2%,-,-,-
バーニングエクスプレス,317,"-1,896","2,250",71.9%,-,-,-
沖ドキ！ＧＯＬＤ,463,"-1,979","2,337",71.8%,-,-,-
Lパチスロ炎炎ノ消防隊,284,"-2,055","4,935",86.1%,-,-,-
パチスロ　甲鉄城のカバネリ,450,"-2,104","3,275",78.6%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,274,"-2,146","3,441",79.2%,-,-,-
