id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
141629,エスパス上野本館,2025-02-01,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3018,10872,6034,0,0,-,2025-12-26 09:17:47
141630,エスパス上野本館,2025-02-01,スマスロ ゴッドイーター リザレクション,3102,9709,6107,0,0,-,2025-12-26 09:17:47
141631,エスパス上野本館,2025-02-01,L主役は銭形４,3074,9183,5889,0,0,-,2025-12-26 09:17:47
141632,エスパス上野本館,2025-02-01,沖ドキ!ゴージャス 30Φ,2134,8884,7432,0,0,-,2025-12-26 09:17:47
141633,エスパス上野本館,2025-02-01,Lパチスロ ダンベル何キロ持てる？,3130,8533,7503,0,0,-,2025-12-26 09:17:47
141634,エスパス上野本館,2025-02-01,スマスロモンキーターンV,3108,8526,3023,0,0,-,2025-12-26 09:17:47
141635,エスパス上野本館,2025-02-01,Lスマスロ北斗の拳,3121,8322,6385,100,7,1/60,2025-12-26 09:17:47
141636,エスパス上野本館,2025-02-01,Lラブ嬢3～Wご指名はいかがですか?～,3021,8101,8972,0,0,-,2025-12-26 09:17:47
141637,エスパス上野本館,2025-02-01,Lにゃんこ大戦争 超神速,3175,7296,8339,0,0,-,2025-12-26 09:17:47
141638,エスパス上野本館,2025-02-01,Lパチスロ かぐや様は告らせたい,3062,6627,9033,0,0,-,2025-12-26 09:17:47
141639,エスパス上野本館,2025-02-01,Lパチスロ ダンベル何キロ持てる？,3133,6305,8921,0,0,-,2025-12-26 09:17:47
141640,エスパス上野本館,2025-02-01,Lゴブリンスレイヤー,3028,6224,7822,0,0,-,2025-12-26 09:17:47
141641,エスパス上野本館,2025-02-01,Lにゃんこ大戦争 超神速,3176,6124,7588,0,0,-,2025-12-26 09:17:47
141642,エスパス上野本館,2025-02-01,Lパチスロ閃乱カグラ2 SHINOVI MASTER,3168,5527,6117,0,0,-,2025-12-26 09:17:47
141643,エスパス上野本館,2025-02-01,スマスロ真・北斗無双,3156,5407,8308,63,0,1/132,2025-12-26 09:17:47
141644,エスパス上野本館,2025-02-01,Lパチスロ かぐや様は告らせたい,3063,5405,8899,0,0,-,2025-12-26 09:17:47
141645,エスパス上野本館,2025-02-01,Lルパン三世 大航海者の秘宝,3083,5198,5639,0,0,-,2025-12-26 09:17:47
141646,エスパス上野本館,2025-02-01,沖ドキ！ＧＯＬＤ,2042,5016,6157,0,0,-,2025-12-26 09:17:47
141647,エスパス上野本館,2025-02-01,Lスマスロ北斗の拳,3013,4910,9803,106,17,1/80,2025-12-26 09:17:47
141648,エスパス上野本館,2025-02-01,マイジャグラーV,2008,4590,8734,46,33,1/111,2025-12-26 09:17:47
141649,エスパス上野本館,2025-02-01,Lゴブリンスレイヤー,3026,4506,7905,0,0,-,2025-12-26 09:17:47
141650,エスパス上野本館,2025-02-01,スマスロモンキーターンV,3109,4307,4959,0,0,-,2025-12-26 09:17:47
141651,エスパス上野本館,2025-02-01,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3019,4096,6595,0,0,-,2025-12-26 09:17:47
141652,エスパス上野本館,2025-02-01,Lゴブリンスレイヤー,3027,3918,8507,0,0,-,2025-12-26 09:17:47
141653,エスパス上野本館,2025-02-01,SアイムジャグラーＥＸ,2027,3913,7843,42,21,1/124,2025-12-26 09:17:47
141654,エスパス上野本館,2025-02-01,ジャグラーガールズSS,2073,3910,8705,0,0,-,2025-12-26 09:17:47
141655,エスパス上野本館,2025-02-01,バーサスリヴァイズ,2153,3700,8199,0,0,-,2025-12-26 09:17:47
141656,エスパス上野本館,2025-02-01,キングハナハナ-30,2142,3608,8530,0,0,-,2025-12-26 09:17:47
141657,エスパス上野本館,2025-02-01,この素晴らしい世界に祝福を！,3150,3606,5281,0,0,-,2025-12-26 09:17:47
141658,エスパス上野本館,2025-02-01,ミスタージャグラー,2090,3601,8192,0,0,-,2025-12-26 09:17:47
141659,エスパス上野本館,2025-02-01,マイジャグラーV,2102,3515,7537,39,28,1/112,2025-12-26 09:17:47
141660,エスパス上野本館,2025-02-01,ゴーゴージャグラー３,2087,3509,8570,45,35,1/107,2025-12-26 09:17:47
141661,エスパス上野本館,2025-02-01,マイジャグラーV,2094,3301,8374,41,35,1/110,2025-12-26 09:17:47
141662,エスパス上野本館,2025-02-01,黄門ちゃま喝２,3143,3300,5214,0,0,-,2025-12-26 09:17:47
141663,エスパス上野本館,2025-02-01,スターハナハナ-30,2165,3298,8801,0,0,-,2025-12-26 09:17:47
141664,エスパス上野本館,2025-02-01,マイジャグラーV,2103,3298,8929,43,30,1/122,2025-12-26 09:17:47
141665,エスパス上野本館,2025-02-01,SアイムジャグラーＥＸ,2055,3297,6335,35,16,1/124,2025-12-26 09:17:47
141666,エスパス上野本館,2025-02-01,マイジャグラーV,2013,3202,8818,42,37,1/112,2025-12-26 09:17:47
141667,エスパス上野本館,2025-02-01,Lスマスロ北斗の拳,3123,3115,7531,72,18,1/84,2025-12-26 09:17:47
141668,エスパス上野本館,2025-02-01,ウルトラミラクルジャグラー,2113,2901,6393,0,0,-,2025-12-26 09:17:47
141669,エスパス上野本館,2025-02-01,Lスマスロ北斗の拳,3122,2800,9088,91,20,1/82,2025-12-26 09:17:47
141670,エスパス上野本館,2025-02-01,Lマジカルハロウィン8,3167,2703,3774,0,0,-,2025-12-26 09:17:47
141671,エスパス上野本館,2025-02-01,パチスロ　甲鉄城のカバネリ,3171,2604,4285,0,0,-,2025-12-26 09:17:47
141672,エスパス上野本館,2025-02-01,Lパチスロからくりサーカス,3057,2595,4810,0,0,-,2025-12-26 09:17:47
141673,エスパス上野本館,2025-02-01,沖ドキ！ＧＯＬＤ,2046,2514,2134,0,0,-,2025-12-26 09:17:47
141674,エスパス上野本館,2025-02-01,ファンキージャグラー２ＫＴ,2110,2497,7496,39,22,1/123,2025-12-26 09:17:47
141675,エスパス上野本館,2025-02-01,キングハナハナ-30,2143,2409,7496,0,0,-,2025-12-26 09:17:47
141676,エスパス上野本館,2025-02-01,パチスロ　バイオハザード　ＲＥ：２,3144,2408,2700,0,0,-,2025-12-26 09:17:47
141677,エスパス上野本館,2025-02-01,スマスロ聖戦士ダンバイン,3042,2300,5425,0,0,-,2025-12-26 09:17:47
141678,エスパス上野本館,2025-02-01,スロット Re:ゼロから始める異世界生活 season2,3136,2215,3401,0,0,-,2025-12-26 09:17:47
141679,エスパス上野本館,2025-02-01,Lスマスロ北斗の拳,3003,2213,7760,81,13,1/83,2025-12-26 09:17:47
141680,エスパス上野本館,2025-02-01,沖ドキ！BLACK,2137,2208,4693,0,0,-,2025-12-26 09:17:47
141681,エスパス上野本館,2025-02-01,マイジャグラーV,2121,2110,7353,36,22,1/127,2025-12-26 09:17:47
