id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
241804,エスパス上野本館,2025-11-07,吉宗,3029,8421,3015,0,0,-,2025-12-26 09:17:52
241805,エスパス上野本館,2025-11-07,スマスロ 東京リベンジャーズ,3084,7312,2868,0,0,-,2025-12-26 09:17:52
241806,エスパス上野本館,2025-11-07,スマスロ新鬼武者3,3096,5402,5800,0,0,-,2025-12-26 09:17:52
241807,エスパス上野本館,2025-11-07,L主役は銭形5,3070,5401,3112,0,0,-,2025-12-26 09:17:52
241808,エスパス上野本館,2025-11-07,スマスロとある科学の超電磁砲2,3140,4983,6940,0,0,-,2025-12-26 09:17:52
241809,エスパス上野本館,2025-11-07,スマスロモンキーターンV,3103,4695,464,0,0,-,2025-12-26 09:17:52
241810,エスパス上野本館,2025-11-07,吉宗,3032,4523,1708,0,0,-,2025-12-26 09:17:52
241811,エスパス上野本館,2025-11-07,スマスロモンキーターンV,3104,4097,847,0,0,-,2025-12-26 09:17:52
241812,エスパス上野本館,2025-11-07,Lパチスロ炎炎ノ消防隊,3179,3590,2860,0,0,-,2025-12-26 09:17:52
241813,エスパス上野本館,2025-11-07,マイジャグラーV,2128,3419,5935,35,19,1/110,2025-12-26 09:17:52
241814,エスパス上野本館,2025-11-07,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3145,3419,1656,0,0,-,2025-12-26 09:17:52
241815,エスパス上野本館,2025-11-07,沖ドキ！ＧＯＬＤ-30,2162,3303,3004,0,0,-,2025-12-26 09:17:52
241816,エスパス上野本館,2025-11-07,スマスロ 東京リベンジャーズ,3086,3214,3439,0,0,-,2025-12-26 09:17:52
241817,エスパス上野本館,2025-11-07,ファンキージャグラー２ＫＴ,2110,3002,7294,38,27,1/112,2025-12-26 09:17:52
241818,エスパス上野本館,2025-11-07,沖ドキ！ＧＯＬＤ-30,2173,2804,2216,0,0,-,2025-12-26 09:17:52
241819,エスパス上野本館,2025-11-07,いざ！番長,3037,2710,5902,0,0,-,2025-12-26 09:17:52
241820,エスパス上野本館,2025-11-07,ネオアイムジャグラーEX,2053,2710,5207,29,17,1/113,2025-12-26 09:17:52
241821,エスパス上野本館,2025-11-07,Lパチスロ革命機ヴァルヴレイヴ2,3056,2615,4838,0,0,-,2025-12-26 09:17:52
241822,エスパス上野本館,2025-11-07,Lパチスロ革命機ヴァルヴレイヴ2,3054,2598,6604,0,0,-,2025-12-26 09:17:52
241823,エスパス上野本館,2025-11-07,キングハナハナ-30,2145,2501,7274,0,0,-,2025-12-26 09:17:52
241824,エスパス上野本館,2025-11-07,沖ドキ！ＧＯＬＤ-30,2151,2497,1068,0,0,-,2025-12-26 09:17:52
241825,エスパス上野本館,2025-11-07,SアイムジャグラーＥＸ,2024,2410,5064,28,10,1/133,2025-12-26 09:17:52
241826,エスパス上野本館,2025-11-07,Lスマスロ北斗の拳,3010,2409,974,23,2,1/39,2025-12-26 09:17:52
241827,エスパス上野本館,2025-11-07,アレックス ブライト,2034,2314,4663,0,0,-,2025-12-26 09:17:52
241828,エスパス上野本館,2025-11-07,ハッピージャグラーＶＩＩＩ,2021,2314,6687,30,30,1/111,2025-12-26 09:17:52
241829,エスパス上野本館,2025-11-07,マイジャグラーV,2096,2307,8241,40,21,1/135,2025-12-26 09:17:52
241830,エスパス上野本館,2025-11-07,Lダーリン・イン・ザ・フランキス,3047,2222,220,0,0,-,2025-12-26 09:17:52
241831,エスパス上野本館,2025-11-07,ファンキージャグラー２ＫＴ,2108,2220,4968,28,16,1/113,2025-12-26 09:17:52
241832,エスパス上野本館,2025-11-07,スマスロ デビルメイクライ5 スタイリッシュトライブ,3177,2219,1640,0,0,-,2025-12-26 09:17:52
241833,エスパス上野本館,2025-11-07,沖ドキ！ＧＯＬＤ-30,2163,2096,2065,0,0,-,2025-12-26 09:17:52
241834,エスパス上野本館,2025-11-07,Lパチスロ革命機ヴァルヴレイヴ2,3057,2095,8459,0,0,-,2025-12-26 09:17:52
241835,エスパス上野本館,2025-11-07,沖ドキ！ＧＯＬＤ-30,2165,2007,4429,0,0,-,2025-12-26 09:17:52
241836,エスパス上野本館,2025-11-07,Lスマスロ北斗の拳,3114,1914,2075,29,4,1/63,2025-12-26 09:17:52
241837,エスパス上野本館,2025-11-07,ミスタージャグラー,2092,1700,5337,0,0,-,2025-12-26 09:17:52
241838,エスパス上野本館,2025-11-07,沖ドキ！ＧＯＬＤ,2176,1698,2720,0,0,-,2025-12-26 09:17:52
241839,エスパス上野本館,2025-11-07,Lスマスロ北斗の拳,3003,1613,1774,27,1,1/63,2025-12-26 09:17:52
241840,エスパス上野本館,2025-11-07,スマスロ 東京リベンジャーズ,3087,1612,2587,0,0,-,2025-12-26 09:17:52
241841,エスパス上野本館,2025-11-07,沖ドキ！ＧＯＬＤ-30,2174,1612,3544,0,0,-,2025-12-26 09:17:52
241842,エスパス上野本館,2025-11-07,ハッピージャグラーＶＩＩＩ,2018,1610,3333,15,15,1/111,2025-12-26 09:17:52
241843,エスパス上野本館,2025-11-07,新ハナビ,2043,1609,2838,0,0,-,2025-12-26 09:17:52
241844,エスパス上野本館,2025-11-07,沖ドキ！ＧＯＬＤ-30,2171,1609,2653,0,0,-,2025-12-26 09:17:52
241845,エスパス上野本館,2025-11-07,スターハナハナ-30,2142,1607,6372,0,0,-,2025-12-26 09:17:52
241846,エスパス上野本館,2025-11-07,沖ドキ！ＧＯＬＤ,2040,1508,1239,0,0,-,2025-12-26 09:17:52
241847,エスパス上野本館,2025-11-07,沖ドキ！ＧＯＬＤ,2041,1506,2015,0,0,-,2025-12-26 09:17:52
241848,エスパス上野本館,2025-11-07,沖ドキ！BLACK,2140,1503,2337,0,0,-,2025-12-26 09:17:52
241849,エスパス上野本館,2025-11-07,沖ドキ！BLACK,2137,1502,3893,0,0,-,2025-12-26 09:17:52
241850,エスパス上野本館,2025-11-07,キングハナハナ-30,2170,1418,7167,0,0,-,2025-12-26 09:17:52
241851,エスパス上野本館,2025-11-07,沖ドキ！ＧＯＬＤ,2042,1401,2365,0,0,-,2025-12-26 09:17:52
241852,エスパス上野本館,2025-11-07,スマスロ モンスターハンターライズ,3078,1314,1893,0,0,-,2025-12-26 09:17:52
241853,エスパス上野本館,2025-11-07,Lスマスロ北斗の拳,3008,1313,7191,65,23,1/82,2025-12-26 09:17:52
241854,エスパス上野本館,2025-11-07,SアイムジャグラーＥＸ,2068,1311,4644,21,18,1/119,2025-12-26 09:17:52
241855,エスパス上野本館,2025-11-07,A-SLOT+ ディスクアップ ULTRAREMIX,2032,1310,1515,8,6,1/108,2025-12-26 09:17:52
241856,エスパス上野本館,2025-11-07,マイジャグラーV,2001,1202,3882,18,12,1/129,2025-12-26 09:17:52
241857,エスパス上野本館,2025-11-07,マイジャグラーV,2132,1103,6183,26,19,1/137,2025-12-26 09:17:52
241858,エスパス上野本館,2025-11-07,マイジャグラーV,2123,1098,8431,36,28,1/132,2025-12-26 09:17:52
241859,エスパス上野本館,2025-11-07,ファンキージャグラー２ＫＴ,2105,1096,4092,20,11,1/132,2025-12-26 09:17:52
241860,エスパス上野本館,2025-11-07,キングハナハナ-30,2169,1016,7580,0,0,-,2025-12-26 09:17:52
241861,エスパス上野本館,2025-11-07,スマスロ 東京リベンジャーズ,3082,1015,3448,0,0,-,2025-12-26 09:17:52
241862,エスパス上野本館,2025-11-07,ゴーゴージャグラー３,2084,1014,4160,20,13,1/126,2025-12-26 09:17:52
241863,エスパス上野本館,2025-11-07,ネオアイムジャグラーEX,2060,1009,3756,20,6,1/144,2025-12-26 09:17:52
241864,エスパス上野本館,2025-11-07,マイジャグラーV,2126,915,4693,24,7,1/151,2025-12-26 09:17:52
241865,エスパス上野本館,2025-11-07,吉宗,3030,914,629,0,0,-,2025-12-26 09:17:52
241866,エスパス上野本館,2025-11-07,ウルトラミラクルジャグラー,2114,910,6447,0,0,-,2025-12-26 09:17:52
241867,エスパス上野本館,2025-11-07,L東京喰種,3044,908,3134,0,0,-,2025-12-26 09:17:52
241868,エスパス上野本館,2025-11-07,L ToLOVEるダークネス,3090,907,461,0,0,-,2025-12-26 09:17:52
241869,エスパス上野本館,2025-11-07,キングハナハナ-30,2147,906,6938,0,0,-,2025-12-26 09:17:52
241870,エスパス上野本館,2025-11-07,ネオアイムジャグラーEX,2177,807,5319,18,25,1/124,2025-12-26 09:17:52
241871,エスパス上野本館,2025-11-07,Lスマスロ北斗の拳,3124,807,2537,24,10,1/75,2025-12-26 09:17:52
241872,エスパス上野本館,2025-11-07,スマスロモンキーターンV,3108,806,567,0,0,-,2025-12-26 09:17:52
241873,エスパス上野本館,2025-11-07,L ToLOVEるダークネス,3091,802,2209,0,0,-,2025-12-26 09:17:52
241874,エスパス上野本館,2025-11-07,ネオアイムジャグラーEX,2058,795,3546,15,9,1/148,2025-12-26 09:17:52
241875,エスパス上野本館,2025-11-07,Lパチスロからくりサーカス,3067,716,1801,0,0,-,2025-12-26 09:17:52
241876,エスパス上野本館,2025-11-07,マイジャグラーV,2133,715,3425,14,10,1/143,2025-12-26 09:17:52
241877,エスパス上野本館,2025-11-07,ゴーゴージャグラー３,2089,714,4907,22,13,1/140,2025-12-26 09:17:52
