機種,台番,差枚,G数,出率,BB,RB,合成
L東京喰種,3039,"-1,602","1,280",58.3%,-,-,-
L ToLOVEるダークネス,3022,"-1,602","1,359",60.7%,-,-,-
キングハナハナ-30,2166,"-1,685","5,951",90.6%,-,-,-
L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3145,"-1,691","2,269",75.2%,-,-,-
マイジャグラーV,2008,"-1,692","2,208",74.5%,2,2,1/552
スマート沖スロ ドラゴンハナハナ～閃光～,2179,"-1,692","2,995",81.2%,-,-,-
いざ！番長,3038,"-1,898","2,071",69.5%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,3090,"-1,899","2,691",76.5%,-,-,-
Lアズールレーン THE ANIMATION,3125,"-1,903","8,667",92.7%,-,-,-
沖ドキ！ＧＯＬＤ-30,2171,"-1,908","7,061",91%,-,-,-
LBパチスロ ヱヴァンゲリヲン～約束の扉～,2039,"-1,989","1,606",58.7%,-,-,-
いざ！番長,3036,"-1,999","2,423",72.5%,-,-,-
沖ドキ！ＧＯＬＤ-30,2151,"-2,303","4,747",83.8%,-,-,-
Lパチスロ かぐや様は告らせたい,3059,"-2,703","6,976",87.1%,-,-,-
沖ドキ！BLACK,2139,"-3,410","5,731",80.2%,-,-,-
Lゴジラ対エヴァンゲリオン,3051,"-3,811","4,955",74.4%,-,-,-
Lルパン三世 大航海者の秘宝,3047,"-4,090","5,119",73.4%,-,-,-
沖ドキ！ＧＯＬＤ-30,2131,"-4,406","3,743",60.8%,-,-,-
