機種,台番,差枚,G数,出率,BB,RB,合成
スマスロ ゴッドイーター リザレクション,3100,"12,108","3,666",210.1%,-,-,-
桃太郎電鉄～パチスロも定番！～,3033,"8,420","5,092",155.1%,-,-,-
スマスロ聖戦士ダンバイン,3042,"5,903","2,491",179%,-,-,-
Lスマスロ　キン肉マン～７人の悪魔超人編～,3160,"4,714","1,679",193.6%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,3095,"4,700","4,235",137%,-,-,-
スマスロモンキーターンV,3111,"4,417","2,382",161.8%,-,-,-
チバリヨ2,2030,"4,416","3,552",141.4%,-,-,-
L犬夜叉2,3040,"4,097","2,200",162.1%,-,-,-
L南国育ち,2035,"3,421","1,828",162.4%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,3068,"3,201","2,204",148.4%,-,-,-
Lスマスロ北斗の拳,3116,"3,112","2,419",142.9%,39,4,1/56
キングハナハナ-30,2166,"2,895","9,906",109.7%,-,-,-
Lパチスロからくりサーカス,3055,"2,807","3,096",130.2%,-,-,-
スターハナハナ-30,2165,"2,807","8,123",111.5%,-,-,-
沖ドキ！ＧＯＬＤ-30,2171,"2,715","4,258",121.3%,-,-,-
スマスロモンキーターンV,3105,"2,709","2,134",142.3%,-,-,-
スマスロ モンスターハンターライズ,3178,"2,702","7,262",112.4%,-,-,-
ゴーゴージャグラー３,2087,"2,409","5,058",115.9%,31,13,1/115
沖ドキ！ＧＯＬＤ-30,2036,"2,401","1,014",178.9%,-,-,-
パチスロ炎炎ノ消防隊,3172,"2,296","3,133",124.4%,-,-,-
キングハナハナ-30,2148,"2,295","6,472",111.8%,-,-,-
マイジャグラーV,2009,"2,210","4,490",116.4%,23,19,1/107
沖ドキ！ＧＯＬＤ-30,2126,"2,109","4,080",117.2%,-,-,-
L主役は銭形４,3076,"2,104","4,025",117.4%,-,-,-
沖ドキ！ＧＯＬＤ,2040,"2,104","5,326",113.2%,-,-,-
マイジャグラーV,2100,"2,001","9,421",107.1%,41,30,1/133
スマスロモンキーターンV,3107,"1,999","1,476",145.1%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,3023,"1,915","3,273",119.5%,-,-,-
Lスマスロ北斗の拳,3003,"1,808","3,046",119.8%,38,5,1/71
沖ドキ！ＧＯＬＤ-30,2037,"1,715","4,203",113.6%,-,-,-
沖ドキ！ＧＯＬＤ-30,2173,"1,701","6,470",108.8%,-,-,-
キングハナハナ-30,2144,"1,700","7,388",107.7%,-,-,-
沖ドキ！ＧＯＬＤ-30,2038,"1,698","1,166",148.5%,-,-,-
Lサラリーマン金太郎,3125,"1,597","6,454",108.2%,-,-,-
パチスロ　甲鉄城のカバネリ,3171,"1,515",691,173.1%,-,-,-
スロット Re:ゼロから始める異世界生活 season2,3140,"1,507","1,662",130.2%,-,-,-
この素晴らしい世界に祝福を！,3150,"1,505","1,826",127.5%,-,-,-
ゴーゴージャグラー３,2082,"1,502","5,454",109.2%,27,18,1/121
ファンキージャグラー２ＫＴ,2111,"1,409","3,057",115.4%,19,8,1/113
Lルパン三世 大航海者の秘宝,3081,"1,404","1,786",126.2%,-,-,-
Lスマスロ北斗の拳,3122,"1,402","1,393",133.5%,22,2,1/58
スマスロモンキーターンV,3106,"1,396","3,418",113.6%,-,-,-
スマスロ鬼武者3,3162,"1,210","2,036",119.8%,-,-,-
マイジャグラーV,2125,"1,202","8,505",104.7%,36,22,1/147
マイジャグラーV,2123,"1,109","3,811",109.7%,18,13,1/123
マイジャグラーV,2097,"1,108","4,879",107.6%,20,18,1/128
キングハナハナ-30,2168,"1,010","8,344",104%,-,-,-
沖ドキ！BLACK,2138,"1,004",961,134.8%,-,-,-
マイジャグラーV,2119,"1,003","6,702",105%,27,19,1/146
L ToLOVEるダークネス,3088,"1,002","1,349",124.8%,-,-,-
マイジャグラーV,2122,"1,002","7,200",104.6%,34,14,1/150
SアイムジャグラーＥＸ,2025,916,"4,002",107.6%,16,16,1/125
ゴーゴージャグラー３,2085,915,"2,704",111.3%,14,11,1/108
Lパチスロ ダンベル何キロ持てる？,3129,912,"5,574",105.5%,-,-,-
マイジャグラーV,2003,911,"4,555",106.7%,21,9,1/152
ウルトラミラクルジャグラー,2113,911,"2,848",110.7%,-,-,-
沖ドキ！ＧＯＬＤ-30,2039,907,"2,728",111.1%,-,-,-
マイジャグラーV,2008,810,"6,469",104.2%,24,27,1/127
スマスロ ゴッドイーター リザレクション,3099,807,"1,047",125.7%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3014,807,"1,719",115.6%,-,-,-
黄門ちゃま喝２,3143,805,892,130.1%,-,-,-
マイジャグラーV,2101,701,"4,893",104.8%,21,16,1/132
マイジャグラーV,2115,610,"5,716",103.6%,22,21,1/133
マイジャグラーV,2098,607,"3,334",106.1%,15,10,1/133
Lスマスロ北斗の拳,3002,605,736,127.4%,11,1,1/61
ハッピージャグラーＶＩＩＩ,2092,604,"4,482",104.5%,20,13,1/136
Lスマスロ北斗の拳,3010,603,"1,278",115.7%,16,3,1/67
ウルトラミラクルジャグラー,2114,601,"6,898",102.9%,-,-,-
押忍！番長4,3030,601,"1,105",118.1%,-,-,-
L犬夜叉2,3181,511,"3,029",105.6%,-,-,-
マイジャグラーV,2005,510,"5,552",103.1%,20,21,1/135
ジャグラーガールズSS,2072,508,"1,717",109.9%,-,-,-
ファンキージャグラー２ＫＴ,2106,507,"3,000",105.6%,13,7,1/150
スマスロ聖戦士ダンバイン,3043,507,868,119.5%,-,-,-
マイジャグラーV,2021,505,"7,109",102.4%,27,22,1/145
スマスロ ゴッドイーター リザレクション,3098,412,"4,223",103.3%,-,-,-
SアイムジャグラーＥＸ,2026,409,"2,827",104.8%,13,7,1/141
ゴーゴージャグラー３,2086,408,991,113.7%,6,1,1/142
スターハナハナ-30,2162,407,"5,090",102.7%,-,-,-
ジャグラーガールズSS,2073,407,"4,949",102.7%,-,-,-
押忍！番長4,3029,405,"3,170",104.3%,-,-,-
SアイムジャグラーＥＸ,2059,404,"1,470",109.2%,6,4,1/147
チバリヨ2,2029,401,"1,438",109.3%,-,-,-
ウルトラミラクルジャグラー,2112,313,"5,120",102%,-,-,-
マイジャグラーV,2007,310,"2,336",104.4%,11,3,1/167
L主役は銭形４,3075,308,295,134.8%,-,-,-
押忍！番長4,3031,307,"1,328",107.7%,-,-,-
マイジャグラーV,2095,306,"5,149",102%,17,19,1/143
パチスロ　ディスクアップ２,2159,304,"2,604",103.9%,8,7,1/174
マイジャグラーV,2001,302,"2,698",103.7%,12,7,1/142
パチスロ戦国恋姫,3147,302,291,134.6%,-,-,-
今日から俺は!! パチスロ編,3152,302,872,111.5%,-,-,-
バーサスリヴァイズ,2153,301,"1,839",105.5%,-,-,-
パチスロ　甲鉄城のカバネリ,3170,209,320,121.8%,-,-,-
L犬夜叉2,3039,209,"1,598",104.4%,-,-,-
ファンキージャグラー２ＫＴ,2110,209,"2,535",102.7%,11,5,1/158
ミスタージャグラー,2090,207,"8,297",100.8%,-,-,-
Lスマスロ北斗の拳,3123,206,744,109.2%,6,2,1/93
新ハナビ,2150,205,"2,685",102.5%,-,-,-
Lラブ嬢3～Wご指名はいかがですか?～,3021,205,"2,303",103%,-,-,-
スマスロモンキーターンV,3110,204,"2,275",103%,-,-,-
沖ドキ!ゴージャス 30Φ,2135,111,"2,615",101.4%,-,-,-
沖ドキ！ＧＯＬＤ,2044,111,"2,414",101.5%,-,-,-
マイジャグラーV,2018,110,"5,065",100.7%,18,16,1/149
ミスタージャグラー,2089,108,"1,390",102.6%,-,-,-
スロット Re:ゼロから始める異世界生活 season2,3135,108,18,-,-,-,-
パチスロ　ディスクアップ２,2160,107,284,112.6%,1,0,1/284
スロット Re:ゼロから始める異世界生活 season2,3136,106,15,-,-,-,-
スターハナハナ-30,2164,105,"2,316",101.5%,-,-,-
スロット Re:ゼロから始める異世界生活 season2,3139,104,15,-,-,-,-
沖ドキ！ＧＯＬＤ,2041,104,538,106.4%,-,-,-
スマスロ頭文字D 2nd,3035,103,979,103.5%,-,-,-
SアイムジャグラーＥＸ,2177,103,"4,217",100.8%,16,12,1/151
Lパチスロ革命機ヴァルヴレイヴ,3067,102,26,-,-,-,-
マイジャグラーV,2013,0,"3,344",100%,13,9,1/152
スマスロ真・北斗無双,3156,0,0,-,0,0,-
Lパチスロ ダンベル何キロ持てる？,3128,0,"1,592",100%,-,-,-
マイジャグラーV,2124,0,"3,160",100%,12,9,1/150
Lパチスロ ダンベル何キロ持てる？,3130,0,0,-,-,-,-
Lパチスロ戦姫絶唱シンフォギア 正義の歌,3154,0,0,-,-,-,-
スマスロ真・北斗無双,3155,0,0,-,0,0,-
ゴーゴージャグラー３,2080,0,"1,712",100%,6,7,1/132
Lパチスロ戦姫絶唱シンフォギア 正義の歌,3153,0,0,-,-,-,-
ジャグラーガールズSS,2074,0,"1,614",100%,-,-,-
ファンキージャグラー２ＫＴ,2107,0,866,100%,3,2,1/173
A-SLOT+ この素晴らしい世界に祝福を！,3164,0,0,-,-,-,-
マイジャグラーV,2015,0,"3,240",100%,12,11,1/141
ジャグラーガールズSS,2075,0,"1,678",100%,-,-,-
L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3047,0,0,-,-,-,-
SアイムジャグラーＥＸ,2065,0,"5,723",100%,16,30,1/124
Lゴブリンスレイヤー,3027,0,0,-,-,-,-
L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3046,0,0,-,-,-,-
Lパチスロ かぐや様は告らせたい,3060,0,0,-,-,-,-
Lスマスロ北斗の拳,3005,0,"1,927",100%,14,3,1/113
キングハナハナ-30,2169,0,"1,907",100%,-,-,-
Lラブ嬢3～Wご指名はいかがですか?～,3020,0,149,100%,-,-,-
L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3045,0,0,-,-,-,-
L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3048,0,0,-,-,-,-
スマスロ ゴールデンカムイ,3090,0,0,-,-,-,-
SアイムジャグラーＥＸ,2064,0,"1,994",100%,7,4,1/181
スマスロ ゴールデンカムイ,3091,0,0,-,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,3094,0,0,-,-,-,-
Lゴブリンスレイヤー,3026,0,0,-,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,3024,0,0,-,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,3069,0,655,100%,-,-,-
この素晴らしい世界に祝福を！,3148,-90,187,84%,-,-,-
SアイムジャグラーＥＸ,2061,-91,"1,217",97.5%,4,1,1/243
Lバンドリ！,3074,-92,64,-,-,-,-
コードギアス反逆のルルーシュ３ C.C.&Kallen ver.,2154,-92,116,73.6%,-,-,-
L新・必殺仕置人 回胴 CRASH SPEC,3158,-92,800,96.2%,-,-,-
Lマジカルハロウィン8,3166,-92,50,-,-,-,-
L主役は銭形４,3077,-93,272,88.6%,-,-,-
ファンキージャグラー２ＫＴ,2105,-94,"1,303",97.6%,6,0,1/217
マイジャグラーV,2120,-96,"3,714",99.1%,14,10,1/155
Lバンドリ！,3073,-97,654,95.1%,-,-,-
沖ドキ！ＧＯＬＤ-30,2129,-97,"3,061",98.9%,-,-,-
Lラブ嬢3～Wご指名はいかがですか?～,3022,-97,532,93.9%,-,-,-
SアイムジャグラーＥＸ,2027,-98,"4,394",99.3%,17,11,1/157
パチスロ　バイオハザード　ＲＥ：２,3144,-98,66,-,-,-,-
Lスマスロ北斗の拳,3117,-99,821,96%,8,2,1/82
マイジャグラーV,2004,-101,"7,270",99.5%,24,22,1/158
Lパチスロ ダンベル何キロ持てる？,3127,-101,"2,657",98.7%,-,-,-
沖ドキ！ＧＯＬＤ,2049,-102,"6,580",99.5%,-,-,-
SアイムジャグラーＥＸ,2068,-105,"3,668",99%,13,11,1/153
マイジャグラーV,2117,-190,"6,597",99%,25,16,1/161
マイジャグラーV,2002,-190,"1,199",94.7%,4,1,1/240
Lスマスロ北斗の拳,3114,-190,483,86.9%,3,1,1/121
スマスロ頭文字D 2nd,3038,-191,"1,119",94.3%,-,-,-
スマスロ 一方通行 とある魔術の禁書目録,3079,-192,"1,917",96.7%,-,-,-
この素晴らしい世界に祝福を！,3149,-192,"2,887",97.8%,-,-,-
沖ドキ！ＧＯＬＤ,2046,-192,633,89.9%,-,-,-
マイジャグラーV,2121,-193,785,91.8%,3,0,1/262
Lマジカルハロウィン8,3167,-195,565,88.5%,-,-,-
SアイムジャグラーＥＸ,2060,-195,"2,737",97.6%,9,10,1/144
ファンキージャグラー２ＫＴ,2109,-196,629,89.6%,1,1,1/315
ハッピージャグラーＶＩＩＩ,2091,-196,682,90.4%,1,3,1/171
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3019,-196,"1,099",94.1%,-,-,-
バーサスリヴァイズ,2152,-198,490,86.5%,-,-,-
沖ドキ！ＧＯＬＤ-30,2172,-199,499,86.7%,-,-,-
マイジャグラーV,2014,-290,"2,908",96.7%,10,6,1/182
キングハナハナ-30,2141,-292,"4,782",98%,-,-,-
キングハナハナ-30,2167,-293,603,83.8%,-,-,-
Lパチスロ ダンベル何キロ持てる？,3131,-293,682,85.7%,-,-,-
マイジャグラーV,2017,-293,"1,097",91.1%,4,2,1/183
ゴーゴージャグラー３,2084,-293,"6,075",98.4%,24,17,1/148
新ハナビ,2151,-294,"3,981",97.5%,-,-,-
マイジャグラーV,2011,-294,"1,424",93.1%,4,2,1/237
SアイムジャグラーＥＸ,2066,-294,683,85.7%,2,0,1/342
Lスマスロ北斗の拳,3011,-295,741,86.7%,5,2,1/106
キングハナハナ-30,2147,-295,"1,123",91.2%,-,-,-
SアイムジャグラーＥＸ,2063,-296,792,87.5%,2,1,1/264
L犬夜叉2,3041,-297,282,64.9%,-,-,-
マイジャグラーV,2020,-297,"2,963",96.7%,11,6,1/174
Lスマスロ北斗の拳,3118,-297,757,86.9%,5,2,1/108
マイジャグラーV,2096,-298,672,85.2%,2,0,1/336
ゴーゴージャグラー３,2083,-298,954,89.6%,3,2,1/191
沖ドキ！ＧＯＬＤ,2048,-298,689,85.6%,-,-,-
スマスロ ゲゲゲの鬼太郎 覚醒,3157,-299,228,56.3%,-,-,-
ゴーゴージャグラー３,2078,-299,"2,950",96.6%,9,10,1/155
スマスロ モンスターハンターライズ,3176,-300,"4,395",97.7%,-,-,-
L ToLOVEるダークネス,3087,-390,654,80.1%,-,-,-
マイジャグラーV,2116,-391,"1,323",90.1%,4,1,1/265
ハッピージャグラーＶＩＩＩ,2022,-391,900,85.5%,2,1,1/300
Lスマスロ北斗の拳,3006,-391,648,79.9%,4,1,1/130
Lパチスロ閃乱カグラ2 SHINOVI MASTER,3168,-391,645,79.8%,-,-,-
A-SLOT+ この素晴らしい世界に祝福を！,3165,-391,"2,073",93.7%,-,-,-
沖ドキ！ＧＯＬＤ,2176,-392,"2,487",94.7%,-,-,-
Lスマスロ　キン肉マン～７人の悪魔超人編～,3161,-395,691,80.9%,-,-,-
SアイムジャグラーＥＸ,2055,-396,"1,498",91.2%,5,2,1/214
スロット ゾンビランドサガ,3159,-396,608,78.3%,-,-,-
ゴーゴージャグラー３,2076,-397,"1,284",89.7%,4,3,1/183
マイジャグラーV,2094,-397,"3,350",96%,12,4,1/209
ファンキージャグラー２ＫＴ,2104,-397,"1,605",91.8%,7,1,1/201
ハッピージャグラーＶＩＩＩ,2023,-398,512,74.1%,1,0,1/512
今日から俺は!! パチスロ編,3151,-398,"4,623",97.1%,-,-,-
SアイムジャグラーＥＸ,2053,-399,"3,348",96%,11,7,1/186
マイジャグラーV,2103,-490,"2,806",94.2%,9,6,1/187
Lパチスロからくりサーカス,3053,-491,771,78.8%,-,-,-
パチスロ　甲鉄城のカバネリ,3169,-491,674,75.7%,-,-,-
スマスロ 一方通行 とある魔術の禁書目録,3078,-492,719,77.2%,-,-,-
SアイムジャグラーＥＸ,2069,-492,"1,461",88.8%,3,5,1/183
パチスロ　新鬼武者２,3146,-495,704,76.6%,-,-,-
L真・一騎当千,3113,-496,508,67.5%,-,-,-
キングハナハナ-30,2143,-497,"1,528",89.2%,-,-,-
スターハナハナ-30,2163,-499,"4,532",96.3%,-,-,-
キングハナハナ-30,2170,-502,"5,436",96.9%,-,-,-
Lパチスロ かぐや様は告らせたい,3062,-503,"1,270",86.8%,-,-,-
キングハナハナ-30,2146,-505,"8,896",98.1%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3015,-591,496,60.3%,-,-,-
スマスロ頭文字D 2nd,3036,-591,"1,008",80.5%,-,-,-
SアイムジャグラーＥＸ,2067,-591,"1,019",80.7%,3,0,1/340
キングハナハナ-30,2145,-591,"4,494",95.6%,-,-,-
クランキークレスト,2155,-593,"1,314",85%,-,-,-
Lスマスロ北斗の拳,3007,-594,"4,562",95.7%,34,11,1/101
SアイムジャグラーＥＸ,2058,-594,"2,961",93.3%,11,4,1/197
SアイムジャグラーＥＸ,2054,-595,"1,366",85.5%,2,4,1/228
SアイムジャグラーＥＸ,2052,-595,907,78.1%,1,3,1/227
マイジャグラーV,2093,-595,"3,169",93.7%,10,7,1/186
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3017,-596,866,77.1%,-,-,-
沖ドキ！ＧＯＬＤ-30,2175,-596,"4,585",95.7%,-,-,-
パチスロ　バイオハザード　ＲＥ：２,3145,-597,603,67%,-,-,-
マイジャグラーV,2102,-597,"2,388",91.7%,7,6,1/184
SアイムジャグラーＥＸ,2050,-599,"5,099",96.1%,17,16,1/155
SアイムジャグラーＥＸ,2056,-599,"2,136",90.7%,7,3,1/214
桃太郎電鉄～パチスロも定番！～,3034,-692,642,64.1%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,3065,-692,811,71.6%,-,-,-
SアイムジャグラーＥＸ,2062,-693,"3,362",93.1%,8,11,1/177
SアイムジャグラーＥＸ,2024,-693,"1,827",87.4%,5,2,1/261
SアイムジャグラーＥＸ,2070,-694,"1,645",85.9%,4,1,1/329
Lスマスロ北斗の拳,3115,-696,"7,351",96.8%,54,13,1/110
押忍！番長4,3032,-698,"2,691",91.4%,-,-,-
ファンキージャグラー２ＫＴ,2108,-698,"4,726",95.1%,16,13,1/163
スマスロ頭文字D 2nd,3037,-699,567,58.9%,-,-,-
ジャグラーガールズSS,2071,-699,"1,643",85.8%,-,-,-
マイジャグラーV,2099,-699,"2,146",89.1%,5,5,1/215
ミスタージャグラー,2088,-700,"2,911",92%,-,-,-
L ToLOVEるダークネス,3089,-705,"2,315",89.8%,-,-,-
Lスマスロ北斗の拳,3124,-705,"1,493",84.3%,9,2,1/136
Lルパン三世 大航海者の秘宝,3083,-790,"1,436",81.7%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3018,-790,608,56.7%,-,-,-
L南国育ち,2034,-791,"1,533",82.8%,-,-,-
スマスロ ゴッドイーター リザレクション,3101,-791,"1,392",81.1%,-,-,-
Lパチスロ炎炎ノ消防隊,3071,-792,"1,568",83.2%,-,-,-
マイジャグラーV,2118,-794,"5,711",95.4%,18,15,1/173
沖ドキ！ＧＯＬＤ-30,2174,-794,"2,498",89.4%,-,-,-
新ハナビ,2149,-795,"8,378",96.8%,-,-,-
Lパチスロからくりサーカス,3052,-796,"1,235",78.5%,-,-,-
ゴーゴージャグラー３,2077,-796,"2,210",88%,4,10,1/158
ゴーゴージャグラー３,2079,-797,"1,830",85.5%,4,2,1/305
SアイムジャグラーＥＸ,2057,-798,917,71%,1,0,1/917
沖ドキ！ＧＯＬＤ-30,2128,-891,"3,603",91.8%,-,-,-
Lパチスロ かぐや様は告らせたい,3059,-894,"1,867",84%,-,-,-
沖ドキ！ＧＯＬＤ-30,2132,-895,"3,378",91.2%,-,-,-
沖ドキ！ＧＯＬＤ-30,2133,-897,"2,879",89.6%,-,-,-
パチスロ　ディスクアップ２,2161,-899,660,54.6%,0,1,1/660
マイジャグラーV,2016,-901,"4,433",93.2%,14,11,1/177
マイジャグラーV,2019,-994,"4,718",93%,12,15,1/175
沖ドキ！ＧＯＬＤ,2045,-997,"3,197",89.6%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,3025,-999,706,52.8%,-,-,-
ゴーゴージャグラー３,2081,"-1,100","2,209",83.4%,6,4,1/221
L戦国乙女４　戦乱に閃く炯眼の軍師,3093,"-1,100","1,253",70.7%,-,-,-
Lパチスロからくりサーカス,3182,"-1,101","2,952",87.6%,-,-,-
キングハナハナ-30,2142,"-1,102","1,278",71.3%,-,-,-
スロット Re:ゼロから始める異世界生活 season2,3137,"-1,102","3,403",89.2%,-,-,-
SアイムジャグラーＥＸ,2051,"-1,190","1,943",79.6%,3,5,1/243
Lパチスロ革命機ヴァルヴレイヴ,3064,"-1,192","1,196",66.8%,-,-,-
スマスロ モンスターハンターライズ,3175,"-1,193","6,423",93.8%,-,-,-
パチスロハイパーラッシュ,2156,"-1,194","2,394",83.4%,-,-,-
Lスマスロ北斗の拳,3013,"-1,196","4,046",90.1%,29,10,1/104
沖ドキ!ゴージャス 30Φ,2136,"-1,197","6,356",93.7%,-,-,-
スマスロ モンスターハンターライズ,3179,"-1,284","3,835",88.8%,-,-,-
スマスロモンキーターンV,3108,"-1,296","3,369",87.2%,-,-,-
マイジャグラーV,2010,"-1,297","4,918",91.2%,12,14,1/189
L戦国乙女４　戦乱に閃く炯眼の軍師,3097,"-1,298","1,696",74.5%,-,-,-
Lスマスロ北斗の拳,3008,"-1,299","1,495",71%,5,3,1/187
Lゴジラ対エヴァンゲリオン,3049,"-1,299","1,638",73.6%,-,-,-
Lパチスロからくりサーカス,3056,"-1,300","2,755",84.3%,-,-,-
Lパチスロ かぐや様は告らせたい,3061,"-1,301",912,52.4%,-,-,-
マイジャグラーV,2006,"-1,394","1,727",73.1%,2,2,1/432
スマスロ聖戦士ダンバイン,3044,"-1,394","2,063",77.5%,-,-,-
スマスロモンキーターンV,3109,"-1,394","2,663",82.6%,-,-,-
L真・一騎当千,3092,"-1,394","1,261",63.2%,-,-,-
スマスロ 一方通行 とある魔術の禁書目録,3080,"-1,494","3,781",86.8%,-,-,-
チバリヨ2,2031,"-1,496","2,135",76.6%,-,-,-
沖ドキ！ＧＯＬＤ,2042,"-1,498","2,974",83.2%,-,-,-
スロット Re:ゼロから始める異世界生活 season2,3138,"-1,590","1,652",67.9%,-,-,-
Lスマスロ北斗の拳,3004,"-1,592","2,604",79.6%,12,6,1/145
L ToLOVEるダークネス,3086,"-1,593","2,230",76.2%,-,-,-
Lパチスロ ダンベル何キロ持てる？,3133,"-1,594","3,193",83.4%,-,-,-
L ToLOVEるダークネス,3085,"-1,596","1,611",67%,-,-,-
スマスロモンキーターンV,3103,"-1,599","4,363",87.8%,-,-,-
Lバンドリ！,3072,"-1,599","1,300",59%,-,-,-
Lゴジラ対エヴァンゲリオン,3050,"-1,686","1,851",69.6%,-,-,-
沖ドキ！ＧＯＬＤ-30,2131,"-1,686","2,560",78%,-,-,-
スマスロモンキーターンV,3112,"-1,690","4,765",88.2%,-,-,-
Lスマスロ北斗の拳,3012,"-1,692","2,889",80.5%,13,4,1/170
Lルパン三世 大航海者の秘宝,3082,"-1,701","2,652",78.6%,-,-,-
マイジャグラーV,2012,"-1,703","3,818",85.1%,8,7,1/255
Lルパン三世 大航海者の秘宝,3084,"-1,703","2,566",77.9%,-,-,-
沖ドキ！BLACK,2140,"-1,791","7,364",91.9%,-,-,-
スマスロ鬼武者3,3163,"-1,794","1,288",53.6%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,3066,"-1,794","1,722",65.3%,-,-,-
Lスマスロ北斗の拳,3121,"-1,798","5,534",89.2%,35,15,1/111
沖ドキ！BLACK,2139,"-1,804","5,538",89.1%,-,-,-
Lゴブリンスレイヤー,3028,"-1,898","2,107",70%,-,-,-
Lスマスロ北斗の拳,3120,"-1,985","1,791",63.1%,3,2,1/358
Lパチスロ ダンベル何キロ持てる？,3132,"-1,991","3,763",82.4%,-,-,-
スマスロ ゴッドイーター リザレクション,3102,"-1,993","2,525",73.7%,-,-,-
スマスロモンキーターンV,3104,"-2,199","2,116",65.4%,-,-,-
沖ドキ！ＧＯＬＤ,2047,"-2,201","2,508",70.7%,-,-,-
Lスマスロ北斗の拳,3001,"-2,203","4,411",83.4%,27,9,1/123
L南国育ち,2032,"-2,296","3,042",74.8%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3016,"-2,396","3,126",74.5%,-,-,-
スマスロ モンスターハンターライズ,3180,"-2,592","6,454",86.6%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,3096,"-2,593","1,891",54.3%,-,-,-
Lスマスロ北斗の拳,3119,"-2,704","5,125",82.4%,27,7,1/151
チバリヨ2,2028,"-2,798","2,505",62.8%,-,-,-
Lパチスロからくりサーカス,3058,"-2,887","4,380",78%,-,-,-
沖ドキ！ＧＯＬＤ-30,2130,"-2,889","7,237",86.7%,-,-,-
Lパチスロからくりサーカス,3051,"-2,891","3,466",72.2%,-,-,-
沖ドキ！ＧＯＬＤ-30,2127,"-2,909","7,665",87.3%,-,-,-
沖ドキ！ＧＯＬＤ,2043,"-2,910","7,603",87.2%,-,-,-
Lパチスロ炎炎ノ消防隊,3070,"-3,003","4,710",78.7%,-,-,-
