機種,台番,差枚,G数,出率,BB,RB,合成
Lパチスロからくりサーカス,157,"13,506","3,471",229.7%,-,-,-
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,1399,"11,475","3,571",207.1%,-,-,-
吉宗,863,"11,325","5,844",164.6%,-,-,-
スマスロ 東京リベンジャーズ,816,"11,019","8,996",140.8%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,91,"11,013","9,076",140.4%,-,-,-
スマスロ 東京リベンジャーズ,811,"10,519","9,222",138%,-,-,-
Lダーリン・イン・ザ・フランキス,4,"8,533",719,495.6%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,1367,"8,482","6,885",141.1%,-,-,-
スマスロ 東京リベンジャーズ,822,"8,005","7,823",134.1%,-,-,-
スマスロ ゴッドイーター リザレクション,643,"7,894","3,547",174.2%,-,-,-
スマスロ 東京リベンジャーズ,820,"7,838","8,868",129.5%,-,-,-
L少女☆歌劇 レヴュースタァライト -The SLOT-,700,"7,786","6,826",138%,-,-,-
スマスロ 東京リベンジャーズ,819,"7,100","9,328",125.4%,-,-,-
L東京喰種,807,"6,086","7,187",128.2%,-,-,-
スマスロ 七つの魔剣が支配する,1341,"5,889","3,395",157.8%,-,-,-
L東京喰種,806,"5,602","6,664",128%,-,-,-
スマスロ ゴッドイーター リザレクション,653,"5,515","4,387",141.9%,-,-,-
スマスロモンキーターンV,713,"5,197","5,004",134.6%,-,-,-
L東京喰種,842,"5,090","5,698",129.8%,-,-,-
Lパチスロ かぐや様は告らせたい,132,"4,990","4,509",136.9%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,29,"4,901","2,223",173.5%,-,-,-
チバリヨ2,1371,"4,712","5,298",129.6%,-,-,-
L ToLOVEるダークネス,12,"4,696","3,467",145.1%,-,-,-
スマスロ モンスターハンターライズ,665,"4,414","6,548",122.5%,-,-,-
スマスロ 東京リベンジャーズ,818,"4,206","8,717",116.1%,-,-,-
Lパチスロ炎炎ノ消防隊,1426,"3,992","8,543",115.6%,-,-,-
L咲-Saki-頂上決戦,18,"3,925","2,298",156.9%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,34,"3,803","2,060",161.5%,-,-,-
スマスロモンキーターンV,717,"3,800","6,139",120.6%,-,-,-
沖ドキ！BLACK,1319,"3,716","6,473",119.1%,-,-,-
SアイムジャグラーＥＸ,1098,"3,593","6,836",117.5%,39,18,1/120
スマスロ 東京リベンジャーズ,814,"3,592","8,333",114.4%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,881,"3,510","2,932",139.9%,-,-,-
スマスロ モンスターハンターライズ,660,"3,503","3,053",138.2%,-,-,-
スマスロ 東京リベンジャーズ,815,"3,419","8,711",113.1%,-,-,-
この素晴らしい世界に祝福を！,1420,"3,418","3,977",128.6%,-,-,-
吉宗,864,"3,414","3,086",136.9%,-,-,-
Lスマスロ北斗の拳,72,"3,413","3,002",137.9%,45,6,1/59
スマスロ スーパーブラックジャック,691,"3,304","1,105",199.7%,-,-,-
沖ドキ！BLACK,1325,"3,304","4,771",123.1%,-,-,-
スマスロ 東京リベンジャーズ,817,"3,296","8,262",113.3%,-,-,-
沖ドキ!ゴージャス 30Φ,1304,"3,209","3,719",128.8%,-,-,-
吉宗,885,"3,107","5,054",120.5%,-,-,-
L少女☆歌劇 レヴュースタァライト -The SLOT-,701,"3,096","6,352",116.2%,-,-,-
Lパチスロ かぐや様は告らせたい,118,"3,092","5,149",120%,-,-,-
沖ドキ！BLACK,1306,"3,007","3,757",126.7%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,37,"3,003","3,816",126.2%,-,-,-
沖ドキ!ゴージャス 30Φ,1312,"2,898","3,126",130.9%,-,-,-
Lパチスロ かぐや様は告らせたい,127,"2,805","3,234",128.9%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,865,"2,796","5,849",115.9%,-,-,-
ゴーゴージャグラー３,1111,"2,715","6,333",114.3%,35,22,1/111
いざ！番長,680,"2,714","3,116",129%,-,-,-
マイジャグラーV,617,"2,711","7,153",112.6%,40,20,1/119
Lパチスロ かぐや様は告らせたい,135,"2,710","2,027",144.6%,-,-,-
SアイムジャグラーＥＸ,1067,"2,618","3,102",128.1%,25,2,1/115
スマスロ 七つの魔剣が支配する,1342,"2,618","1,308",166.7%,-,-,-
クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,1414,"2,514","8,634",109.7%,-,-,-
マイジャグラーV,619,"2,504","6,086",113.7%,31,18,1/124
Lスマスロ北斗の拳,73,"2,503","2,847",129.3%,37,9,1/62
Lスマスロ北斗の拳,55,"2,315","1,596",148.4%,28,2,1/53
スマスロ デビルメイクライ5 スタイリッシュトライブ,1368,"2,308","4,729",116.3%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,849,"2,307","3,095",124.8%,-,-,-
L東京喰種,805,"2,299","5,834",113.1%,-,-,-
マイジャグラーV,1026,"2,221","6,613",111.2%,33,19,1/127
マイジャグラーV,616,"2,216","8,707",108.5%,43,23,1/132
マイジャグラーV,611,"2,215","7,175",110.3%,35,21,1/128
新ハナビ,1382,"2,214","7,024",110.5%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,30,"2,212","5,422",113.6%,-,-,-
マイジャグラーV,1034,"2,104","8,268",108.5%,37,31,1/122
マイジャグラーV,1024,"2,103","5,697",112.3%,28,22,1/114
マイジャグラーV,738,"2,102","6,338",111.1%,29,23,1/122
ハッピージャグラーＶＩＩＩ,1137,"2,101","6,624",110.6%,34,19,1/125
L東京喰種,844,"2,099","5,565",112.6%,-,-,-
マイジャグラーV,744,"2,002","6,622",110.1%,32,20,1/127
ウルトラミラクルジャグラー,1060,"1,997","3,731",117.8%,-,-,-
沖ドキ！BLACK,1327,"1,995","3,420",119.4%,-,-,-
いざ！番長,679,"1,916","6,819",109.4%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,851,"1,915","4,712",113.5%,-,-,-
キングハナハナ-30,1458,"1,913","5,481",111.6%,-,-,-
スマスロ モンスターハンターライズ,674,"1,912","2,597",124.5%,-,-,-
SアイムジャグラーＥＸ,1096,"1,911","4,712",113.5%,26,12,1/124
マイジャグラーV,631,"1,911","8,140",107.8%,37,24,1/133
Lパチスロからくりサーカス,108,"1,817","4,491",113.5%,-,-,-
スマスロモンキーターンV,708,"1,817","8,417",107.2%,-,-,-
マイジャグラーV,769,"1,816","7,337",108.3%,38,15,1/138
スマスロモンキーターンV,705,"1,804","4,466",113.5%,-,-,-
ミスタージャグラー,1085,"1,801","6,761",108.9%,-,-,-
L東京喰種,804,"1,712","6,465",108.8%,-,-,-
マタドールⅢ,1329,"1,703","5,798",109.8%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,31,"1,703","2,866",119.8%,-,-,-
マイジャグラーV,601,"1,613","6,862",107.8%,31,21,1/132
マイジャグラーV,1011,"1,612","1,998",126.9%,12,9,1/95
スマスロ モンスターハンターライズ,667,"1,610","5,145",110.4%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,1360,"1,609","4,882",111%,19,16,1/139
ファンキージャグラー２ＫＴ,748,"1,608","7,023",107.6%,33,20,1/133
ファンキージャグラー２ＫＴ,756,"1,608","6,745",107.9%,34,18,1/130
ファンキージャグラー２ＫＴ,1156,"1,607","3,810",114.1%,20,10,1/127
L東京喰種,843,"1,603","6,541",108.2%,-,-,-
スマスロ モンスターハンターライズ,671,"1,508","3,250",115.5%,-,-,-
マイジャグラーV,764,"1,508","6,506",107.7%,32,12,1/148
アレックス ブライト,1462,"1,506","4,455",111.3%,-,-,-
マイジャグラーV,732,"1,506","5,928",108.5%,30,15,1/132
Lスマスロ北斗の拳,39,"1,505",895,156.1%,19,1,1/45
ファンキージャグラー２ＫＴ,1152,"1,504","9,196",105.5%,42,20,1/148
スマスロ モンスターハンターライズ,661,"1,418","3,122",115.1%,-,-,-
Lスマスロ北斗の拳,46,"1,417","6,763",107%,66,11,1/88
A-SLOT+ ディスクアップ ULTRAREMIX,1359,"1,402","3,942",111.9%,16,11,1/146
マイジャグラーV,1033,"1,402","8,609",105.4%,34,27,1/141
ゴーゴージャグラー３,1055,"1,315","2,431",118%,12,15,1/90
マイジャグラーV,1007,"1,314","4,976",108.8%,23,15,1/131
この素晴らしい世界に祝福を！,1419,"1,310","1,444",130.2%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,1362,"1,309","6,783",106.4%,27,7,1/200
ウルトラミラクルジャグラー,1059,"1,309","4,322",110.1%,-,-,-
L少女☆歌劇 レヴュースタァライト -The SLOT-,702,"1,303","6,927",106.3%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,32,"1,301","1,762",124.6%,-,-,-
マイジャグラーV,766,"1,210","5,114",107.9%,21,19,1/128
スマスロ モンスターハンターライズ,670,"1,209","4,787",108.4%,-,-,-
マイジャグラーV,739,"1,209","6,975",105.8%,28,24,1/134
沖ドキ!ゴージャス 30Φ,1313,"1,206","3,979",110.1%,-,-,-
スマスロ スーパーブラックジャック,690,"1,204","3,537",111.3%,-,-,-
沖ドキ！BLACK,1326,"1,204","1,157",134.7%,-,-,-
ネオアイムジャグラーEX,1093,"1,202","5,041",107.9%,21,23,1/115
ミスタージャグラー,1087,"1,201","3,537",111.3%,-,-,-
スマスロ 東京リベンジャーズ,826,"1,107","9,330",104%,-,-,-
Lダーリン・イン・ザ・フランキス,7,"1,104",768,147.9%,-,-,-
マイジャグラーV,1133,"1,103","8,786",104.2%,31,33,1/137
Lパチスロ炎炎ノ消防隊,1428,"1,103","2,548",114.4%,-,-,-
SアイムジャグラーＥＸ,1100,"1,021","6,867",105%,27,24,1/135
マイジャグラーV,618,"1,016","6,819",105%,27,25,1/131
Lスマスロ北斗の拳,57,"1,016",695,148.7%,12,1,1/53
マイジャグラーV,1131,"1,014","5,930",105.7%,27,18,1/132
マイジャグラーV,1029,"1,011","7,127",104.7%,28,25,1/134
ゴーゴージャグラー３,1120,"1,010","6,287",105.4%,26,24,1/126
A-SLOT+ ディスクアップ ULTRAREMIX,1363,"1,010","4,536",107.4%,15,15,1/151
Lパチスロからくりサーカス,116,"1,009","1,183",128.4%,-,-,-
ゴーゴージャグラー３,1124,"1,005","7,122",104.7%,30,26,1/127
LBパチスロ ヱヴァンゲリヲン～約束の扉～,1350,"1,004","2,711",112.3%,-,-,-
Lスマスロ北斗の拳,43,"1,003","1,560",121.4%,21,1,1/71
ファンキージャグラー２ＫＴ,751,915,"3,374",109%,17,11,1/121
スマスロ モンスターハンターライズ,655,914,"1,842",116.5%,-,-,-
SアイムジャグラーＥＸ,1078,913,"3,156",109.6%,16,8,1/132
スマスロ モンスターハンターライズ,657,910,"1,147",126.4%,-,-,-
SアイムジャグラーＥＸ,1080,910,"4,922",106.2%,21,13,1/145
キングハナハナ-30,1461,909,"3,613",108.4%,-,-,-
SアイムジャグラーＥＸ,1069,909,"6,583",104.6%,25,27,1/127
Lパチスロ革命機ヴァルヴレイヴ,85,908,"3,500",108.6%,-,-,-
ハイビリターン-30,1333,907,"2,738",111%,-,-,-
パチスロ　甲鉄城のカバネリ,1421,904,644,146.8%,-,-,-
マイジャグラーV,735,901,"8,026",103.7%,29,33,1/129
キングハナハナ-30,1454,901,"1,768",117%,-,-,-
ドラゴンハナハナ～閃光～‐30,1440,810,"2,159",112.5%,-,-,-
ファンキージャグラー２ＫＴ,746,810,"6,138",104.4%,28,13,1/150
L少女☆歌劇 レヴュースタァライト -The SLOT-,699,804,"6,753",104%,-,-,-
Lダーリン・イン・ザ・フランキス,8,801,"1,726",115.5%,-,-,-
ゴーゴージャグラー３,1112,800,"6,645",104%,31,20,1/130
ゴーゴージャグラー３,1057,800,"7,611",103.5%,31,32,1/121
スマスロモンキーターンV,715,797,"3,499",107.6%,-,-,-
ゴーゴージャグラー３,1107,797,"3,675",107.2%,20,7,1/136
SアイムジャグラーＥＸ,1063,797,"5,843",104.5%,27,13,1/146
LBパチスロ ヱヴァンゲリヲン～約束の扉～,1354,795,"5,583",104.7%,-,-,-
Lスマスロ北斗の拳,44,716,"1,707",114%,17,4,1/81
スマスロ ゴッドイーター リザレクション,635,716,"1,912",112.5%,-,-,-
ドラゴンハナハナ～閃光～‐30,1435,715,"2,088",111.4%,-,-,-
スマスロモンキーターンV,722,715,"2,931",108.1%,-,-,-
ゴーゴージャグラー３,1101,715,"5,688",104.2%,27,11,1/150
ドラゴンハナハナ～閃光～‐30,1431,714,"5,605",104.2%,-,-,-
パチスロ わたしの幸せな結婚,1401,713,557,142.7%,-,-,-
マイジャグラーV,768,713,"4,459",105.3%,19,12,1/144
吉宗,834,712,"1,856",112.8%,-,-,-
沖ドキ!ゴージャス 30Φ,1301,712,"3,003",107.9%,-,-,-
ゴーゴージャグラー３,1054,710,"3,963",106%,18,13,1/128
Lパチスロからくりサーカス,149,710,415,157%,-,-,-
ファンキージャグラー２ＫＴ,758,708,"4,721",105%,22,11,1/143
ハッピージャグラーＶＩＩＩ,1140,708,"1,982",111.9%,11,3,1/142
Lパチスロ かぐや様は告らせたい,143,707,"2,128",111.1%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,94,707,"1,582",114.9%,-,-,-
L東京喰種,855,617,"7,231",102.8%,-,-,-
Lスマスロ北斗の拳,52,610,"2,049",109.9%,23,3,1/79
ジャグラーガールズSS,1143,609,"4,384",104.6%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,87,609,859,123.6%,-,-,-
Lソードアート・オンライン,1409,607,"1,292",115.7%,-,-,-
Lパチスロ かぐや様は告らせたい,131,606,"1,194",116.9%,-,-,-
スマスロ スーパーブラックジャック,693,604,"1,639",112.3%,-,-,-
Lスマスロ北斗の拳,63,603,"2,069",109.7%,25,3,1/74
マイジャグラーV,1022,603,"8,263",102.4%,28,33,1/135
スマスロモンキーターンV,707,601,"3,048",106.6%,-,-,-
ジャグラーガールズSS,1167,516,"1,757",109.8%,-,-,-
マイジャグラーV,1049,509,"4,217",104%,18,11,1/145
マイジャグラーV,733,501,"5,900",102.8%,24,16,1/148
スマスロ 東京リベンジャーズ,829,496,"8,149",102%,-,-,-
スマスロモンキーターンV,709,495,"3,143",105.2%,-,-,-
スマスロ 東京リベンジャーズ,825,414,"8,539",101.6%,-,-,-
いざ！番長,685,414,"3,954",103.5%,-,-,-
SアイムジャグラーＥＸ,1084,410,"1,136",112%,6,3,1/126
沖ドキ！ＧＯＬＤ-30,1310,409,"7,150",101.9%,-,-,-
キングハナハナ-30,1455,409,"2,562",105.3%,-,-,-
スマスロ モンスターハンターライズ,664,409,"1,767",107.7%,-,-,-
Lスマスロ北斗の拳,74,408,"1,510",109%,15,4,1/79
バーサスリヴァイズ,1378,408,"2,093",106.5%,-,-,-
マイジャグラーV,771,407,"4,694",102.9%,21,9,1/156
スマスロ ゴッドイーター リザレクション,647,405,360,137.5%,-,-,-
スマスロモンキーターンV,730,405,"2,307",105.9%,-,-,-
ファンキージャグラー２ＫＴ,1158,401,"2,842",104.7%,11,11,1/129
Lスマスロ北斗の拳,65,316,372,128.3%,4,1,1/74
マイジャグラーV,603,316,"7,340",101.4%,25,28,1/138
ハッピージャグラーＶＩＩＩ,1136,316,"4,823",102.2%,18,15,1/146
ハッピージャグラーＶＩＩＩ,1141,314,"6,081",101.7%,22,23,1/135
Lパチスロ ありふれた職業で世界最強,1392,314,352,129.7%,-,-,-
ドラゴンハナハナ～閃光～‐30,1442,313,"3,208",103.3%,-,-,-
ジャグラーガールズSS,1149,313,"3,802",102.7%,-,-,-
ネオアイムジャグラーEX,1091,312,"5,267",102%,23,10,1/160
スマスロ ドルアーガの塔,1384,312,"7,879",101.3%,-,-,-
キングハナハナ-30,1451,312,804,112.9%,-,-,-
マイジャグラーV,626,312,"6,435",101.6%,25,15,1/161
Lスマスロ北斗の拳,64,311,"2,006",105.2%,19,5,1/84
L ToLOVEるダークネス,14,311,"1,075",109.6%,-,-,-
ハッピージャグラーＶＩＩＩ,1139,309,"6,171",101.7%,25,16,1/151
ファンキージャグラー２ＫＴ,755,308,"3,213",103.2%,16,4,1/161
Lパチスロからくりサーカス,106,307,179,157.2%,-,-,-
アレックス ブライト,1397,307,"1,932",105.3%,-,-,-
マイジャグラーV,1017,307,"7,867",101.3%,22,42,1/123
スターハナハナ-30,1446,302,"3,337",103%,-,-,-
L東京喰種,858,216,"7,585",100.9%,-,-,-
沖ドキ！BLACK,1320,208,"2,722",102.5%,-,-,-
