機種,台番,差枚,G数,出率,BB,RB,合成
ゴーゴージャグラー３,1055,702,"2,218",110.6%,10,9,1/117
Lスマスロ北斗の拳,58,701,474,149.3%,7,1,1/59
ゴーゴージャグラー３,1118,610,"5,011",104.1%,22,11,1/152
マイジャグラーV,1022,609,"5,705",103.6%,25,18,1/133
スマスロ スーパーブラックジャック,810,608,"1,972",110.3%,-,-,-
Lスマスロ北斗の拳,54,606,"3,345",106%,29,6,1/96
マイジャグラーV,1127,606,"8,024",102.5%,32,23,1/146
マイジャグラーV,764,606,"5,868",103.4%,24,18,1/140
ジャグラーガールズSS,1169,604,"4,390",104.6%,-,-,-
沖ドキ！BLACK,1320,604,"1,330",115.1%,-,-,-
SアイムジャグラーＥＸ,1084,603,"4,281",104.7%,15,19,1/126
マイジャグラーV,1035,602,"5,811",103.5%,24,16,1/145
キングハナハナ-30,1449,601,"7,258",102.8%,-,-,-
スマスロ モンスターハンターライズ,676,514,"3,157",105.4%,-,-,-
沖ドキ!ゴージャス 30Φ,1304,510,"2,441",107%,-,-,-
Lパチスロ炎炎ノ消防隊,1348,509,"4,067",104.2%,-,-,-
マイジャグラーV,741,509,"4,549",103.7%,19,13,1/142
ファンキージャグラー２ＫＴ,750,509,"2,766",106.1%,12,8,1/138
沖ドキ！BLACK,1317,507,"1,733",109.8%,-,-,-
ミスタージャグラー,1089,507,"2,357",107.2%,-,-,-
ウルトラミラクルジャグラー,1059,506,"5,090",103.3%,-,-,-
マイジャグラーV,1041,503,"3,959",104.2%,15,17,1/124
パチスロ　甲鉄城のカバネリ,1422,502,10,-,-,-,-
ジャグラーガールズSS,1167,502,"2,701",106.2%,-,-,-
沖ドキ!ゴージャス 30Φ,1312,410,"5,037",102.7%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,1368,410,526,126%,-,-,-
Lパチスロからくりサーカス,156,409,288,147.3%,-,-,-
沖ドキ！BLACK,1319,409,"4,906",102.8%,-,-,-
マイジャグラーV,1012,408,"4,928",102.8%,20,14,1/145
沖ドキ！BLACK,1315,407,"3,637",103.7%,-,-,-
スマスロモンキーターンV,718,405,"2,299",105.9%,-,-,-
マイジャグラーV,766,405,"6,437",102.1%,25,20,1/143
Lスマスロ北斗の拳,52,404,586,123%,7,1,1/73
Lスマスロ北斗の拳,70,402,"2,637",105.1%,26,4,1/88
ゴーゴージャグラー３,1121,402,"3,909",103.4%,17,10,1/145
SアイムジャグラーＥＸ,1080,402,"3,414",103.9%,11,15,1/131
SアイムジャグラーＥＸ,1079,401,"3,274",104.1%,14,10,1/136
Lスマスロ北斗の拳,51,401,"4,200",103.2%,38,5,1/98
ハッピージャグラーＶＩＩＩ,1141,401,"2,021",106.6%,11,2,1/155
マイジャグラーV,1050,315,"5,478",101.9%,21,17,1/144
ドラゴンハナハナ～閃光～‐30,1442,311,"6,711",101.5%,-,-,-
ファンキージャグラー２ＫＴ,758,310,"6,461",101.6%,28,9,1/175
Lスマスロ北斗の拳,63,310,"6,407",101.6%,57,18,1/85
ゴーゴージャグラー３,1123,309,"4,365",102.4%,21,10,1/141
ゴーゴージャグラー３,1054,308,"1,487",106.9%,6,6,1/124
スマスロ ゴッドイーター リザレクション,649,308,"2,130",104.8%,-,-,-
スマスロ アイドルマスター ミリオンライブ！ネクストプロローグ,1339,308,"1,177",108.7%,-,-,-
Lスマスロ北斗の拳,57,307,"3,701",102.8%,34,5,1/95
Lスーパービンゴネオ,10,307,"1,036",109.9%,-,-,-
スマスロ スーパーブラックジャック,811,307,"2,596",103.9%,-,-,-
Lパチスロ 機動戦士ガンダムSEED,17,307,"1,288",107.9%,-,-,-
沖ドキ！BLACK,1323,301,"7,721",101.3%,-,-,-
スマスロ ゴッドイーター リザレクション,636,210,"1,706",104.1%,-,-,-
Lスマスロ北斗の拳,72,209,"1,946",103.6%,19,8,1/72
スマスロモンキーターンV,725,208,"1,419",104.9%,-,-,-
マイジャグラーV,1033,208,"7,659",100.9%,28,20,1/160
沖ドキ！BLACK,1307,207,"5,209",101.3%,-,-,-
キングハナハナ-30,1456,206,"8,082",100.8%,-,-,-
マイジャグラーV,1126,205,"3,448",102%,16,3,1/181
Lパチスロ革命機ヴァルヴレイヴ,91,205,943,107.2%,-,-,-
ゴーゴージャグラー３,1119,204,"4,542",101.5%,18,17,1/130
マイジャグラーV,1023,204,"5,876",101.2%,21,22,1/137
マイジャグラーV,1008,203,"6,832",101%,24,28,1/131
Lソードアート・オンライン,1407,203,"3,606",101.9%,-,-,-
マイジャグラーV,624,203,"6,087",101.1%,26,11,1/165
SアイムジャグラーＥＸ,1074,203,"3,203",102.1%,13,8,1/153
マイジャグラーV,623,202,"5,357",101.3%,20,16,1/149
スマスロ頭文字D 2nd,1349,202,852,107.9%,-,-,-
スマスロ ゴッドイーター リザレクション,634,116,"3,721",101%,-,-,-
キングハナハナ-30,1458,116,"8,570",100.5%,-,-,-
スマスロ モンスターハンターライズ,677,113,"3,333",101.1%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,89,112,"8,608",100.4%,-,-,-
ファンキージャグラー２ＫＴ,753,110,"6,743",100.5%,27,17,1/153
沖ドキ！BLACK,1321,110,"3,033",101.2%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,88,110,16,-,-,-,-
マイジャグラーV,1020,108,"3,335",101.1%,12,8,1/167
マイジャグラーV,1016,108,"7,713",100.5%,28,22,1/154
ファンキージャグラー２ＫＴ,1153,107,"2,116",101.7%,10,1,1/192
L麻雀物語,33,107,408,108.7%,-,-,-
スマスロ モンスターハンターライズ,672,106,828,104.3%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,93,104,15,-,-,-,-
L真・一騎当千,1342,104,591,105.9%,-,-,-
マイジャグラーV,603,103,"5,473",100.6%,25,8,1/166
ゴーゴージャグラー３,1122,103,"2,119",101.6%,8,10,1/118
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,1367,103,"1,785",101.9%,-,-,-
Lパチスロからくりサーカス,152,102,499,106.8%,-,-,-
マイジャグラーV,629,102,"6,257",100.5%,27,12,1/160
Lパチスロ かぐや様は告らせたい,119,98,"3,927",100.8%,-,-,-
Lパチスロからくりサーカス,151,0,276,100%,-,-,-
Lスマスロ北斗の拳,41,0,"1,745",100%,14,3,1/103
L少女☆歌劇 レヴュースタァライト -The SLOT-,657,0,"3,146",100%,-,-,-
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,692,0,"2,674",100%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,27,0,"8,024",100%,-,-,-
Lパチスロ 機動戦士ガンダムSEED,12,0,0,-,-,-,-
スマスロ ゴッドイーター リザレクション,652,0,"2,174",100%,-,-,-
スマスロ モンスターハンターライズ,665,0,"2,708",100%,-,-,-
Lゴジラ,7,0,"1,269",100%,-,-,-
Lスマスロ北斗の拳,66,0,903,100%,6,2,1/113
Lパチスロ 機動戦士ガンダムSEED,15,0,0,-,-,-,-
Lパチスロ 機動戦士ガンダムSEED,13,0,0,-,-,-,-
Lパチスロ かぐや様は告らせたい,143,0,0,-,-,-,-
Lパチスロ かぐや様は告らせたい,131,0,0,-,-,-,-
L麻雀物語,35,0,0,-,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,700,0,0,-,-,-,-
Lパチスロ 機動戦士ガンダムSEED,19,0,0,-,-,-,-
Lうしおととら 白面決戦,844,0,57,-,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,833,0,0,-,-,-,-
マイジャグラーV,1017,0,"2,179",100%,8,4,1/182
L東京喰種,839,0,"5,495",100%,-,-,-
ジャグラーガールズSS,1147,0,"1,658",100%,-,-,-
Lパチスロ 機動戦士ガンダムSEED,2,0,0,-,-,-,-
