機種,台番,差枚,G数,出率,BB,RB,合成
Lパチスロ かぐや様は告らせたい,2179,"13,433","7,914",156.6%,-,-,-
L麻雀物語,3051,"10,103","8,776",138.4%,-,-,-
Lパチスロからくりサーカス,2172,"9,120","7,390",141.1%,-,-,-
スマスロ ゴッドイーター リザレクション,2248,"8,003","5,056",152.8%,-,-,-
L ＨＥＹ！エリートサラリーマン鏡,3033,"7,205","7,761",130.9%,-,-,-
スマスロ ゴッドイーター リザレクション,2254,"6,596","5,929",137.1%,-,-,-
いざ！番長,2207,"6,501","8,384",125.8%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,2202,"6,305","7,092",129.6%,-,-,-
スマスロ ゴッドイーター リザレクション,2251,"6,121","5,414",137.7%,-,-,-
スマスロ ゴッドイーター リザレクション,2252,"6,020","5,914",133.9%,-,-,-
スマスロ ゴッドイーター リザレクション,2247,"6,013","5,291",137.9%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,2203,"5,887","7,459",126.3%,-,-,-
Lスーパービンゴネオ,2134,"5,702","6,853",127.7%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,2056,"5,684","9,030",121%,-,-,-
スマスロモンキーターンV,2244,"5,513","9,164",120.1%,-,-,-
Lパチスロ かぐや様は告らせたい,2264,"5,408","8,272",121.8%,-,-,-
スマスロ バイオハザード5,2184,"5,320","5,961",129.7%,-,-,-
スマスロモンキーターンV,2242,"5,301","7,841",122.5%,-,-,-
Lスマスロ北斗の拳,2233,"5,299","7,352",124%,92,13,1/70
L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3041,"5,193","3,411",150.7%,-,-,-
チバリヨ2,2084,"5,189","6,081",128.4%,-,-,-
いざ！番長,2208,"5,128","9,107",118.8%,-,-,-
Lパチスロ炎炎ノ消防隊,3094,"4,698","7,370",121.2%,-,-,-
押忍！番長4,3114,"4,598","5,395",128.4%,-,-,-
スマスロ シャーマンキング,3040,"4,597","4,088",137.5%,-,-,-
吉宗,2201,"4,208","6,997",120%,-,-,-
スマスロ アイドルマスター ミリオンライブ！ネクストプロローグ,3056,"4,008","3,783",135.3%,-,-,-
パチスロ　ディスクアップ２,3022,"3,922","6,395",120.4%,32,17,1/131
Lパチスロ革命機ヴァルヴレイヴ,3101,"3,918","5,866",122.3%,-,-,-
押忍！番長4,3111,"3,912","7,213",118.1%,-,-,-
マイジャグラーV,2016,"3,607","9,112",113.2%,46,33,1/115
吉宗,2198,"3,592","7,627",115.7%,-,-,-
L ToLOVEるダークネス,2156,"3,506","8,493",113.8%,-,-,-
スマスロ シャーマンキング,3039,"3,391","4,845",123.3%,-,-,-
