機種,台番,差枚,G数,出率,BB,RB,合成
Lゴジラ対エヴァンゲリオン,3029,"-2,205","1,970",62.7%,-,-,-
Lスーパービンゴネオ,2134,"-2,292","4,072",81.2%,-,-,-
スマスロ スーパーブラックジャック,2259,"-2,396","2,328",65.7%,-,-,-
L東京喰種,2159,"-2,497","7,050",88.2%,-,-,-
Lパチスロからくりサーカス,2169,"-2,696","3,815",76.4%,-,-,-
L ToLOVEるダークネス,2194,"-2,702","3,387",73.4%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,2265,"-2,798","2,748",66.1%,-,-,-
Lパチスロ炎炎ノ消防隊,3096,"-2,802","4,476",79.1%,-,-,-
L東京喰種,2165,"-3,101","6,745",84.7%,-,-,-
Lバンドリ！,3036,"-3,191","2,765",61.5%,-,-,-
スマスロ スーパーブラックジャック,2257,"-3,292","2,484",55.8%,-,-,-
L東京喰種,2162,"-3,405","6,782",83.3%,-,-,-
Lパチスロからくりサーカス,2171,"-3,910","4,773",72.7%,-,-,-
L ToLOVEるダークネス,2196,"-3,998","5,702",76.6%,-,-,-
