機種,台番,差枚,G数,出率,BB,RB,合成
Lパチスロ革命機ヴァルヴレイヴ,2264,"18,003","9,872",160.8%,-,-,-
スロット Re:ゼロから始める異世界生活 season2,3113,"12,976","5,749",175.2%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,2155,"11,702","8,890",143.9%,-,-,-
スマスロ シャーマンキング,2205,"11,300","7,916",147.6%,-,-,-
Lスマスロ北斗の拳,2225,"10,297","5,659",160.7%,107,7,1/50
Lパチスロ ありふれた職業で世界最強,2182,"10,290","8,933",138.4%,-,-,-
L東京喰種,2165,"9,827","8,115",140.4%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,2157,"8,938","9,276",132.1%,-,-,-
Lパチスロ かぐや様は告らせたい,2198,"8,672","8,723",133.1%,-,-,-
Lパチスロからくりサーカス,2167,"8,527","5,395",152.7%,-,-,-
スマスロ シャーマンキング,2206,"7,108","7,048",133.6%,-,-,-
スマスロモンキーターンV,2242,"6,592","8,127",127%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,2178,"6,385","8,039",126.5%,-,-,-
スマスロ シャーマンキング,2268,"6,021","7,919",125.3%,-,-,-
Lスマスロ北斗の拳,2214,"6,020","7,289",127.5%,100,18,1/62
Lパチスロ革命機ヴァルヴレイヴ,2265,"6,016","8,280",124.2%,-,-,-
L ToLOVEるダークネス,2196,"5,809","7,658",125.3%,-,-,-
Lスマスロ北斗の拳,2228,"5,719","3,772",150.5%,65,7,1/52
L東京喰種,2160,"5,408","8,281",121.8%,-,-,-
スマスロ ゴッドイーター リザレクション,2251,"5,328","5,963",129.8%,-,-,-
スマスロ スーパーブラックジャック,2257,"5,303","4,732",137.4%,-,-,-
L東京喰種,2163,"5,194","7,490",123.1%,-,-,-
Lパチスロからくりサーカス,2168,"5,125","5,117",133.4%,-,-,-
Lスマスロ北斗の拳,2224,"5,123","6,557",126%,84,10,1/70
Lパチスロ ありふれた職業で世界最強,2180,"5,121","7,896",121.6%,-,-,-
チバリヨ2,2084,"5,021","7,372",122.7%,-,-,-
マイジャグラーV,2148,"5,020","8,101",120.7%,50,22,1/113
Lスマスロ北斗の拳,2226,"5,016","8,390",119.9%,93,18,1/76
スマスロ ゴッドイーター リザレクション,2252,"4,988","5,207",131.9%,-,-,-
Lパチスロ ありふれた職業で世界最強,2266,"4,916","8,147",120.1%,-,-,-
スマスロ スーパーブラックジャック,2273,"4,699","5,189",130.2%,-,-,-
L東京喰種,2161,"4,596","7,108",121.6%,-,-,-
Lパチスロからくりサーカス,2170,"4,506","5,526",127.2%,-,-,-
SアイムジャグラーＥＸ,2102,"4,414","8,925",116.5%,45,36,1/110
Lパチスロ シン・エヴァンゲリオン,2186,"4,008","7,474",117.9%,-,-,-
スマスロ真・北斗無双,3026,"3,916","4,346",130%,34,0,1/128
マイジャグラーV,2026,"3,915","8,340",115.6%,46,29,1/111
ハッピージャグラーＶＩＩＩ,2004,"3,914","9,320",114%,44,39,1/112
ジャグラーガールズSS,2042,"3,814","8,581",114.8%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3100,"3,711","6,217",119.9%,-,-,-
L ToLOVEるダークネス,2197,"3,704","7,813",115.8%,-,-,-
スマスロモンキーターンV,2238,"3,508","7,357",115.9%,-,-,-
スマスロ ゴッドイーター リザレクション,2250,"3,507","4,153",128.1%,-,-,-
Lパチスロ かぐや様は告らせたい,2202,"3,321","6,684",116.6%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3045,"3,298","7,142",115.4%,-,-,-
沖ドキ!ゴージャス 30Φ,2091,"3,297","5,833",118.8%,-,-,-
マイジャグラーV,2151,"3,209","8,508",112.6%,46,20,1/129
スマスロモンキーターンV,2245,"3,208","7,190",114.9%,-,-,-
ゴーゴージャグラー３,2055,"3,204","8,863",112.1%,47,27,1/120
Lソードアート・オンライン,3050,"3,203","2,610",140.9%,-,-,-
スマスロモンキーターンV,2243,"3,116","7,501",113.8%,-,-,-
L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3041,"3,114","2,865",136.2%,-,-,-
沖ドキ!ゴージャス 30Φ,2083,"3,110","6,612",115.7%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3046,"3,109","7,385",114%,-,-,-
スマスロ頭文字D 2nd,3109,"3,094","6,446",116%,-,-,-
沖ドキ！ＧＯＬＤ-30,2073,"3,021","8,049",112.5%,-,-,-
スマスロ 七つの魔剣が支配する,2271,"2,903","7,043",113.7%,-,-,-
沖ドキ！BLACK,2070,"2,901","6,515",114.8%,-,-,-
マイジャグラーV,2127,"2,812","7,367",112.7%,37,25,1/119
沖ドキ！ＧＯＬＤ-30,2089,"2,805","4,883",119.1%,-,-,-
沖ドキ!ゴージャス 30Φ,2082,"2,714","5,899",115.3%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,2179,"2,708","7,611",111.9%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3044,"2,613","8,077",110.8%,-,-,-
スマスロモンキーターンV,2239,"2,604","7,039",112.3%,-,-,-
Lパチスロ シン・エヴァンゲリオン,2185,"2,604","6,688",113%,-,-,-
Lスマスロ北斗の拳,2212,"2,598","9,170",109.4%,87,23,1/83
L南国育ち,2060,"2,597","2,844",130.4%,-,-,-
SアイムジャグラーＥＸ,2011,"2,507","9,185",109.1%,39,37,1/121
パチスロ　ディスクアップ２,3022,"2,507","5,732",114.6%,24,12,1/159
Lパチスロ ダンベル何キロ持てる？,2131,"2,501","7,032",111.9%,-,-,-
SアイムジャグラーＥＸ,2115,"2,410","8,923",109%,35,42,1/116
ハッピージャグラーＶＩＩＩ,2002,"2,409","7,150",111.2%,30,32,1/115
マイジャグラーV,2117,"2,408","8,903",109%,40,31,1/125
マイジャグラーV,2022,"2,402","9,189",108.7%,40,37,1/119
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3099,"2,311","5,053",115.2%,-,-,-
マイジャグラーV,2143,"2,308","8,829",108.7%,43,25,1/130
マイジャグラーV,2144,"2,304","8,123",109.5%,36,29,1/125
パチスロ戦国恋姫,3065,"2,297","4,105",118.7%,-,-,-
ゴーゴージャグラー３,2050,"2,209","7,386",110%,37,25,1/119
A-SLOT+ ディスクアップ ULTRAREMIX,3006,"2,208","5,887",112.5%,25,12,1/159
Lパチスロ革命機ヴァルヴレイヴ,2154,"2,009","8,722",107.7%,-,-,-
Lスマスロ北斗の拳,2210,"2,009","4,208",115.9%,53,4,1/74
スマスロ 七つの魔剣が支配する,2207,"2,004","5,820",111.5%,-,-,-
マイジャグラーV,2020,"2,003","7,841",108.5%,36,23,1/133
マイジャグラーV,2015,"2,000","8,213",108.1%,38,27,1/126
この素晴らしい世界に祝福を！,3064,"1,999","5,277",112.6%,-,-,-
Lパチスロ ありふれた職業で世界最強,2181,"1,996","5,661",111.8%,-,-,-
Lスマスロ北斗の拳,2220,"1,914","3,947",116.2%,47,6,1/74
L ＨＥＹ！エリートサラリーマン鏡,3056,"1,911","6,487",109.8%,-,-,-
SアイムジャグラーＥＸ,2116,"1,908","8,635",107.4%,36,33,1/125
ファミスタ回胴版！！,3017,"1,907","4,347",114.6%,-,-,-
SアイムジャグラーＥＸ,2099,"1,807","7,144",108.4%,32,27,1/121
SアイムジャグラーＥＸ,2113,"1,805","7,836",107.7%,36,25,1/128
SアイムジャグラーＥＸ,2107,"1,709","8,567",106.6%,34,37,1/121
スマスロ スーパーブラックジャック,2255,"1,709","4,536",112.6%,-,-,-
スマスロモンキーターンV,2241,"1,703","7,026",108.1%,-,-,-
マイジャグラーV,2028,"1,700","8,223",106.9%,35,25,1/137
ハッピージャグラーＶＩＩＩ,2006,"1,696","7,768",107.3%,29,35,1/121
スマスロ バイオハザード ヴィレッジ,2068,"1,611","7,399",107.3%,-,-,-
SアイムジャグラーＥＸ,2110,"1,609","8,861",106.1%,36,32,1/130
Lラブ嬢3～Wご指名はいかがですか?～,3060,"1,605","5,386",109.9%,-,-,-
Lスマスロ北斗の拳,2222,"1,503","5,610",108.9%,57,10,1/84
L犬夜叉2,3052,"1,416","3,201",114.7%,-,-,-
Lラブ嬢3～Wご指名はいかがですか?～,3061,"1,415","6,645",107.1%,-,-,-
沖ドキ！ＧＯＬＤ-30,2072,"1,405","3,631",112.9%,-,-,-
Lスマスロ北斗の拳,2218,"1,403","6,475",107.2%,60,16,1/85
Lスマスロ北斗の拳,2216,"1,402","5,147",109.1%,52,13,1/79
Lスマスロ北斗の拳,2227,"1,401","8,122",105.7%,74,22,1/85
A-SLOT+ ディスクアップ ULTRAREMIX,3007,"1,315","5,638",107.8%,24,8,1/176
押忍！番長4,3091,"1,315","4,491",109.8%,-,-,-
SアイムジャグラーＥＸ,2103,"1,315","6,374",106.9%,27,18,1/142
ハッピージャグラーＶＩＩＩ,2007,"1,311","8,465",105.2%,32,34,1/128
Lパチスロ炎炎ノ消防隊,3096,"1,311","7,788",105.6%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,3005,"1,311","6,573",106.6%,24,17,1/160
SアイムジャグラーＥＸ,2095,"1,310","7,989",105.5%,35,24,1/135
Lスマスロ北斗の拳,2272,"1,214","6,414",106.3%,62,8,1/92
この素晴らしい世界に祝福を！,3063,"1,210","4,006",110.1%,-,-,-
SアイムジャグラーＥＸ,2111,"1,210","8,428",104.8%,33,29,1/136
Lスマスロ北斗の拳,2219,"1,209","5,545",107.3%,54,11,1/85
押忍！番長4,3093,"1,207","5,777",107%,-,-,-
SアイムジャグラーＥＸ,2008,"1,206","8,508",104.7%,30,40,1/122
沖ドキ！ＧＯＬＤ-30,2088,"1,206","6,199",106.5%,-,-,-
L東京喰種,2164,"1,201","6,824",105.9%,-,-,-
スマスロ モンスターハンターライズ,2138,"1,113","6,605",105.6%,-,-,-
スマスロ シャーマンキング,2269,"1,109","5,408",106.8%,-,-,-
マイジャグラーV,2017,"1,108","8,293",104.5%,35,22,1/145
L主役は銭形４,3032,"1,010","5,744",105.9%,-,-,-
パチスロ　ディスクアップ２,3023,"1,006","7,388",104.5%,26,21,1/157
パチスロ　甲鉄城のカバネリ,3105,"1,003","3,878",108.6%,-,-,-
SアイムジャグラーＥＸ,2012,915,"6,223",104.9%,19,30,1/127
スマスロ ゴッドイーター リザレクション,2254,911,"5,963",105.1%,-,-,-
押忍！番長ＺＥＲＯ,3066,808,"2,985",109%,-,-,-
マイジャグラーV,2262,807,"7,014",103.8%,27,23,1/140
マイジャグラーV,2023,806,"7,883",103.4%,35,17,1/152
沖ドキ！BLACK,2260,804,"5,163",105.2%,-,-,-
ゴーゴージャグラー３,2047,803,"6,666",104%,30,19,1/136
マイジャグラーV,2027,803,"8,590",103.1%,32,30,1/139
パチスロ　甲鉄城のカバネリ,3107,802,"4,409",106.1%,-,-,-
Lスマスロ北斗の拳,2211,715,"7,388",103.2%,66,17,1/89
L ＨＥＹ！エリートサラリーマン鏡,3054,715,"5,931",104%,-,-,-
パチスロ　甲鉄城のカバネリ,3103,714,"4,619",105.2%,-,-,-
キングハナハナ-30,2076,713,"7,690",103.1%,-,-,-
マイジャグラーV,2119,610,"4,697",104.3%,21,9,1/157
沖ドキ！ＧＯＬＤ-30,2074,605,"3,966",105.1%,-,-,-
ファンキージャグラー２ＫＴ,2033,602,"7,118",102.8%,26,28,1/132
バーサスリヴァイズ,3012,602,"3,218",106.2%,-,-,-
マイジャグラーV,2146,516,"6,603",102.6%,27,18,1/147
