機種,台番,差枚,G数,出率,BB,RB,合成
吉宗,2158,"5,196","2,894",159.8%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3052,"4,820","6,774",123.7%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,2066,"4,704","2,828",155.4%,-,-,-
L東京喰種,2218,"4,527","2,379",163.4%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,3007,"4,102","4,116",133.2%,23,10,1/125
L ToLOVEるダークネス TRANCE ver.8.7,2065,"4,098","1,963",169.6%,-,-,-
ネオアイムジャグラーEX,2098,"3,998","7,582",117.6%,42,29,1/107
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3049,"3,919","6,943",118.8%,-,-,-
Lスマスロ北斗の拳,2222,"3,913","4,316",130.2%,59,8,1/64
Lスマスロ北斗の拳,2271,"3,820","2,881",144.2%,47,3,1/58
マイジャグラーV,2016,"3,814","8,328",115.3%,40,36,1/110
L咲-Saki-頂上決戦,2236,"3,804","1,670",175.9%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3050,"3,711","7,365",116.8%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3051,"3,509","6,979",116.8%,-,-,-
吉宗,2157,"3,509","3,547",133%,-,-,-
ゴーゴージャグラー３,2049,"3,415","8,580",113.3%,38,46,1/102
いざ！番長,2166,"3,216","1,925",155.7%,-,-,-
スマスロモンキーターンV,2249,"3,216","8,996",111.9%,-,-,-
SアイムジャグラーＥＸ,2274,"3,215","6,994",115.3%,37,25,1/113
ファンキージャグラー２ＫＴ,2034,"3,089","6,361",116.2%,30,30,1/106
ファンキージャグラー２ＫＴ,2031,"3,021","6,123",116.4%,30,25,1/111
Lダーリン・イン・ザ・フランキス,2133,"2,903","1,389",169.7%,-,-,-
スマスロ 東京リベンジャーズ,2193,"2,805","6,529",114.3%,-,-,-
マイジャグラーV,2126,"2,715","8,007",111.3%,39,29,1/118
マイジャグラーV,2146,"2,713","7,282",112.4%,36,24,1/121
吉宗,2159,"2,708","2,415",137.4%,-,-,-
スマスロモンキーターンV,2253,"2,708","6,082",114.8%,-,-,-
パチスロ　甲鉄城のカバネリ,3102,"2,708","1,620",155.7%,-,-,-
マイジャグラーV,2024,"2,622","8,090",110.8%,38,31,1/117
マイジャグラーV,2149,"2,593","8,528",110.1%,38,35,1/117
マイジャグラーV,2124,"2,497","7,977",110.4%,36,30,1/121
ネオアイムジャグラーEX,2282,"2,495","9,675",108.6%,41,37,1/124
ネオアイムジャグラーEX,2095,"2,409","8,676",109.3%,35,41,1/114
SアイムジャグラーＥＸ,2105,"2,404","8,430",109.5%,38,30,1/124
ジャグラーガールズSS,2043,"2,401","7,386",110.8%,-,-,-
ファンキージャグラー２ＫＴ,2033,"2,100","4,067",117.2%,22,13,1/116
ゴーゴージャグラー３,2053,"2,005","7,676",108.7%,32,34,1/116
沖ドキ！ＧＯＬＤ-30,2075,"1,996","2,486",126.8%,-,-,-
SアイムジャグラーＥＸ,2011,"1,916","7,811",108.2%,34,27,1/128
マイジャグラーV,2022,"1,816","7,036",108.6%,33,19,1/135
スマスロ ギルティクラウン2,3025,"1,801",272,320.7%,-,-,-
L麻雀物語,3037,"1,797","3,478",117.2%,-,-,-
SアイムジャグラーＥＸ,2104,"1,704","9,175",106.2%,36,38,1/124
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2182,"1,700","2,950",119.2%,-,-,-
ゴーゴージャグラー３,2054,"1,699","8,861",106.4%,37,37,1/120
A-SLOT+ ディスクアップ ULTRAREMIX,3008,"1,698",748,175.7%,7,0,1/107
沖ドキ！ＧＯＬＤ-30,2087,"1,696","3,655",115.5%,-,-,-
SアイムジャグラーＥＸ,2261,"1,695","6,101",109.3%,27,23,1/122
ゴーゴージャグラー３,2051,"1,611","9,013",106%,37,39,1/119
SアイムジャグラーＥＸ,2115,"1,609","5,942",109%,31,13,1/135
コードギアス反逆のルルーシュ３ C.C.&Kallen ver.,3107,"1,608","1,123",147.7%,-,-,-
スマスロ 七つの魔剣が支配する,3057,"1,607","2,137",125.1%,-,-,-
