機種,台番,差枚,G数,出率,BB,RB,合成
スマスロ シャーマンキング,3039,"10,378","3,612",195.8%,-,-,-
スマスロ バイオハザード5,2185,"9,714","6,117",152.9%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,2269,"8,592","5,798",149.4%,-,-,-
Lパチスロ かぐや様は告らせたい,2177,"8,124","8,014",133.8%,-,-,-
スマスロ 七つの魔剣が支配する,3058,"7,209","2,825",185.1%,-,-,-
Lパチスロからくりサーカス,2172,"7,018","5,749",140.7%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,2058,"6,409","4,477",147.7%,-,-,-
Lパチスロ かぐや様は告らせたい,2176,"6,221","6,780",130.6%,-,-,-
パチスロ わたしの幸せな結婚,2134,"5,613","3,308",156.6%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3043,"5,189","5,557",131.1%,-,-,-
Lスマスロ北斗の拳,2217,"4,908","7,116",123%,90,12,1/70
Lスマスロ北斗の拳,2223,"4,526","7,252",120.8%,81,12,1/78
Lスマスロ北斗の拳,2224,"4,009","3,354",139.8%,57,3,1/56
回胴黙示録カイジ 狂宴,3087,"3,798","7,065",117.9%,-,-,-
いざ！番長,2271,"3,715","5,324",123.3%,-,-,-
スマスロモンキーターンV,2246,"3,420","6,710",117%,-,-,-
スマスロ ゴッドイーター リザレクション,2249,"3,221","3,249",133%,-,-,-
マイジャグラーV,2147,"3,090","8,335",112.4%,42,26,1/123
Lパチスロからくりサーカス,2168,"3,003","4,781",120.9%,-,-,-
L ToLOVEるダークネス,2157,"2,916","2,062",147.1%,-,-,-
パチスロ　ディスクアップ２,3021,"2,904","2,850",134%,17,5,1/130
マイジャグラーV,2016,"2,809","7,681",112.2%,37,26,1/122
LBパチスロ ヱヴァンゲリヲン～約束の扉～,3101,"2,712","6,997",112.9%,-,-,-
L麻雀物語,3054,"2,709","3,285",127.5%,-,-,-
スマスロモンキーターンV,2241,"2,707","4,943",118.3%,-,-,-
マイジャグラーV,2144,"2,619","8,309",110.5%,41,26,1/124
Lスマスロ北斗の拳,2209,"2,619","4,692",118.6%,57,7,1/73
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2181,"2,516","7,897",110.6%,-,-,-
Lスマスロ北斗の拳,2211,"2,498","6,618",112.6%,71,17,1/75
SアイムジャグラーＥＸ,2281,"2,416","6,153",113.1%,30,25,1/112
マイジャグラーV,2127,"2,314","6,483",111.9%,31,24,1/118
マイジャグラーV,2119,"2,309","7,435",110.4%,36,23,1/126
ゴーゴージャグラー３,2048,"2,220","5,713",113%,30,18,1/119
沖ドキ！ＧＯＬＤ-30,2089,"2,214","1,208",161.1%,-,-,-
マイジャグラーV,2146,"2,104","4,601",115.2%,29,7,1/128
沖ドキ！ＧＯＬＤ-30,2072,"2,007","3,265",120.5%,-,-,-
ファンキージャグラー２ＫＴ,2031,"1,916","4,504",114.2%,29,6,1/129
スマスロモンキーターンV,2237,"1,912","3,580",117.8%,-,-,-
Lスマスロ北斗の拳,2226,"1,911","3,182",120%,39,8,1/68
マイジャグラーV,2022,"1,910","6,565",109.7%,31,23,1/122
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3045,"1,818","4,073",114.9%,-,-,-
マイジャグラーV,2149,"1,704","7,502",107.6%,33,23,1/134
ゴーゴージャグラー３,2053,"1,702","7,210",107.9%,34,26,1/120
LBパチスロ ヱヴァンゲリヲン～約束の扉～,3100,"1,702","7,531",107.5%,-,-,-
スマスロモンキーターンV,2236,"1,591","6,134",108.6%,-,-,-
マイジャグラーV,2117,"1,512","4,930",110.2%,26,11,1/133
新ハナビ,3073,"1,509","4,438",111.3%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,2189,"1,404",660,170.9%,-,-,-
SアイムジャグラーＥＸ,2111,"1,401","5,204",109%,25,13,1/137
SアイムジャグラーＥＸ,2113,"1,299","6,899",106.3%,28,23,1/135
マイジャグラーV,2024,"1,210","7,207",105.6%,29,24,1/136
スマスロ モンスターハンターライズ,2140,"1,208","5,974",106.7%,-,-,-
L ＨＥＹ！エリートサラリーマン鏡,3033,"1,204","2,824",114.2%,-,-,-
SアイムジャグラーＥＸ,2098,"1,204","4,778",108.4%,23,15,1/126
