機種,台番,差枚,G数,出率,BB,RB,合成
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2266,"10,239","8,403",140.6%,-,-,-
スマスロモンキーターンV,2251,"9,010","8,051",137.3%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3047,"8,125","7,075",138.3%,-,-,-
いざ！番長,2170,"7,890","7,057",137.3%,-,-,-
L主役は銭形5,2131,"7,311","6,331",138.5%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,2222,"7,276","7,273",133.3%,-,-,-
スマスロ シャーマンキング,3039,"7,177","5,103",146.9%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,2229,"6,119","6,885",129.6%,-,-,-
Lパチスロからくりサーカス,3092,"5,603","2,198",185%,-,-,-
Lダーリン・イン・ザ・フランキス,3096,"5,398","2,490",172.3%,-,-,-
スマスロ スーパーブラックジャック,2256,"4,907","3,073",153.2%,-,-,-
マイジャグラーV,2123,"4,704","9,163",117.1%,52,31,1/110
Lスマスロ北斗の拳,2155,"4,698","2,754",156.9%,50,4,1/51
スマスロ ゴッドイーター リザレクション,2269,"4,695","2,606",160.1%,-,-,-
マイジャグラーV,2022,"4,527","8,284",118.2%,45,35,1/104
L戦国乙女４　戦乱に閃く炯眼の軍師,2058,"4,497","5,652",126.5%,-,-,-
沖ドキ！BLACK,2280,"4,314","6,996",120.6%,-,-,-
スマスロとある科学の超電磁砲2,2236,"4,207","7,841",117.9%,-,-,-
スマスロ 東京リベンジャーズ,2194,"4,204","5,848",124%,-,-,-
スマスロ モンスターハンターライズ,2271,"4,010","9,530",114%,-,-,-
パチスロ 転生したら剣でした,2064,"3,990","5,213",125.5%,-,-,-
スマスロ ゴッドイーター リザレクション,2203,"3,924","1,913",168.4%,-,-,-
ジャグラーガールズSS,2042,"3,922","8,131",116.1%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,2227,"3,909","8,269",115.8%,-,-,-
スマスロモンキーターンV,2239,"3,814","6,086",120.9%,-,-,-
Lパチスロ炎炎ノ消防隊,3038,"3,716","6,417",119.3%,-,-,-
L絶対衝激IV,2191,"3,604","2,909",141.3%,-,-,-
スマスロモンキーターンV,2247,"3,422","5,757",119.8%,-,-,-
沖ドキ！ＧＯＬＤ-30,2090,"3,296","3,348",132.8%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,2233,"3,217","8,315",112.9%,-,-,-
L少女☆歌劇 レヴュースタァライト -The SLOT-,2059,"3,210","5,767",118.6%,-,-,-
L ToLOVEるダークネス,3062,"3,115","6,504",116%,-,-,-
沖ドキ！ＧＯＬＤ-30,2074,"3,097","3,676",128.1%,-,-,-
ゴーゴージャグラー３,2047,"3,096","7,859",113.1%,42,32,1/106
Lパチスロ かぐや様は告らせたい,2264,"3,091","4,104",125.1%,-,-,-
マイジャグラーV,2126,"3,090","9,163",111.2%,37,50,1/105
マイジャグラーV,2262,"3,019","8,834",111.4%,44,31,1/118
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2181,"3,010","7,072",114.2%,-,-,-
マイジャグラーV,2275,"3,009","7,688",113%,43,18,1/126
マイジャグラーV,2121,"2,899","8,346",111.6%,38,37,1/111
Lソードアート・オンライン,3056,"2,808","4,214",122.2%,-,-,-
スマスロ ゴッドイーター リザレクション,2206,"2,801","3,131",129.8%,-,-,-
パチスロ ガメラ2,3018,"2,716","1,038",187.2%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2183,"2,713","8,562",110.6%,-,-,-
L東京喰種,2216,"2,709","7,207",112.5%,-,-,-
