id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
548457,マルハン亀有,2025-01-09,Lパチスロからくりサーカス,890,18000,5538,0,0,-,2025-12-26 09:18:03
548458,マルハン亀有,2025-01-09,Lパチスロからくりサーカス,895,13500,5618,0,0,-,2025-12-26 09:18:03
548459,マルハン亀有,2025-01-09,スマスロ モンスターハンターライズ,654,10800,6822,0,0,-,2025-12-26 09:18:03
548460,マルハン亀有,2025-01-09,スマスロ 一方通行 とある魔術の禁書目録,947,10300,8110,0,0,-,2025-12-26 09:18:03
548461,マルハン亀有,2025-01-09,Lゴジラ対エヴァンゲリオン,588,9600,6203,0,0,-,2025-12-26 09:18:03
548462,マルハン亀有,2025-01-09,スマスロモンキーターンV,643,8900,7723,0,0,-,2025-12-26 09:18:03
548463,マルハン亀有,2025-01-09,スマスロ真・北斗無双,944,8800,6485,54,3,1/114,2025-12-26 09:18:03
548464,マルハン亀有,2025-01-09,Lパチスロからくりサーカス,894,8700,7394,0,0,-,2025-12-26 09:18:03
548465,マルハン亀有,2025-01-09,L戦国乙女４　戦乱に閃く炯眼の軍師,600,8300,6794,0,0,-,2025-12-26 09:18:03
548466,マルハン亀有,2025-01-09,L犬夜叉2,614,8000,4366,0,0,-,2025-12-26 09:18:03
548467,マルハン亀有,2025-01-09,Lスマスロ北斗の拳,907,7800,8794,110,16,1/70,2025-12-26 09:18:03
548468,マルハン亀有,2025-01-09,Lパチスロ革命機ヴァルヴレイヴ,986,7700,8791,0,0,-,2025-12-26 09:18:03
548469,マルハン亀有,2025-01-09,パチスロ　サラリーマン金太郎〜ＭＡＸ〜,881,7400,7146,0,0,-,2025-12-26 09:18:03
548470,マルハン亀有,2025-01-09,Lパチスロ革命機ヴァルヴレイヴ,980,7200,9643,0,0,-,2025-12-26 09:18:03
548471,マルハン亀有,2025-01-09,Lゴジラ対エヴァンゲリオン,589,7000,4207,0,0,-,2025-12-26 09:18:03
548472,マルハン亀有,2025-01-09,Lスマスロ北斗の拳,999,6700,6744,94,11,1/64,2025-12-26 09:18:03
548473,マルハン亀有,2025-01-09,L ToLOVEるダークネス,597,6500,8461,0,0,-,2025-12-26 09:18:03
548474,マルハン亀有,2025-01-09,Lパチスロからくりサーカス,897,6500,7348,0,0,-,2025-12-26 09:18:03
548475,マルハン亀有,2025-01-09,Lソードアート・オンライン,940,6500,3815,0,0,-,2025-12-26 09:18:03
548476,マルハン亀有,2025-01-09,Lパチスロ ダンベル何キロ持てる？,860,6400,5029,0,0,-,2025-12-26 09:18:03
548477,マルハン亀有,2025-01-09,Lスマスロ北斗の拳,903,6000,7538,104,15,1/63,2025-12-26 09:18:03
548478,マルハン亀有,2025-01-09,スマスロモンキーターンV,627,5900,9819,0,0,-,2025-12-26 09:18:03
548479,マルハン亀有,2025-01-09,スロット ゾンビランドサガ,869,5700,7290,0,0,-,2025-12-26 09:18:03
548480,マルハン亀有,2025-01-09,スマスロ鬼武者3,938,5500,5648,0,0,-,2025-12-26 09:18:03
548481,マルハン亀有,2025-01-09,Lスマスロ北斗の拳,997,5200,9209,107,25,1/70,2025-12-26 09:18:03
548482,マルハン亀有,2025-01-09,Lスマスロ北斗の拳,916,5200,8672,106,20,1/69,2025-12-26 09:18:03
548483,マルハン亀有,2025-01-09,Lルパン三世 大航海者の秘宝,621,5200,4613,0,0,-,2025-12-26 09:18:03
548484,マルハン亀有,2025-01-09,スマスロモンキーターンV,623,5200,8422,0,0,-,2025-12-26 09:18:03
548485,マルハン亀有,2025-01-09,Lパチスロ革命機ヴァルヴレイヴ,982,5100,3280,0,0,-,2025-12-26 09:18:03
