機種,台番,差枚,G数,出率,BB,RB,合成
Lパチスロ革命機ヴァルヴレイヴ,1037,"12,600","4,290",197.9%,-,-,-
Lパチスロからくりサーカス,896,"11,200","6,043",161.8%,-,-,-
Lパチスロ かぐや様は告らせたい,853,"11,000","4,359",184.1%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,1033,"8,000","6,940",138.4%,-,-,-
Lパチスロからくりサーカス,917,"7,400","7,204",134.2%,-,-,-
L主役は銭形４,970,"7,300","7,382",133%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,1035,"6,900","4,341",153%,-,-,-
Lスマスロ北斗の拳,934,"6,700","2,549",187.6%,58,1,1/43
スマスロ モンスターハンターライズ,598,"6,500","8,592",125.2%,-,-,-
スマスロモンキーターンV,628,"5,600","7,617",124.5%,-,-,-
Lパチスロ かぐや様は告らせたい,858,"5,300","7,021",125.2%,-,-,-
スマスロ シャーマンキング,849,"5,300","4,950",135.7%,-,-,-
L ToLOVEるダークネス,589,"5,000","6,066",127.5%,-,-,-
Lスマスロ北斗の拳,925,"4,800","1,899",184.3%,46,1,1/40
チバリヨ2,1010,"4,700","3,313",147.3%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,617,"4,600","2,679",157.2%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,1028,"4,600","8,435",118.2%,-,-,-
パチスロ　甲鉄城のカバネリ,668,"4,600","7,265",121.1%,-,-,-
Lパチスロからくりサーカス,893,"4,400","7,400",119.8%,-,-,-
スマスロ 一方通行 とある魔術の禁書目録,954,"4,400","3,740",139.2%,-,-,-
Lパチスロからくりサーカス,891,"4,400","6,382",123%,-,-,-
Lサラリーマン金太郎,980,"4,300","4,423",132.4%,-,-,-
Lにゃんこ大戦争 超神速,961,"4,300","4,553",131.5%,-,-,-
Lスマスロ北斗の拳,914,"4,200","3,572",139.2%,55,4,1/61
Lパチスロ革命機ヴァルヴレイヴ,1031,"4,100","7,829",117.5%,-,-,-
スマスロ モンスターハンターライズ,594,"4,100","5,040",127.1%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,1024,"4,100","7,576",118%,-,-,-
Lパチスロ炎炎ノ消防隊,840,"4,000","6,435",120.7%,-,-,-
パチスロ　甲鉄城のカバネリ,669,"3,900","5,857",122.2%,-,-,-
チバリヨ2プラス,1008,"3,800","3,678",134.4%,-,-,-
スマスロ モンスターハンターライズ,600,"3,800","6,242",120.3%,-,-,-
スマスロ モンスターハンターライズ,601,"3,600","7,809",115.4%,-,-,-
パチスロ　甲鉄城のカバネリ,666,"3,300","7,292",115.1%,-,-,-
パチスロ　甲鉄城のカバネリ,665,"3,200","7,121",115%,-,-,-
SアイムジャグラーＥＸ,817,"3,200","9,219",111.6%,40,44,1/110
Lパチスロ革命機ヴァルヴレイヴ,1029,"3,100","4,979",120.8%,-,-,-
SアイムジャグラーＥＸ,822,"2,900","6,445",115%,30,28,1/111
Lパチスロからくりサーカス,902,"2,900","6,674",114.5%,-,-,-
Lスマスロ北斗の拳,929,"2,900","8,769",111%,92,24,1/76
マイジャグラーV,723,"2,900","7,159",113.5%,36,29,1/110
スロット ゾンビランドサガ,873,"2,800","4,333",121.5%,-,-,-
Lスマスロ北斗の拳,928,"2,800","8,653",110.8%,93,19,1/77
Lルパン三世 大航海者の秘宝,957,"2,800","2,914",132%,-,-,-
スマスロ スーパーブラックジャック,656,"2,800","1,966",147.5%,-,-,-
Lラブ嬢3～Wご指名はいかがですか?～,967,"2,700","3,291",127.3%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,1040,"2,600","3,014",128.8%,-,-,-
スマスロ スーパーブラックジャック,653,"2,600","4,268",120.3%,-,-,-
L ＨＥＹ！エリートサラリーマン鏡,879,"2,500","2,160",138.6%,-,-,-
スマスロ ゴッドイーター リザレクション,1013,"2,500","5,102",116.3%,-,-,-
マイジャグラーV,727,"2,500","7,894",110.6%,40,22,1/127
スーパービンゴネオ,975,"2,400","2,445",132.7%,-,-,-
ミスタージャグラー,718,"2,400","8,297",109.6%,-,-,-
押忍！番長4,886,"2,300","3,598",121.3%,-,-,-
Lにゃんこ大戦争 超神速,960,"2,300","1,410",154.4%,-,-,-
スマスロ ゴッドイーター リザレクション,1014,"2,300","4,088",118.8%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,1036,"2,200","1,273",157.6%,-,-,-
Lスマスロ北斗の拳,926,"2,200","7,659",109.6%,76,23,1/77
ゴーゴージャグラー３,690,"2,100","8,616",108.1%,43,27,1/123
Lパチスロからくりサーカス,918,"2,100","5,615",112.5%,-,-,-
マイジャグラーV,746,"2,100","6,932",110.1%,35,20,1/126
ジャグラーガールズSS,711,"2,000","6,884",109.7%,-,-,-
Lスマスロ北斗の拳,997,"1,800",852,170.4%,19,1,1/43
スマスロモンキーターンV,649,"1,800","7,300",108.2%,-,-,-
Lスマスロ北斗の拳,908,"1,700","2,742",120.7%,35,5,1/69
ファンキージャグラー２ＫＴ,766,"1,700","4,635",112.2%,26,12,1/122
ミスタージャグラー,720,"1,700","7,887",107.2%,-,-,-
Lスマスロ北斗の拳,992,"1,700","2,280",124.9%,31,2,1/69
マイジャグラーV,722,"1,700","8,274",106.8%,34,29,1/131
SアイムジャグラーＥＸ,771,"1,600","5,270",110.1%,25,14,1/135
スロット ゾンビランドサガ,876,"1,500","2,445",120.4%,-,-,-
SアイムジャグラーＥＸ,814,"1,500","4,135",112.1%,22,6,1/148
Lスマスロ北斗の拳,933,"1,500","5,800",108.6%,61,18,1/73
Lパチスロ革命機ヴァルヴレイヴ,1030,"1,500","5,127",109.8%,-,-,-
ウルトラミラクルジャグラー,704,"1,400","4,436",110.5%,-,-,-
押忍！番長ＺＥＲＯ,639,"1,400","4,508",110.4%,-,-,-
マイジャグラーV,728,"1,400","7,156",106.5%,30,23,1/135
Lパチスロ革命機ヴァルヴレイヴ,1027,"1,400","1,131",141.3%,-,-,-
スマスロ頭文字D 2nd,940,"1,300","2,167",120%,-,-,-
Lスマスロ北斗の拳,931,"1,200","8,213",104.9%,76,21,1/85
Lソードアート・オンライン,870,"1,200","2,141",118.7%,-,-,-
マイジャグラーV,726,"1,200","7,214",105.5%,30,21,1/141
スマスロ 一方通行 とある魔術の禁書目録,953,"1,200","1,869",121.4%,-,-,-
