機種,台番,差枚,G数,出率,BB,RB,合成
Lパチスロからくりサーカス,899,"13,500","7,164",162.8%,-,-,-
Lパチスロからくりサーカス,896,"11,000","6,759",154.2%,-,-,-
Lスマスロ北斗の拳,994,"9,900","4,244",177.8%,86,3,1/48
押忍！番長4,872,"9,500","8,058",139.3%,-,-,-
押忍！番長4,877,"9,300","4,795",164.7%,-,-,-
Lパチスロからくりサーカス,898,"9,100","8,039",137.7%,-,-,-
Lパチスロ シン・エヴァンゲリオン,882,"7,500","7,477",133.4%,-,-,-
L犬夜叉2,614,"7,500","4,850",151.5%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,984,"7,400","6,427",138.4%,-,-,-
スーパービンゴネオ,949,"7,200","3,983",160.3%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,979,"7,100","4,467",153%,-,-,-
スマスロモンキーターンV,624,"6,900","8,511",127%,-,-,-
L ToLOVEるダークネス,655,"5,900","2,480",179.3%,-,-,-
Lスマスロ北斗の拳,925,"5,700","4,194",145.3%,65,3,1/62
Lパチスロ炎炎ノ消防隊,835,"5,600","7,673",124.3%,-,-,-
L ＨＥＹ！エリートサラリーマン鏡,868,"5,600","6,774",127.6%,-,-,-
Lスマスロ北斗の拳,928,"5,600","7,540",124.8%,92,15,1/70
Lスマスロ北斗の拳,924,"5,500","3,491",152.5%,62,1,1/55
スマスロ モンスターハンターライズ,597,"5,300","7,808",122.6%,-,-,-
Lスマスロ北斗の拳,921,"5,200","4,546",138.1%,71,9,1/57
Lソードアート・オンライン,941,"5,200","3,374",151.4%,-,-,-
Lパチスロ炎炎ノ消防隊,838,"5,100","9,087",118.7%,-,-,-
チバリヨ2プラス,974,"4,700","5,498",128.5%,-,-,-
L主役は銭形４,619,"4,600","3,128",149%,-,-,-
Lスマスロ北斗の拳,1000,"4,100","7,818",117.5%,82,20,1/77
新ハナビ,685,"3,900","5,968",121.8%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,987,"3,800","10,008",112.7%,-,-,-
ゴーゴージャグラー３,700,"3,800","6,507",119.5%,41,25,1/99
スマスロ モンスターハンターライズ,604,"3,800","6,966",118.2%,-,-,-
Lパチスロからくりサーカス,900,"3,800","7,954",115.9%,-,-,-
Lスマスロ北斗の拳,908,"3,700","6,195",119.9%,70,17,1/71
スマスロモンキーターンV,648,"3,700","8,959",113.8%,-,-,-
押忍！番長4,879,"3,600","4,155",128.9%,-,-,-
スマスロ モンスターハンターライズ,594,"3,600","8,019",115%,-,-,-
押忍！番長4,876,"3,300","4,986",122.1%,-,-,-
スロット ゾンビランドサガ,871,"3,300","7,205",115.3%,-,-,-
Lパチスロ ダンベル何キロ持てる？,857,"3,300","5,115",121.5%,-,-,-
Lパチスロ かぐや様は告らせたい,845,"3,200","7,102",115%,-,-,-
Lパチスロからくりサーカス,902,"3,200","7,493",114.2%,-,-,-
L新・必殺仕置人 回胴 CRASH SPEC,960,"3,200","3,661",129.1%,-,-,-
