機種,台番,差枚,G数,出率,BB,RB,合成
Lパチスロ革命機ヴァルヴレイヴ,1041,"17,500","8,361",169.8%,-,-,-
スマスロ新鬼武者3,607,"9,700","8,125",139.8%,-,-,-
パチスロ　甲鉄城のカバネリ,669,"8,100","6,041",144.7%,-,-,-
Lスマスロ北斗の拳,927,"8,000","3,601",174.1%,76,2,1/46
Lパチスロ かぐや様は告らせたい,881,"7,500","6,777",136.9%,-,-,-
L東京喰種,841,"7,100","7,376",132.1%,-,-,-
スマスロ新鬼武者3,611,"6,800","7,326",130.9%,-,-,-
吉宗,951,"6,500","5,082",142.6%,-,-,-
Lスマスロ北斗の拳,921,"6,500","3,044",171.2%,60,4,1/48
Lスマスロ北斗の拳,934,"6,100","4,885",141.6%,74,4,1/63
Lパチスロ炎炎ノ消防隊,968,"5,900","6,612",129.7%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,1039,"5,800","8,477",122.8%,-,-,-
スマスロモンキーターンV,626,"5,600","6,797",127.5%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,1048,"5,300","4,178",142.3%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,1040,"5,300","9,241",119.1%,-,-,-
L東京喰種,838,"5,200","6,191",128%,-,-,-
パチスロ 転生したら剣でした,974,"5,100","7,645",122.2%,-,-,-
スマスロ ゴッドイーター リザレクション,1022,"5,100","4,334",139.2%,-,-,-
スマスロモンキーターンV,633,"4,800","9,849",116.2%,-,-,-
ゴーゴージャグラー３,801,"4,800","6,780",123.6%,40,30,1/97
Lパチスロからくりサーカス,863,"4,700","1,938",180.8%,-,-,-
Lスマスロ北斗の拳,998,"4,700","5,376",129.1%,74,15,1/60
スマスロ新鬼武者3,608,"4,600","6,085",125.2%,-,-,-
スマスロ バベル,962,"4,500","4,830",131.1%,-,-,-
スマスロ新鬼武者3,617,"4,500","7,504",120%,-,-,-
Lスマスロ　キン肉マン～７人の悪魔超人編～,986,"4,400","5,087",128.8%,-,-,-
Lスマスロ北斗の拳,912,"4,300","7,450",119.2%,96,17,1/66
L東京喰種,850,"4,000","7,605",117.5%,-,-,-
スマスロモンキーターンV,637,"4,000","6,628",120.1%,-,-,-
スマスロモンキーターンV,634,"3,900","9,119",114.3%,-,-,-
いざ！番長,657,"3,800","7,246",117.5%,-,-,-
Lパチスロ かぐや様は告らせたい,870,"3,800","9,018",114%,-,-,-
Lパチスロ かぐや様は告らせたい,869,"3,800","8,504",114.9%,-,-,-
SアイムジャグラーＥＸ,812,"3,600","8,484",114.1%,43,29,1/118
ネオアイムジャグラーEX,829,"3,600","8,633",113.9%,41,34,1/115
Lスマスロ北斗の拳,925,"3,500","2,911",140.1%,48,4,1/56
Lスマスロ北斗の拳,994,"3,500","8,059",114.5%,84,13,1/83
いざ！番長,651,"3,500","7,404",115.8%,-,-,-
スマスロ 東京リベンジャーズ,898,"3,400","7,698",114.7%,-,-,-
ウルトラミラクルジャグラー,796,"3,300","7,289",115.1%,-,-,-
Lスマスロ北斗の拳,928,"3,300","6,295",117.5%,70,14,1/75
Lスマスロ北斗の拳,911,"3,200","7,186",114.8%,82,16,1/73
マイジャグラーV,708,"3,200","9,029",111.8%,45,31,1/119
SアイムジャグラーＥＸ,821,"3,100","7,715",113.4%,41,26,1/115
スマスロ モンスターハンターライズ,595,"3,000","6,046",116.5%,-,-,-
SアイムジャグラーＥＸ,819,"3,000","8,331",112%,34,43,1/108
SアイムジャグラーＥＸ,807,"3,000","7,620",113.1%,40,19,1/129
L東京喰種,851,"2,900","6,454",115%,-,-,-
パチスロ 転生したら剣でした,973,"2,900","7,653",112.6%,-,-,-
LBパチスロ ヱヴァンゲリヲン～約束の扉～,984,"2,900","6,661",114.5%,-,-,-
スマスロ 東京リベンジャーズ,899,"2,800","9,319",110%,-,-,-
Lパチスロからくりサーカス,857,"2,700","1,572",157.3%,-,-,-
L咲-Saki-頂上決戦,837,"2,700","4,343",120.7%,-,-,-
スマスロ モンスターハンターライズ,622,"2,700","5,882",115.3%,-,-,-
LBパチスロ ヱヴァンゲリヲン～約束の扉～,980,"2,600","4,703",118.4%,-,-,-
Lパチスロ かぐや様は告らせたい,878,"2,500","6,324",113.2%,-,-,-
SアイムジャグラーＥＸ,802,"2,500","6,133",113.6%,29,28,1/108
スマスロ スーパーブラックジャック,1027,"2,400","3,109",125.7%,-,-,-
Lスマスロ北斗の拳,996,"2,400","7,127",111.2%,77,13,1/79
Lパチスロからくりサーカス,861,"2,400","4,266",118.8%,-,-,-
沖ドキ!ゴージャス 25Φ,680,"2,300","4,963",115.4%,-,-,-
マジカルハロウィン ボーナストリガー,975,"2,300","6,013",112.8%,-,-,-
回胴黙示録カイジ 狂宴,868,"2,300","7,741",109.9%,-,-,-
L ＨＥＹ！エリートサラリーマン鏡,961,"2,300","5,734",113.4%,-,-,-
マイジャグラーV,724,"2,300","7,575",110.1%,35,27,1/122
ファンキージャグラー２ＫＴ,753,"2,300","6,557",111.7%,38,16,1/121
L ＨＥＹ！エリートサラリーマン鏡,959,"2,200","2,185",133.6%,-,-,-
吉宗,952,"2,100","6,365",111%,-,-,-
スマスロ 東京リベンジャーズ,893,"2,100","8,048",108.7%,-,-,-
マイジャグラーV,711,"2,100","8,966",107.8%,37,32,1/130
スマスロ新鬼武者3,613,"2,100","7,234",109.7%,-,-,-
SアイムジャグラーＥＸ,823,"2,100","7,538",109.3%,33,33,1/114
