機種,台番,差枚,G数,出率,BB,RB,合成
スマスロ ゴッドイーター リザレクション,1022,"10,600","4,472",179%,-,-,-
Lスマスロ北斗の拳,921,"10,200","5,922",157.4%,109,5,1/52
スマスロモンキーターンV,634,"9,300","8,407",136.9%,-,-,-
スマスロ バイオハザード5,610,"8,100","7,354",136.7%,-,-,-
L東京喰種,845,"7,900","7,831",133.6%,-,-,-
押忍！番長4,955,"7,800","6,492",140%,-,-,-
スマスロモンキーターンV,631,"7,500","8,294",130.1%,-,-,-
スマスロモンキーターンV,630,"7,200","7,249",133.1%,-,-,-
吉宗,858,"6,900","7,667",130%,-,-,-
L麻雀物語,1034,"6,900","7,817",129.4%,-,-,-
Lパチスロ ありふれた職業で世界最強,979,"6,600","3,323",166.2%,-,-,-
Lパチスロ かぐや様は告らせたい,881,"6,300","9,075",123.1%,-,-,-
パチスロ　甲鉄城のカバネリ,671,"6,000","5,220",138.3%,-,-,-
吉宗,856,"6,000","8,329",124%,-,-,-
Lバンドリ！,963,"5,800","3,048",163.4%,-,-,-
スマスロ モンスターハンターライズ,591,"5,700","7,885",124.1%,-,-,-
スマスロ アイドルマスター ミリオンライブ！ネクストプロローグ,657,"5,300","2,900",160.9%,-,-,-
スマスロ ゴッドイーター リザレクション,1021,"5,100","5,520",130.8%,-,-,-
L東京喰種,850,"5,100","8,541",119.9%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,1012,"4,800","6,653",124%,35,9,1/151
スマスロ バイオハザード5,613,"4,500","7,149",121%,-,-,-
Lパチスロ かぐや様は告らせたい,880,"4,400","7,335",120%,-,-,-
回胴黙示録カイジ 狂宴,867,"4,200","7,056",119.8%,-,-,-
沖ドキ!ゴージャス 25Φ,681,"4,200","6,656",121%,-,-,-
スマスロ スーパーブラックジャック,1027,"4,100","4,529",130.2%,-,-,-
L ToLOVEるダークネス,839,"4,000","8,193",116.3%,-,-,-
スマスロモンキーターンV,648,"4,000","7,475",117.8%,-,-,-
沖ドキ!ゴージャス 25Φ,673,"3,800","6,792",118.6%,-,-,-
押忍！番長ＺＥＲＯ,655,"3,800","4,932",125.7%,-,-,-
Lパチスロからくりサーカス,919,"3,300","5,141",121.4%,-,-,-
L東京喰種,843,"3,300","9,089",112.1%,-,-,-
スマスロモンキーターンV,645,"3,200","7,591",114.1%,-,-,-
スマスロ モンスターハンターライズ,598,"3,200","5,864",118.2%,-,-,-
スマスロ ゴッドイーター リザレクション,1013,"3,200","5,917",118%,-,-,-
Lパチスロ かぐや様は告らせたい,878,"3,200","9,168",111.6%,-,-,-
L ToLOVEるダークネス,837,"3,100","3,888",126.6%,-,-,-
スマスロ スーパーブラックジャック,1024,"3,100","4,654",122.2%,-,-,-
Lスマスロ北斗の拳,914,"3,000","6,489",115.4%,69,13,1/79
L ＨＥＹ！エリートサラリーマン鏡,863,"2,900","4,891",119.8%,-,-,-
スマスロモンキーターンV,625,"2,800","6,762",113.8%,-,-,-
スマスロ シャーマンキング,967,"2,800","4,280",121.8%,-,-,-
Lスマスロ北斗の拳,903,"2,700","5,523",116.3%,66,4,1/79
Lスマスロ北斗の拳,924,"2,700","2,393",137.6%,38,3,1/58
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,950,"2,600","6,140",114.1%,-,-,-
吉宗,860,"2,600","8,307",110.4%,-,-,-
スマスロ モンスターハンターライズ,596,"2,600","3,088",128.1%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,618,"2,600","4,556",119%,-,-,-
Lパチスロ ありふれた職業で世界最強,977,"2,400","5,358",114.9%,-,-,-
Lスマスロ北斗の拳,993,"2,300","5,211",114.7%,60,11,1/73
スマスロ シャーマンキング,969,"2,200","1,972",137.2%,-,-,-
スマスロ スーパーブラックジャック,1025,"2,200","2,773",126.4%,-,-,-
L主役は銭形４,1003,"2,200","3,263",122.5%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,616,"2,200","3,005",124.4%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,1049,"2,200","4,653",115.8%,-,-,-
Lスマスロ北斗の拳,1001,"2,100","6,657",110.5%,64,23,1/77
スマスロ モンスターハンターライズ,597,"2,100","3,290",121.3%,-,-,-
沖ドキ!ゴージャス 25Φ,679,"2,000","5,716",111.7%,-,-,-
SアイムジャグラーＥＸ,817,"2,000","6,344",110.5%,33,13,1/138
マイジャグラーV,729,"2,000","8,736",107.6%,42,25,1/130
Lパチスロからくりサーカス,920,"1,900","7,239",108.7%,-,-,-
マイジャグラーV,731,"1,800","7,917",107.6%,37,25,1/128
ジャグラーガールズSS,709,"1,700","6,531",108.7%,-,-,-
パチスロ炎炎ノ消防隊,661,"1,700","5,937",109.5%,-,-,-
Lスマスロ北斗の拳,1000,"1,700","2,399",123.6%,32,3,1/69
ゴーゴージャグラー３,702,"1,600","7,637",107%,36,24,1/127
スマスロモンキーターンV,626,"1,600","7,104",107.5%,-,-,-
SアイムジャグラーＥＸ,809,"1,500","6,538",107.6%,32,18,1/131
SアイムジャグラーＥＸ,778,"1,500","6,898",107.2%,31,22,1/130
スマスロ バイオハザード5,611,"1,400","7,300",106.4%,-,-,-
L少女☆歌劇 レヴュースタァライト -The SLOT-,638,"1,400","5,019",109.3%,-,-,-
SアイムジャグラーＥＸ,831,"1,300","2,333",118.6%,14,3,1/137
Lスマスロ北斗の拳,908,"1,300","5,519",107.9%,58,8,1/84
A-SLOT+ ディスクアップ ULTRAREMIX,1011,"1,300","6,331",106.8%,26,12,1/167
ジャグラーガールズSS,712,"1,300","3,997",110.8%,-,-,-
スマスロモンキーターンV,624,"1,300","6,917",106.3%,-,-,-
Lパチスロ かぐや様は告らせたい,882,"1,300","9,472",104.6%,-,-,-
押忍！番長4,957,"1,200","5,419",107.4%,-,-,-
スマスロモンキーターンV,633,"1,200","5,878",106.8%,-,-,-
Lパチスロ ありふれた職業で世界最強,980,"1,200","5,024",108%,-,-,-
SアイムジャグラーＥＸ,832,"1,200","4,008",110%,20,9,1/138
マイジャグラーV,741,"1,200","8,790",104.6%,35,30,1/135
スマスロ バイオハザード ヴィレッジ,1007,"1,200","2,034",119.7%,-,-,-
Lスマスロ北斗の拳,922,"1,200","3,495",111.4%,34,7,1/85
パチスロ　ディスクアップ２,683,"1,200","8,199",104.9%,32,21,1/155
Lスマスロ北斗の拳,905,"1,100","6,802",105.4%,68,10,1/87
ファンキージャグラー２ＫＴ,758,"1,100","8,281",104.4%,37,25,1/134
マイジャグラーV,737,"1,100","7,292",105%,32,22,1/135
SアイムジャグラーＥＸ,833,"1,000","5,305",106.3%,25,11,1/147
沖ドキ!ゴージャス 25Φ,687,"1,000","6,616",105%,-,-,-
マイジャグラーV,732,800,"5,358",105%,24,13,1/145
SアイムジャグラーＥＸ,799,800,"4,126",106.5%,16,14,1/138
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,951,800,"7,945",103.4%,-,-,-
ウルトラミラクルジャグラー,704,800,"5,582",104.8%,-,-,-
ファンキージャグラー２ＫＴ,760,700,"2,195",110.6%,12,5,1/129
