機種,台番,差枚,G数,出率,BB,RB,合成
Lスマスロ北斗の拳,807,"12,780","4,884",187.2%,109,3,1/44
スマスロ ゴッドイーター リザレクション,718,"11,460","7,366",151.9%,-,-,-
スマスロ スーパーブラックジャック,823,"10,600","10,205",134.6%,-,-,-
L東京喰種,635,"9,840","8,569",138.3%,-,-,-
スマスロ モンスターハンターライズ,742,"8,290","3,529",178.3%,-,-,-
スマスロ ゴッドイーター リザレクション,713,"7,610","5,864",143.3%,-,-,-
L東京喰種,640,"7,240","7,765",131.1%,-,-,-
スマスロ ゴッドイーター リザレクション,721,"7,100","7,094",133.4%,-,-,-
スマスロモンキーターンV,644,"7,090","9,201",125.7%,-,-,-
スマスロモンキーターンV,645,"6,860","7,624",130%,-,-,-
スマスロ スーパーブラックジャック,822,"6,340","9,146",123.1%,-,-,-
Lルパン三世 大航海者の秘宝,829,"6,050","5,947",133.9%,-,-,-
スマスロ モンスターハンターライズ,745,"5,450","3,793",147.9%,-,-,-
L ToLOVEるダークネス,835,"5,140","3,514",148.8%,-,-,-
スマスロモンキーターンV,643,"5,120","8,151",120.9%,-,-,-
押忍！番長4,791,"4,880","8,754",118.6%,-,-,-
スマスロモンキーターンV,642,"4,820","9,265",117.3%,-,-,-
Lスマスロ北斗の拳,737,"4,450","2,587",157.3%,44,3,1/55
L東京喰種,636,"4,430","8,395",117.6%,-,-,-
L東京喰種,637,"4,410","7,072",120.8%,-,-,-
押忍！番長4,793,"4,170","8,423",116.5%,-,-,-
沖ドキ!ゴージャス 25Φ,598,"3,970","4,705",128.1%,-,-,-
スマスロ ゴッドイーター リザレクション,717,"3,900","7,546",117.2%,-,-,-
スマスロモンキーターンV,651,"3,450","7,729",114.9%,-,-,-
Sister Quest,623,"3,390","6,018",118.8%,-,-,-
Lスマスロ北斗の拳,731,"3,320","3,459",132%,48,7,1/63
スマスロ 七つの魔剣が支配する,628,"3,010","6,636",115.1%,-,-,-
ウルトラミラクルジャグラー,566,"2,720","8,788",110.3%,-,-,-
パチスロ　甲鉄城のカバネリ,610,"2,180","6,847",110.6%,-,-,-
Lパチスロ かぐや様は告らせたい,667,"2,160","3,455",120.8%,-,-,-
回胴黙示録カイジ 狂宴,825,"2,040","4,308",115.8%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,775,"1,990","1,632",140.6%,-,-,-
スマスロモンキーターンV,648,"1,900","5,128",112.4%,-,-,-
スマスロ スーパーブラックジャック,824,"1,830","9,056",106.7%,-,-,-
L東京喰種,630,"1,800","5,475",111%,-,-,-
スマスロモンキーターンV,641,"1,740","7,626",107.6%,-,-,-
パチスロ　甲鉄城のカバネリ,607,"1,640","5,831",109.4%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,797,"1,630","5,944",109.1%,-,-,-
Lうしおととら 白面決戦,818,"1,520","3,043",116.7%,-,-,-
ウルトラミラクルジャグラー,572,"1,490","7,365",106.7%,-,-,-
Lパチスロ かぐや様は告らせたい,669,"1,480","3,380",114.6%,-,-,-
ウルトラミラクルジャグラー,562,"1,470","3,920",112.5%,-,-,-
SアイムジャグラーＥＸ,589,"1,440","3,645",113.2%,21,7,1/130
スマスロモンキーターンV,649,"1,390","8,717",105.3%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,843,"1,380","5,562",108.3%,-,-,-
