機種,台番,差枚,G数,出率,BB,RB,合成
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,850,"13,870","9,781",147.3%,-,-,-
吉宗,788,"11,500","8,297",146.2%,-,-,-
スマスロ バイオハザード5,767,"10,770","8,321",143.1%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,840,"9,510","7,477",142.4%,-,-,-
L ToLOVEるダークネス,836,"9,270","6,197",149.9%,-,-,-
スマスロ ゴッドイーター リザレクション,725,"9,050","6,353",147.5%,-,-,-
Lパチスロ ありふれた職業で世界最強,778,"8,870","8,288",135.7%,-,-,-
吉宗,786,"8,720","7,177",140.5%,-,-,-
L東京喰種,632,"8,310","9,070",130.5%,-,-,-
Lスマスロ北斗の拳,805,"8,120","3,031",189.3%,70,1,1/43
スマスロ ゴッドイーター リザレクション,715,"8,110","7,059",138.3%,-,-,-
L東京喰種,631,"7,940","8,487",131.2%,-,-,-
スマスロ モンスターハンターライズ,752,"7,140","3,205",174.3%,-,-,-
L東京喰種,638,"7,050","6,385",136.8%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,848,"6,590","7,789",128.2%,-,-,-
Lパチスロからくりサーカス,697,"6,240","1,514",237.4%,-,-,-
スマスロ スーパーブラックジャック,822,"6,070","8,940",122.6%,-,-,-
L麻雀物語,845,"5,810","8,694",122.3%,-,-,-
ウルトラミラクルジャグラー,569,"5,590","7,741",124.1%,-,-,-
Lパチスロ かぐや様は告らせたい,667,"5,370","8,232",121.7%,-,-,-
Lパチスロからくりサーカス,693,"5,030","5,171",132.4%,-,-,-
スマスロ モンスターハンターライズ,748,"5,020","4,191",139.9%,-,-,-
Lパチスロからくりサーカス,706,"4,010","2,988",144.7%,-,-,-
スマスロ モンスターハンターライズ,747,"4,000","6,566",120.3%,-,-,-
Lパチスロ かぐや様は告らせたい,681,"3,920","4,423",129.5%,-,-,-
回胴黙示録カイジ 狂宴,826,"3,900","7,179",118.1%,-,-,-
Lスマスロ北斗の拳,732,"3,810","2,065",161.5%,37,2,1/53
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,849,"3,520","7,990",114.7%,-,-,-
Lパチスロからくりサーカス,690,"3,330","1,363",181.4%,-,-,-
スマスロ ゴッドイーター リザレクション,722,"3,280","6,704",116.3%,-,-,-
ゴーゴージャグラー３,558,"3,220","6,484",116.6%,35,26,1/106
Lうしおととら 白面決戦,819,"3,220","4,661",123%,-,-,-
Lパチスロ かぐや様は告らせたい,685,"2,850","5,214",118.2%,-,-,-
ウルトラミラクルジャグラー,563,"2,640","7,822",111.3%,-,-,-
Lパチスロからくりサーカス,695,"2,630","2,493",135.2%,-,-,-
マイジャグラーV,528,"2,590","5,050",117.1%,28,18,1/110
Lスマスロ北斗の拳,734,"2,580","2,440",135.2%,38,3,1/60
マイジャグラーV,517,"2,490","9,650",108.6%,44,28,1/134
ウルトラミラクルジャグラー,570,"2,380","9,112",108.7%,-,-,-
スマスロ スーパーブラックジャック,824,"2,370","6,070",113%,-,-,-
ファンキージャグラー２ＫＴ,573,"2,360","7,786",110.1%,38,23,1/128
スマスロ ゴッドイーター リザレクション,721,"2,330","6,414",112.1%,-,-,-
Lパチスロからくりサーカス,700,"2,320","5,443",114.2%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,851,"2,280","8,923",108.5%,-,-,-
パチスロ　甲鉄城のカバネリ,604,"2,230","2,555",129.1%,-,-,-
Lルパン三世 大航海者の秘宝,829,"2,170","5,643",112.8%,-,-,-
パチスロ　甲鉄城のカバネリ,609,"2,150","2,546",128.1%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,842,"2,120","7,976",108.9%,-,-,-
Lパチスロ かぐや様は告らせたい,686,"2,090","4,822",114.4%,-,-,-
ゴーゴージャグラー３,555,"2,070","6,075",111.4%,28,27,1/110
スマスロモンキーターンV,643,"2,060","6,390",110.7%,-,-,-
マイジャグラーV,513,"2,010","6,858",109.8%,33,22,1/125
スマスロ スーパーブラックジャック,821,"2,000","9,365",107.1%,-,-,-
ゴーゴージャグラー３,560,"2,000","5,212",112.8%,26,22,1/109
L戦国乙女４　戦乱に閃く炯眼の軍師,841,"1,940","6,600",109.8%,-,-,-
スマスロモンキーターンV,660,"1,920","6,441",109.9%,-,-,-
Lパチスロからくりサーカス,709,"1,890","4,247",114.8%,-,-,-
パチスロ　甲鉄城のカバネリ,610,"1,880","1,215",151.6%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,839,"1,870","7,380",108.4%,-,-,-
Lパチスロからくりサーカス,704,"1,820","4,766",112.7%,-,-,-
スマスロ モンスターハンターライズ,744,"1,800","4,884",112.3%,-,-,-
スマスロ モンスターハンターライズ,760,"1,800","8,879",106.8%,-,-,-
ゴーゴージャグラー３,551,"1,790","6,462",109.2%,27,33,1/108
L東京喰種,633,"1,780","8,654",106.9%,-,-,-
スマスロ モンスターハンターライズ,761,"1,710","3,772",115.1%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,798,"1,690","5,174",110.9%,-,-,-
ゴーゴージャグラー３,554,"1,670","6,253",108.9%,31,17,1/130
Lうしおととら 白面決戦,820,"1,600","4,527",111.8%,-,-,-
スマスロ バイオハザード5,765,"1,540","5,256",109.8%,-,-,-
スマスロモンキーターンV,641,"1,490","6,578",107.6%,-,-,-
Lパチスロからくりサーカス,707,"1,440","6,007",108%,-,-,-
Lスマスロ北斗の拳,808,"1,410","7,238",106.5%,71,16,1/83
Lスマスロ北斗の拳,731,"1,390","5,489",108.4%,51,14,1/84
スマスロ モンスターハンターライズ,749,"1,380","5,237",108.8%,-,-,-
スマスロ モンスターハンターライズ,743,"1,380","6,840",106.7%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,770,"1,340","4,934",109.1%,-,-,-
スマスロ モンスターハンターライズ,758,"1,260","7,945",105.3%,-,-,-
マイジャグラーV,537,"1,250","7,305",105.7%,30,25,1/133
Lスマスロ北斗の拳,809,"1,200","4,476",108.9%,46,11,1/79
スマスロ ゴッドイーター リザレクション,718,"1,200","8,321",104.8%,-,-,-
Lうしおととら 白面決戦,817,"1,140","3,454",111%,-,-,-
Lパチスロからくりサーカス,689,"1,130","6,812",105.5%,-,-,-
Lスマスロ北斗の拳,728,"1,130","2,840",113.3%,34,3,1/77
Lパチスロ かぐや様は告らせたい,668,"1,110","6,005",106.2%,-,-,-
ゴーゴージャグラー３,556,"1,030","5,629",106.1%,27,18,1/125
マイジャグラーV,524,980,"9,297",103.5%,38,29,1/139
スマスロ モンスターハンターライズ,745,970,"3,368",109.6%,-,-,-
マイジャグラーV,518,960,"9,036",103.5%,32,40,1/126
ウルトラミラクルジャグラー,562,950,"7,634",104.1%,-,-,-
Lパチスロ かぐや様は告らせたい,687,940,"2,961",110.6%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,796,890,"3,190",109.3%,-,-,-
マイジャグラーV,508,870,"8,874",103.3%,37,30,1/132
マイジャグラーV,540,860,"6,312",104.5%,24,25,1/129
スマスロモンキーターンV,661,780,"1,724",115.1%,-,-,-
チバリヨ2,815,770,"2,673",109.6%,-,-,-
Lパチスロ ありふれた職業で世界最強,779,760,"7,589",103.3%,-,-,-
Lパチスロ ありふれた職業で世界最強,781,760,"8,902",102.8%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,774,750,"6,810",103.7%,-,-,-
マイジャグラーV,521,710,"6,795",103.5%,29,17,1/148
ゴーゴージャグラー３,552,710,"5,101",104.6%,24,13,1/138
Lパチスロからくりサーカス,701,670,"5,215",104.3%,-,-,-
パチスロ　甲鉄城のカバネリ,607,660,"1,122",119.6%,-,-,-
Lスマスロ北斗の拳,737,660,"3,398",106.5%,35,7,1/81
ゴーゴージャグラー３,550,620,"6,007",103.4%,25,25,1/120
Lパチスロからくりサーカス,696,620,978,121.1%,-,-,-
クランキークレスト,613,610,"2,021",110.1%,-,-,-
L東京喰種,635,580,"6,626",102.9%,-,-,-
パチスロハイパーラッシュ,616,570,"1,555",112.2%,-,-,-
ジャグラーガールズSS,591,530,"5,956",103%,-,-,-
ファンキージャグラー２ＫＴ,578,520,"2,215",107.8%,12,4,1/138
Lスマスロ北斗の拳,810,500,"3,355",105%,29,12,1/82
ウルトラミラクルジャグラー,572,490,"8,733",101.9%,-,-,-
Lパチスロからくりサーカス,705,490,"1,287",112.7%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,773,460,"5,132",103%,-,-,-
バーサスリヴァイズ,611,430,"6,332",102.3%,-,-,-
L東京喰種,640,420,"8,619",101.6%,-,-,-
マイジャグラーV,538,410,"4,690",102.9%,18,15,1/142
スマスロ バイオハザード5,764,380,"6,072",102.1%,-,-,-
回胴黙示録カイジ 狂宴,828,350,"5,627",102.1%,-,-,-
ウルトラミラクルジャグラー,564,340,"8,682",101.3%,-,-,-
Lパチスロからくりサーカス,691,340,"1,459",107.8%,-,-,-
L ToLOVEるダークネス,835,330,"2,081",105.3%,-,-,-
Lパチスロ かぐや様は告らせたい,672,330,"3,178",103.5%,-,-,-
パチスロ　甲鉄城のカバネリ,605,310,"2,713",103.8%,-,-,-
パチスロ　甲鉄城のカバネリ,608,280,"6,461",101.4%,-,-,-
チバリヨ2,813,280,"1,145",108.2%,-,-,-
スマスロ ゴッドイーター リザレクション,717,260,"7,879",101.1%,-,-,-
マイジャグラーV,529,240,"8,893",100.9%,27,42,1/129
沖ドキ!ゴージャス 25Φ,602,240,"1,952",104.1%,-,-,-
Lスマスロ北斗の拳,733,210,"4,692",101.5%,40,12,1/90
Lパチスロ炎炎ノ消防隊,785,210,"3,497",102%,-,-,-
Lスマスロ北斗の拳,811,130,"6,453",100.7%,54,10,1/101
Lルパン三世 大航海者の秘宝,831,130,"3,714",101.2%,-,-,-
Lパチスロからくりサーカス,699,120,"2,024",102%,-,-,-
Lパチスロからくりサーカス,698,110,"9,151",100.4%,-,-,-
パチスロ　甲鉄城のカバネリ,606,80,"3,686",100.7%,-,-,-
