機種,台番,差枚,G数,出率,BB,RB,合成
パチスロ わたしの幸せな結婚,844,"12,480","7,036",159.1%,-,-,-
Lパチスロ かぐや様は告らせたい,687,"10,920","8,512",142.8%,-,-,-
Lスマスロ北斗の拳,734,"9,750","3,628",189.6%,81,1,1/44
スマスロ モンスターハンターライズ,743,"9,190","7,222",142.4%,-,-,-
スマスロモンキーターンV,650,"8,350","8,001",134.8%,-,-,-
スマスロ ゴッドイーター リザレクション,721,"8,170","8,034",133.9%,-,-,-
L東京喰種,635,"7,880","8,988",129.2%,-,-,-
パチスロ わたしの幸せな結婚,847,"7,220","7,557",131.8%,-,-,-
Lパチスロ かぐや様は告らせたい,665,"7,030","9,210",125.4%,-,-,-
スマスロ モンスターハンターライズ,755,"6,680","2,873",177.5%,-,-,-
スマスロ モンスターハンターライズ,744,"6,630","3,577",161.8%,-,-,-
Lパチスロ かぐや様は告らせたい,688,"6,430","9,741",122%,-,-,-
パチスロ わたしの幸せな結婚,846,"5,730","9,151",120.9%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,840,"5,720","8,527",122.4%,-,-,-
Lパチスロ かぐや様は告らせたい,684,"5,570","8,958",120.7%,-,-,-
L東京喰種,639,"5,550","8,530",121.7%,-,-,-
L東京喰種,636,"5,380","8,562",120.9%,-,-,-
L東京喰種,631,"5,220","6,229",127.9%,-,-,-
Lスマスロ北斗の拳,807,"4,970","2,966",155.9%,54,2,1/53
スマスロモンキーターンV,649,"4,910","2,806",158.3%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,775,"4,730","6,556",124%,-,-,-
いざ！番長,793,"4,670","8,053",119.3%,-,-,-
スマスロモンキーターンV,664,"4,600","6,147",124.9%,-,-,-
L麻雀物語,816,"4,560","3,880",139.2%,-,-,-
L ToLOVEるダークネス TRANCE ver.8.7,833,"4,130","5,211",126.4%,-,-,-
SアイムジャグラーＥＸ,561,"4,080","8,465",116.1%,38,45,1/102
スマスロモンキーターンV,659,"4,070","7,460",118.2%,-,-,-
新ハナビ,596,"4,050","7,140",118.9%,-,-,-
Lパチスロ ありふれた職業で世界最強,619,"3,260","5,393",120.1%,-,-,-
スマスロモンキーターンV,662,"3,230","4,786",122.5%,-,-,-
Lパチスロ かぐや様は告らせたい,672,"3,220","9,782",111%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,841,"3,150","7,743",113.6%,-,-,-
パチスロ　甲鉄城のカバネリ,608,"3,110","5,495",118.9%,-,-,-
スマスロ ゴッドイーター リザレクション,720,"3,030","8,754",111.5%,-,-,-
SアイムジャグラーＥＸ,566,"2,920","7,175",113.6%,33,31,1/112
吉宗,786,"2,820","9,187",110.2%,-,-,-
スマスロ ゴッドイーター リザレクション,725,"2,800","5,801",116.1%,-,-,-
スマスロモンキーターンV,657,"2,750","7,021",113.1%,-,-,-
Lスマスロ北斗の拳,736,"2,730","6,954",113.1%,72,16,1/79
LBパチスロ ヱヴァンゲリヲン～約束の扉～,621,"2,670","7,616",111.7%,-,-,-
パチスロ　甲鉄城のカバネリ,605,"2,600","5,355",116.2%,-,-,-
吉宗,788,"2,590","7,341",111.8%,-,-,-
Lパチスロ かぐや様は告らせたい,674,"2,580","9,236",109.3%,-,-,-
スマスロ モンスターハンターライズ,738,"2,570","7,008",112.2%,-,-,-
Lパチスロ かぐや様は告らせたい,671,"2,510","10,068",108.3%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,839,"2,300","7,200",110.6%,-,-,-
Lパチスロからくりサーカス,703,"2,230","2,019",136.8%,-,-,-
スマスロモンキーターンV,652,"2,160","7,428",109.7%,-,-,-
Lスマスロ北斗の拳,811,"2,110","2,750",125.6%,31,4,1/79
マイジャグラーV,509,"2,070","7,233",109.5%,30,33,1/115
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,843,"2,060","9,428",107.3%,-,-,-
Lパチスロからくりサーカス,704,"2,050",853,180.1%,-,-,-
マイジャグラーV,523,"2,050","7,816",108.7%,37,21,1/135
